arm,bar,rsi_kind,style,params,n_periods,start,end,years,cagr_pct,maxdd_pct,exc_spy,t_spy,exc_ew9,t_ew9,ann_turnover,pct_in_mkt,n_rebal,exc_spy_h1,exc_spy_h2,N,H,E,X
mult,3D,wilder,乙,"E=40,X=95,H=2",2171,2000-10-02,2026-08-27,25.9,8.1766,-51.366,-0.402,-0.39,-1.183,-1.799,6.25,100.0,787.0,2.3665,-3.3907,,2.0,40.0,95.0
price,3D,wilder,乙,"E=40,X=95,H=2",2171,2000-10-02,2026-08-27,25.9,7.9027,-53.07,-0.676,-0.634,-1.457,-2.013,7.45,99.86,847.0,1.4652,-3.0007,,2.0,40.0,95.0
mult,3D,wilder,甲,"N=1,H=3",2171,2000-10-02,2026-08-27,25.9,6.5074,-48.542,-2.0712,-0.419,-2.8522,-0.671,21.76,100.0,564.0,1.1277,-5.5098,1.0,3.0,,
price,3D,wilder,甲,"N=1,H=3",2171,2000-10-02,2026-08-27,25.9,1.5729,-71.377,-7.0058,-1.783,-7.7868,-2.071,21.29,100.0,552.0,-5.5698,-8.5648,1.0,3.0,,
mult,3D,wilder,甲,"N=2,H=3",2171,2000-10-02,2026-08-27,25.9,6.4808,-52.088,-2.0979,-0.78,-2.8788,-1.19,19.09,100.0,724.0,0.2195,-4.6084,2.0,3.0,,
price,3D,wilder,甲,"N=2,H=3",2171,2000-10-02,2026-08-27,25.9,4.8763,-55.694,-3.7024,-1.398,-4.4833,-1.83,18.82,100.0,724.0,-2.1,-5.4463,2.0,3.0,,
mult,3D,wilder,甲,"N=3,H=3",2171,2000-10-02,2026-08-27,25.9,8.7378,-40.067,0.1591,0.174,-0.6219,-0.231,15.74,100.0,724.0,2.3049,-2.1713,3.0,3.0,,
price,3D,wilder,甲,"N=3,H=3",2171,2000-10-02,2026-08-27,25.9,8.0247,-42.581,-0.554,-0.144,-1.335,-0.586,16.65,100.0,724.0,2.1807,-3.5069,3.0,3.0,,
mult,3D,wilder,乙,"E=5,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,6.6427,-54.441,-1.936,-0.571,-2.7169,-0.835,11.78,59.6,658.0,3.311,-7.471,,3.0,5.0,50.0
price,3D,wilder,乙,"E=5,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,5.4319,-48.301,-3.1468,-1.189,-3.9278,-1.482,10.01,43.53,550.0,-0.3356,-6.1785,,3.0,5.0,50.0
mult,3D,wilder,乙,"E=5,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,6.3034,-55.881,-2.2753,-0.693,-3.0563,-0.969,11.72,61.12,659.0,2.7274,-7.5645,,3.0,5.0,55.0
price,3D,wilder,乙,"E=5,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,5.9405,-47.71,-2.6382,-1.008,-3.4192,-1.294,9.89,44.31,546.0,-0.1636,-5.3151,,3.0,5.0,55.0
mult,3D,wilder,乙,"E=5,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,6.9828,-55.905,-1.5959,-0.452,-2.3769,-0.719,11.49,62.55,647.0,2.1959,-5.65,,3.0,5.0,60.0
price,3D,wilder,乙,"E=5,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,5.5831,-48.261,-2.9956,-1.125,-3.7766,-1.418,9.68,45.19,541.0,0.3486,-6.5852,,3.0,5.0,60.0
mult,3D,wilder,乙,"E=5,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,5.2243,-64.378,-3.3544,-1.05,-4.1354,-1.356,11.47,64.76,650.0,0.4397,-7.4103,,3.0,5.0,65.0
price,3D,wilder,乙,"E=5,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,4.8777,-42.048,-3.7009,-1.376,-4.4819,-1.679,9.66,46.8,540.0,-0.3964,-7.2489,,3.0,5.0,65.0
mult,3D,wilder,乙,"E=5,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,6.6809,-60.868,-1.8978,-0.508,-2.6788,-0.786,11.26,68.26,648.0,2.176,-6.2419,,3.0,5.0,70.0
price,3D,wilder,乙,"E=5,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,3.9288,-46.894,-4.6499,-1.723,-5.4309,-2.051,9.59,49.38,542.0,-1.8716,-7.646,,3.0,5.0,70.0
mult,3D,wilder,乙,"E=5,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,4.6042,-60.169,-3.9745,-1.236,-4.7555,-1.544,10.67,72.22,638.0,-1.2763,-6.8865,,3.0,5.0,75.0
price,3D,wilder,乙,"E=5,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,2.1025,-48.012,-6.4761,-2.459,-7.2571,-2.814,9.25,53.48,530.0,-4.5881,-8.5236,,3.0,5.0,75.0
mult,3D,wilder,乙,"E=5,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,4.2576,-62.46,-4.321,-1.38,-5.102,-1.707,9.94,76.65,608.0,-1.303,-7.5693,,3.0,5.0,80.0
price,3D,wilder,乙,"E=5,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,3.4497,-46.37,-5.129,-1.871,-5.91,-2.164,9.02,56.7,525.0,-4.5189,-5.7895,,3.0,5.0,80.0
mult,3D,wilder,乙,"E=5,X=85,H=3",2171,2000-10-02,2026-08-27,25.9,7.9439,-53.265,-0.6348,-0.034,-1.4157,-0.314,9.5,82.63,594.0,3.6999,-5.2462,,3.0,5.0,85.0
price,3D,wilder,乙,"E=5,X=85,H=3",2171,2000-10-02,2026-08-27,25.9,3.3146,-60.322,-5.2641,-2.05,-6.0451,-2.347,8.54,62.69,512.0,-4.4779,-6.1179,,3.0,5.0,85.0
mult,3D,wilder,乙,"E=5,X=90,H=3",2171,2000-10-02,2026-08-27,25.9,8.3729,-50.611,-0.2058,0.114,-0.9868,-0.197,8.22,89.31,566.0,3.3992,-4.0671,,3.0,5.0,90.0
price,3D,wilder,乙,"E=5,X=90,H=3",2171,2000-10-02,2026-08-27,25.9,3.2337,-58.454,-5.345,-2.219,-6.126,-2.591,7.72,74.3,496.0,-2.791,-8.1036,,3.0,5.0,90.0
mult,3D,wilder,乙,"E=5,X=95,H=3",2171,2000-10-02,2026-08-27,25.9,7.0373,-52.668,-1.5414,-0.634,-2.3224,-1.179,5.55,98.94,478.0,1.6443,-4.9665,,3.0,5.0,95.0
price,3D,wilder,乙,"E=5,X=95,H=3",2171,2000-10-02,2026-08-27,25.9,5.3935,-57.253,-3.1852,-1.526,-3.9662,-2.03,5.84,87.38,433.0,-2.3097,-4.1412,,3.0,5.0,95.0
mult,3D,wilder,乙,"E=10,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,7.9886,-64.109,-0.5901,-0.046,-1.3711,-0.319,16.95,76.32,972.0,0.329,-1.5989,,3.0,10.0,50.0
price,3D,wilder,乙,"E=10,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,3.3587,-54.473,-5.2199,-1.98,-6.0009,-2.336,15.38,62.97,868.0,-3.4786,-7.1114,,3.0,10.0,50.0
mult,3D,wilder,乙,"E=10,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,8.1505,-65.496,-0.4282,0.003,-1.2092,-0.263,16.77,77.25,972.0,-0.4264,-0.429,,3.0,10.0,55.0
price,3D,wilder,乙,"E=10,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,4.4373,-52.111,-4.1413,-1.583,-4.9223,-1.929,15.44,64.16,872.0,-3.2101,-5.1563,,3.0,10.0,55.0
mult,3D,wilder,乙,"E=10,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,9.1601,-65.39,0.5814,0.394,-0.1995,0.142,16.5,78.63,947.0,0.0865,1.1308,,3.0,10.0,60.0
price,3D,wilder,乙,"E=10,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,4.9395,-51.825,-3.6392,-1.419,-4.4201,-1.754,15.13,64.49,862.0,-2.9345,-4.4072,,3.0,10.0,60.0
mult,3D,wilder,乙,"E=10,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,9.5132,-64.331,0.9345,0.542,0.1535,0.293,16.02,79.87,945.0,0.1574,1.7991,,3.0,10.0,65.0
price,3D,wilder,乙,"E=10,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,5.1333,-44.32,-3.4453,-1.353,-4.2263,-1.686,15.08,66.61,864.0,-2.1427,-4.8658,,3.0,10.0,65.0
mult,3D,wilder,乙,"E=10,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,9.2519,-64.422,0.6732,0.457,-0.1078,0.199,15.34,82.17,931.0,1.2901,-0.0081,,3.0,10.0,70.0
price,3D,wilder,乙,"E=10,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,5.145,-49.86,-3.4337,-1.366,-4.2147,-1.719,14.79,68.59,871.0,-2.6131,-4.3291,,3.0,10.0,70.0
mult,3D,wilder,乙,"E=10,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,8.5183,-64.115,-0.0604,0.219,-0.8414,-0.059,14.3,85.17,916.0,0.9115,-1.1276,,3.0,10.0,75.0
price,3D,wilder,乙,"E=10,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,4.3784,-48.712,-4.2003,-1.72,-4.9813,-2.132,14.06,71.95,850.0,-3.2007,-5.2897,,3.0,10.0,75.0
mult,3D,wilder,乙,"E=10,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,7.528,-65.406,-1.0506,-0.189,-1.8316,-0.496,12.83,88.99,875.0,0.4008,-2.6358,,3.0,10.0,80.0
price,3D,wilder,乙,"E=10,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,4.7458,-50.117,-3.8329,-1.553,-4.6139,-1.947,13.14,75.03,810.0,-4.1226,-3.4984,,3.0,10.0,80.0
mult,3D,wilder,乙,"E=10,X=85,H=3",2171,2000-10-02,2026-08-27,25.9,9.5902,-56.011,1.0115,0.692,0.2305,0.397,11.81,92.86,833.0,4.2597,-2.4799,,3.0,10.0,85.0
price,3D,wilder,乙,"E=10,X=85,H=3",2171,2000-10-02,2026-08-27,25.9,5.1317,-60.123,-3.4469,-1.451,-4.2279,-1.86,12.1,79.41,775.0,-3.4457,-3.4383,,3.0,10.0,85.0
mult,3D,wilder,乙,"E=10,X=90,H=3",2171,2000-10-02,2026-08-27,25.9,9.4347,-53.255,0.856,0.65,0.075,0.321,9.82,96.13,782.0,4.6623,-3.2136,,3.0,10.0,90.0
price,3D,wilder,乙,"E=10,X=90,H=3",2171,2000-10-02,2026-08-27,25.9,4.8492,-57.218,-3.7295,-1.771,-4.5104,-2.303,10.33,88.21,740.0,-0.7468,-6.9409,,3.0,10.0,90.0
mult,3D,wilder,乙,"E=10,X=95,H=3",2171,2000-10-02,2026-08-27,25.9,8.7073,-53.386,0.1287,0.236,-0.6523,-0.249,5.91,99.82,604.0,3.0097,-2.9784,,3.0,10.0,95.0
price,3D,wilder,乙,"E=10,X=95,H=3",2171,2000-10-02,2026-08-27,25.9,7.8953,-55.618,-0.6833,-0.359,-1.4643,-0.926,7.01,96.32,611.0,0.831,-2.3369,,3.0,10.0,95.0
mult,3D,wilder,乙,"E=15,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,7.6136,-53.783,-0.9651,-0.264,-1.7461,-0.585,19.52,82.77,1172.0,1.1643,-3.277,,3.0,15.0,50.0
price,3D,wilder,乙,"E=15,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,4.1538,-50.621,-4.4249,-1.635,-5.2058,-1.993,18.51,73.05,1071.0,-3.139,-5.8254,,3.0,15.0,50.0
mult,3D,wilder,乙,"E=15,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,7.7369,-53.978,-0.8417,-0.217,-1.6227,-0.537,19.1,83.56,1164.0,1.1026,-2.9563,,3.0,15.0,55.0
price,3D,wilder,乙,"E=15,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,4.6084,-51.075,-3.9702,-1.483,-4.7512,-1.847,18.39,73.79,1071.0,-3.0691,-4.9526,,3.0,15.0,55.0
mult,3D,wilder,乙,"E=15,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,8.4199,-59.965,-0.1588,0.084,-0.9398,-0.223,18.76,84.85,1140.0,1.1319,-1.5718,,3.0,15.0,60.0
price,3D,wilder,乙,"E=15,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,4.2859,-54.466,-4.2928,-1.657,-5.0738,-2.037,18.12,74.39,1059.0,-3.6569,-4.9838,,3.0,15.0,60.0
mult,3D,wilder,乙,"E=15,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,8.3192,-59.517,-0.2595,0.042,-1.0405,-0.276,18.36,86.04,1135.0,0.7413,-1.3578,,3.0,15.0,65.0
price,3D,wilder,乙,"E=15,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,4.5101,-50.63,-4.0686,-1.598,-4.8496,-1.977,17.95,75.63,1056.0,-1.9672,-6.3474,,3.0,15.0,65.0
mult,3D,wilder,乙,"E=15,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,8.366,-59.45,-0.2126,0.072,-0.9936,-0.254,17.71,88.02,1123.0,1.8867,-2.4933,,3.0,15.0,70.0
price,3D,wilder,乙,"E=15,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,5.0394,-57.033,-3.5392,-1.395,-4.3202,-1.774,17.68,77.94,1060.0,-1.9397,-5.2804,,3.0,15.0,70.0
mult,3D,wilder,乙,"E=15,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,7.0528,-58.723,-1.5259,-0.507,-2.3069,-0.886,16.3,90.37,1093.0,1.084,-4.3466,,3.0,15.0,75.0
price,3D,wilder,乙,"E=15,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,4.5745,-58.479,-4.0042,-1.644,-4.7852,-2.081,16.85,81.48,1041.0,-2.3032,-5.854,,3.0,15.0,75.0
mult,3D,wilder,乙,"E=15,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,6.843,-57.818,-1.7357,-0.64,-2.5166,-1.04,14.75,93.09,1044.0,0.8053,-4.4834,,3.0,15.0,80.0
price,3D,wilder,乙,"E=15,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,4.5745,-57.311,-4.0042,-1.648,-4.7852,-2.066,15.49,83.83,980.0,-3.8391,-4.1761,,3.0,15.0,80.0
mult,3D,wilder,乙,"E=15,X=85,H=3",2171,2000-10-02,2026-08-27,25.9,8.5454,-56.154,-0.0333,0.175,-0.8143,-0.188,13.18,95.53,983.0,3.8121,-4.143,,3.0,15.0,85.0
price,3D,wilder,乙,"E=15,X=85,H=3",2171,2000-10-02,2026-08-27,25.9,6.0707,-57.353,-2.508,-1.082,-3.289,-1.512,13.88,88.16,922.0,-0.7263,-4.4465,,3.0,15.0,85.0
mult,3D,wilder,乙,"E=15,X=90,H=3",2171,2000-10-02,2026-08-27,25.9,8.5001,-53.745,-0.0786,0.136,-0.8595,-0.275,10.57,97.84,895.0,3.9842,-4.4117,,3.0,15.0,90.0
price,3D,wilder,乙,"E=15,X=90,H=3",2171,2000-10-02,2026-08-27,25.9,6.0697,-57.593,-2.5089,-1.283,-3.2899,-1.851,11.61,93.6,862.0,0.6963,-5.9539,,3.0,15.0,90.0
mult,3D,wilder,乙,"E=15,X=95,H=3",2171,2000-10-02,2026-08-27,25.9,8.008,-53.254,-0.5706,-0.258,-1.3516,-0.948,6.1,99.91,661.0,2.6247,-4.0061,,3.0,15.0,95.0
price,3D,wilder,乙,"E=15,X=95,H=3",2171,2000-10-02,2026-08-27,25.9,8.8363,-55.417,0.2576,0.247,-0.5234,-0.269,7.47,98.99,699.0,2.3138,-1.9775,,3.0,15.0,95.0
mult,3D,wilder,乙,"E=20,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,6.9999,-57.012,-1.5788,-0.543,-2.3597,-0.921,20.99,88.35,1293.0,1.2472,-4.627,,3.0,20.0,50.0
price,3D,wilder,乙,"E=20,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,5.564,-46.561,-3.0146,-1.201,-3.7956,-1.588,20.6,79.59,1216.0,0.3073,-6.5811,,3.0,20.0,50.0
mult,3D,wilder,乙,"E=20,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,7.2487,-57.02,-1.3299,-0.431,-2.1109,-0.798,20.51,88.67,1280.0,1.8055,-4.7026,,3.0,20.0,55.0
price,3D,wilder,乙,"E=20,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,6.3297,-41.98,-2.249,-0.897,-3.03,-1.277,20.38,80.01,1216.0,0.9358,-5.6728,,3.0,20.0,55.0
mult,3D,wilder,乙,"E=20,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,8.1174,-56.755,-0.4612,-0.054,-1.2422,-0.399,20.13,90.0,1264.0,2.2766,-3.4176,,3.0,20.0,60.0
price,3D,wilder,乙,"E=20,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,5.7742,-41.849,-2.8045,-1.155,-3.5855,-1.56,19.99,80.88,1198.0,0.4333,-6.2833,,3.0,20.0,60.0
mult,3D,wilder,乙,"E=20,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,8.0003,-57.961,-0.5783,-0.109,-1.3593,-0.471,19.49,91.2,1242.0,1.6833,-3.0312,,3.0,20.0,65.0
price,3D,wilder,乙,"E=20,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,6.3999,-41.801,-2.1788,-0.903,-2.9597,-1.292,19.66,81.76,1198.0,2.2466,-6.8825,,3.0,20.0,65.0
mult,3D,wilder,乙,"E=20,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,8.5609,-61.198,-0.0178,0.159,-0.7988,-0.183,18.68,92.63,1223.0,2.5682,-2.8144,,3.0,20.0,70.0
price,3D,wilder,乙,"E=20,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,5.9856,-50.512,-2.5931,-1.118,-3.3741,-1.55,19.04,83.6,1178.0,1.1265,-6.5723,,3.0,20.0,70.0
mult,3D,wilder,乙,"E=20,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,7.6699,-59.612,-0.9088,-0.274,-1.6898,-0.683,17.15,94.1,1187.0,1.6578,-3.6843,,3.0,20.0,75.0
price,3D,wilder,乙,"E=20,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,5.652,-49.696,-2.9266,-1.274,-3.7076,-1.754,17.95,86.0,1146.0,0.2021,-6.2915,,3.0,20.0,75.0
mult,3D,wilder,乙,"E=20,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,7.1894,-57.785,-1.3893,-0.577,-2.1703,-1.04,15.38,95.9,1126.0,0.8633,-3.8317,,3.0,20.0,80.0
price,3D,wilder,乙,"E=20,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,6.4868,-51.777,-2.0918,-0.933,-2.8728,-1.397,16.45,88.02,1089.0,-0.6242,-3.6929,,3.0,20.0,80.0
mult,3D,wilder,乙,"E=20,X=85,H=3",2171,2000-10-02,2026-08-27,25.9,8.5622,-54.163,-0.0165,0.127,-0.7974,-0.299,13.44,97.37,1058.0,3.1509,-3.4231,,3.0,20.0,85.0
price,3D,wilder,乙,"E=20,X=85,H=3",2171,2000-10-02,2026-08-27,25.9,7.1831,-53.873,-1.3956,-0.634,-2.1766,-1.102,14.63,91.57,1022.0,1.784,-4.8144,,3.0,20.0,85.0
mult,3D,wilder,乙,"E=20,X=90,H=3",2171,2000-10-02,2026-08-27,25.9,8.7812,-54.145,0.2025,0.245,-0.5785,-0.214,10.66,98.8,951.0,3.497,-3.3367,,3.0,20.0,90.0
price,3D,wilder,乙,"E=20,X=90,H=3",2171,2000-10-02,2026-08-27,25.9,6.2774,-56.82,-2.3013,-1.277,-3.0822,-1.947,11.95,95.76,945.0,1.1292,-5.9809,,3.0,20.0,90.0
mult,3D,wilder,乙,"E=20,X=95,H=3",2171,2000-10-02,2026-08-27,25.9,8.0596,-53.231,-0.5191,-0.284,-1.3,-1.078,6.14,99.91,693.0,2.6276,-3.9039,,3.0,20.0,95.0
price,3D,wilder,乙,"E=20,X=95,H=3",2171,2000-10-02,2026-08-27,25.9,7.5573,-54.885,-1.0214,-0.721,-1.8024,-1.626,7.45,99.31,742.0,0.9171,-3.1295,,3.0,20.0,95.0
mult,3D,wilder,乙,"E=25,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,6.2189,-47.158,-2.3598,-1.126,-3.1408,-1.595,22.09,90.37,1398.0,1.2229,-6.1974,,3.0,25.0,50.0
price,3D,wilder,乙,"E=25,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,6.3004,-49.364,-2.2783,-0.954,-3.0593,-1.367,22.09,84.66,1335.0,0.2931,-5.0578,,3.0,25.0,50.0
mult,3D,wilder,乙,"E=25,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,5.7943,-48.152,-2.7843,-1.322,-3.5653,-1.814,21.64,90.74,1389.0,0.8321,-6.6567,,3.0,25.0,55.0
price,3D,wilder,乙,"E=25,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,7.0575,-45.708,-1.5212,-0.617,-2.3022,-1.008,21.86,84.85,1330.0,0.3206,-3.5253,,3.0,25.0,55.0
mult,3D,wilder,乙,"E=25,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,6.646,-49.84,-1.9327,-0.953,-2.7137,-1.435,21.13,91.8,1369.0,0.676,-4.7519,,3.0,25.0,60.0
price,3D,wilder,乙,"E=25,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,6.5029,-44.556,-2.0758,-0.885,-2.8568,-1.305,21.44,85.44,1309.0,0.3253,-4.6752,,3.0,25.0,60.0
mult,3D,wilder,乙,"E=25,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,6.8708,-49.9,-1.7079,-0.854,-2.4889,-1.334,20.22,92.49,1335.0,0.6081,-4.2174,,3.0,25.0,65.0
price,3D,wilder,乙,"E=25,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,7.7322,-43.494,-0.8464,-0.333,-1.6274,-0.705,20.92,86.14,1294.0,2.86,-4.8126,,3.0,25.0,65.0
mult,3D,wilder,乙,"E=25,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,8.079,-50.752,-0.4997,-0.236,-1.2807,-0.658,19.45,93.87,1309.0,1.9036,-3.1029,,3.0,25.0,70.0
price,3D,wilder,乙,"E=25,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,7.6973,-51.266,-0.8814,-0.366,-1.6623,-0.769,20.22,87.33,1277.0,1.6241,-3.5923,,3.0,25.0,70.0
mult,3D,wilder,乙,"E=25,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,8.1458,-54.242,-0.4329,-0.07,-1.2139,-0.476,17.67,95.9,1256.0,3.0883,-4.2074,,3.0,25.0,75.0
price,3D,wilder,乙,"E=25,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,7.9107,-48.214,-0.6679,-0.247,-1.4489,-0.657,19.12,89.5,1248.0,2.148,-3.7062,,3.0,25.0,75.0
mult,3D,wilder,乙,"E=25,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,7.9867,-52.373,-0.592,-0.186,-1.373,-0.623,15.78,96.96,1184.0,2.2995,-3.7097,,3.0,25.0,80.0
price,3D,wilder,乙,"E=25,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,8.2038,-50.226,-0.3749,-0.1,-1.1559,-0.509,17.5,91.43,1179.0,1.2848,-2.1852,,3.0,25.0,80.0
mult,3D,wilder,乙,"E=25,X=85,H=3",2171,2000-10-02,2026-08-27,25.9,8.86,-50.275,0.2813,0.28,-0.4997,-0.145,13.83,98.3,1108.0,2.8735,-2.5221,,3.0,25.0,85.0
price,3D,wilder,乙,"E=25,X=85,H=3",2171,2000-10-02,2026-08-27,25.9,8.4509,-52.728,-0.1278,0.007,-0.9088,-0.42,15.57,94.2,1105.0,2.5179,-2.9873,,3.0,25.0,85.0
mult,3D,wilder,乙,"E=25,X=90,H=3",2171,2000-10-02,2026-08-27,25.9,8.5014,-53.383,-0.0772,0.032,-0.8582,-0.505,10.91,99.26,1006.0,2.8655,-3.2489,,3.0,25.0,90.0
price,3D,wilder,乙,"E=25,X=90,H=3",2171,2000-10-02,2026-08-27,25.9,7.2712,-55.789,-1.3075,-0.778,-2.0885,-1.436,12.41,97.24,1003.0,1.5441,-4.3829,,3.0,25.0,90.0
mult,3D,wilder,乙,"E=25,X=95,H=3",2171,2000-10-02,2026-08-27,25.9,8.0806,-52.376,-0.4981,-0.311,-1.2791,-1.19,6.2,100.0,732.0,1.9329,-3.1306,,3.0,25.0,95.0
price,3D,wilder,乙,"E=25,X=95,H=3",2171,2000-10-02,2026-08-27,25.9,8.2435,-53.763,-0.3352,-0.268,-1.1162,-1.124,7.44,99.59,772.0,1.2054,-2.0174,,3.0,25.0,95.0
mult,3D,wilder,乙,"E=30,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,8.1466,-46.098,-0.432,-0.203,-1.213,-0.613,23.01,93.09,1500.0,1.9277,-2.9891,,3.0,30.0,50.0
price,3D,wilder,乙,"E=30,X=50,H=3",2171,2000-10-02,2026-08-27,25.9,8.1909,-49.725,-0.3877,-0.108,-1.1687,-0.483,23.56,88.99,1451.0,1.0042,-1.9097,,3.0,30.0,50.0
mult,3D,wilder,乙,"E=30,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,7.0547,-45.427,-1.524,-0.774,-2.305,-1.237,22.29,93.14,1472.0,1.5048,-4.785,,3.0,30.0,55.0
price,3D,wilder,乙,"E=30,X=55,H=3",2171,2000-10-02,2026-08-27,25.9,8.6917,-46.267,0.113,0.122,-0.6679,-0.221,23.22,89.13,1442.0,0.6042,-0.4291,,3.0,30.0,55.0
mult,3D,wilder,乙,"E=30,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,8.2679,-48.274,-0.3107,-0.163,-1.0917,-0.587,21.71,94.24,1447.0,1.7951,-2.5981,,3.0,30.0,60.0
price,3D,wilder,乙,"E=30,X=60,H=3",2171,2000-10-02,2026-08-27,25.9,8.182,-45.026,-0.3967,-0.12,-1.1776,-0.501,22.75,89.82,1414.0,0.2484,-1.1065,,3.0,30.0,60.0
mult,3D,wilder,乙,"E=30,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,8.5427,-48.865,-0.036,-0.015,-0.8169,-0.427,20.96,94.93,1411.0,2.0153,-2.2656,,3.0,30.0,65.0
price,3D,wilder,乙,"E=30,X=65,H=3",2171,2000-10-02,2026-08-27,25.9,8.6327,-44.815,0.054,0.088,-0.727,-0.265,22.24,90.28,1414.0,2.2947,-2.3772,,3.0,30.0,65.0
mult,3D,wilder,乙,"E=30,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,8.7726,-51.97,0.1939,0.109,-0.587,-0.292,19.8,95.58,1379.0,1.8045,-1.5643,,3.0,30.0,70.0
price,3D,wilder,乙,"E=30,X=70,H=3",2171,2000-10-02,2026-08-27,25.9,8.4464,-49.827,-0.1322,-0.016,-0.9132,-0.412,21.5,91.16,1379.0,2.1595,-2.6174,,3.0,30.0,70.0
mult,3D,wilder,乙,"E=30,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,9.2869,-53.995,0.7083,0.511,-0.0727,0.154,18.1,97.14,1319.0,3.8755,-2.6985,,3.0,30.0,75.0
price,3D,wilder,乙,"E=30,X=75,H=3",2171,2000-10-02,2026-08-27,25.9,8.2367,-48.692,-0.3419,-0.128,-1.1229,-0.57,20.07,92.45,1332.0,2.401,-3.3037,,3.0,30.0,75.0
mult,3D,wilder,乙,"E=30,X=80,H=3",2171,2000-10-02,2026-08-27,25.9,9.3667,-52.376,0.7881,0.555,0.0071,0.19,16.13,97.93,1266.0,3.6417,-2.2907,,3.0,30.0,80.0
