L1,L2,a,b,k,p,theta,cagr,sharpe,maxdd,time_in_market,turnover_yr,death_pass
6,52,6,24,1.0,-5.0,0.4,0.12576541994934765,0.5070597462475681,-0.588300746623908,0.7545059717698154,3.0644951140065144,True
6,52,6,24,1.0,-5.0,0.5,0.14493648873850007,0.565393426048769,-0.5883007466239081,0.8246471226927253,3.1739413680781756,True
6,52,6,24,1.0,-5.0,0.6,0.14637862399229506,0.5687845957696246,-0.5883007466239081,0.8409337676438654,3.201302931596091,True
6,52,6,24,1.5,0.0,0.4,0.12648051842890773,0.5121774125923186,-0.5883007466239081,0.7496199782844734,3.0644951140065144,True
6,52,6,24,1.5,0.0,0.5,0.14263476874116487,0.5570807920526378,-0.5883007466239081,0.8244299674267102,3.119218241042345,True
6,52,6,24,1.5,0.0,0.6,0.14206895676801046,0.5537363728075831,-0.5883007466239081,0.8338762214983714,3.1739413680781756,True
6,52,6,24,1.5,-5.0,0.4,0.1277521895029936,0.5143133100649635,-0.5883007466239079,0.7588490770901194,3.0097719869706836,True
6,52,6,24,1.5,-5.0,0.5,0.14580131105900218,0.5679652638421049,-0.5883007466239081,0.8292073832790445,3.0644951140065144,True
6,52,6,24,1.5,-5.0,0.6,0.1472445356227885,0.5713421350649527,-0.588300746623908,0.8454940282301846,3.09185667752443,True
12,26,0,12,0.5,0.0,0.4,0.12498898459739816,0.5106789367475967,-0.5883007466239081,0.7319218241042346,3.502280130293159,True
12,26,0,12,0.5,0.0,0.5,0.14818631091365453,0.5762656826248695,-0.5883007466239076,0.8254071661237785,2.845602605863192,True
12,26,0,12,0.5,0.0,0.6,0.14385238541983014,0.5593292498744675,-0.5883007466239079,0.8369163952225841,2.790879478827361,True
12,26,0,12,0.5,-5.0,0.4,0.12539096433107533,0.5094454463197615,-0.5883007466239079,0.7452768729641693,3.1739413680781756,True
12,26,0,12,0.5,-5.0,0.5,0.14674956159249075,0.5694086502906188,-0.5883007466239079,0.8321389793702497,2.845602605863192,True
12,26,0,12,0.5,-5.0,0.6,0.14274716315329794,0.5538732600345206,-0.5883007466239081,0.8460369163952226,2.763517915309446,True
12,26,0,12,1.0,0.0,0.4,0.12708221271720488,0.5178550561952662,-0.5883007466239079,0.7477741585233442,3.228664495114006,True
12,26,0,12,1.0,0.0,0.5,0.14256500585818865,0.5527670875921836,-0.6115838944803941,0.8366992399565689,2.845602605863192,True
12,26,0,12,1.0,0.0,0.6,0.13945588141652232,0.5398669799885824,-0.6115838944803931,0.8505971769815418,2.790879478827361,True
12,26,0,12,1.0,-5.0,0.4,0.12546682795824404,0.5076414126797462,-0.5883007466239081,0.7634093376764387,3.0097719869706836,True
12,26,0,12,1.0,-5.0,0.5,0.143149772674122,0.5544039227680181,-0.6115838944803937,0.8411509229098806,2.790879478827361,True
