ticker,delisted,index_joined,index_left,cik,cik_source,cells,median_mcap_usd_m,median_shares_m,median_rev_ttm_usd_m,cik_note
OKE,False,1996-01-02,,0001039684,anchors,198,15008.67,412.173,13030.05,今日對照
CMS,False,1999-05-03,,0000811156,anchors,182,15077.9,283.2,6833.5,今日對照
ETSY,True,2020-09-21,2024-09-23,0001370637,anchors,48,15122.19,140.578,2413.97,今日對照·已核實
DECK,False,2024-03-18,,0000910521,anchors,30,15237.79,147.652,4923.59,今日對照
NOV,True,2005-03-14,2021-09-20,0001021860,anchors,145,15258.66,388.0,12228.5,今日對照·已核實
IEX,False,2019-08-09,,0000832101,anchors,85,15312.08,75.9,3181.9,今日對照
SRE,False,1998-06-29,,0001032208,anchors,187,15429.18,275.907,11256.0,今日對照
RF,False,1998-08-28,,0001281761,anchors,205,15507.44,1128.0,104.0,今日對照
EFX,False,1997-06-19,,0000033185,anchors,197,15510.72,123.3,5074.1,今日對照
PCAR,False,1996-01-02,,0000075362,anchors,205,15514.1,355.9,19878.9,今日對照
L,False,1996-01-02,,0000060086,anchors,205,15631.83,281.48,14334.0,今日對照
PFG,False,2002-07-22,,0001126328,anchors,193,15651.8,289.2,13704.3,今日對照
GEN,False,2022-11-08,,0000849399,anchors,46,15673.89,624.0,3844.0,今日對照
ZBRA,False,2019-12-23,,0000877212,anchors,81,15710.67,52.138,5114.0,今日對照
TER,False,1999-11-15,,0000097210,anchors,112,15779.16,181.987,2819.88,今日對照
SEDG,True,2021-12-20,2023-12-18,0001419612,anchors,24,15809.05,58.333,2771.49,今日對照·已核實
ATO,False,2019-02-15,,0000731802,anchors,91,15948.04,140.227,4047.42,今日對照
VMC,False,1999-07-01,,0001396009,anchors,205,15973.8,133.245,3699.2,今日對照
STX,False,2012-07-02,,0001137789,anchors,170,15979.86,284.0,10940.0,今日對照
BBY,False,1999-06-30,,0000764478,anchors,203,16031.44,305.4,43243.0,今日對照
BF-B,False,1996-01-02,,0000014693,anchors,183,16049.75,472.886,3928.0,今日對照
TRMB,False,2021-01-21,,0000864749,anchors,68,16090.59,249.1,3654.9,今日對照
FDS,False,2021-12-20,,0001013237,anchors,57,16152.81,38.641,2153.77,今日對照
ISRG,False,2008-06-02,,0001035267,anchors,206,16268.04,116.8,2993.4,今日對照
DTE,False,1996-01-02,,0000936340,anchors,205,16355.27,180.0,13124.0,今日對照
CLX,False,1996-01-02,,0000021076,anchors,202,16480.92,130.52,6133.0,今日對照
PAYC,True,2020-01-28,2026-03-23,0001590955,anchors,74,16586.29,58.05,1332.41,今日對照·已核實
MLM,False,2014-07-02,,0000916076,anchors,146,16597.78,62.5,4739.1,今日對照
CSX,False,1996-01-02,,0000277948,anchors,209,16774.67,999.0,11937.0,今日對照
DHI,False,2005-07-05,,0000882184,anchors,181,16825.79,365.6,16421.2,今日對照
SWKS,False,2015-03-12,,0000004127,anchors,138,16855.09,168.3,3789.0,今日對照
KDP,False,2008-10-07,,0001418135,anchors,149,16918.59,213.9,6408.0,今日對照·已核實
EXPE,False,2007-10-02,,0001324424,anchors,194,16932.61,147.882,8379.3,今日對照
PTC,False,1997-04-03,,0000857005,anchors,65,16939.53,119.334,2097.05,今日對照
GWW,False,1996-01-02,,0000277135,anchors,206,16940.62,57.521,10343.98,今日對照
INCY,False,2017-02-28,,0000879169,anchors,115,16999.9,217.483,2912.92,今日對照
NUE,False,1996-01-02,,0000073309,anchors,205,17126.93,316.472,20396.14,今日對照
BALL,False,2022-05-10,,0000009389,anchors,52,17144.43,316.667,13667.0,今日對照
MNST,False,2012-06-29,,0000865752,anchors,171,17242.59,535.639,4107.84,今日對照
IP,False,1996-01-02,,0000051434,anchors,205,17351.18,417.7,22829.0,今日對照
IT,False,2017-04-05,,0000749251,anchors,113,17452.47,84.766,4813.31,今日對照
PODD,False,2023-03-15,,0001145197,anchors,42,17452.61,72.755,1983.9,今日對照
HRL,False,2009-03-04,,0000048465,anchors,192,17455.72,543.72,9513.61,今日對照
NTRS,False,1998-01-30,,0000073124,anchors,205,17488.01,228.055,4441.1,今日對照
FTV,False,2016-07-05,,0001659166,anchors,121,17491.89,352.3,6166.95,今日對照
AFL,False,1999-05-28,,0000004977,anchors,205,17524.5,473.569,21763.0,今日對照
WAB,False,2019-02-27,,0000943452,anchors,91,17639.2,179.5,8200.0,今日對照
FE,False,1996-01-02,,0001031296,anchors,208,17797.58,446.0,12967.0,今日對照
TYL,False,2020-06-22,,0000860731,anchors,75,17812.26,42.506,1901.54,今日對照
MOH,True,2022-03-02,2026-03-23,0001179929,anchors,48,17938.05,58.1,34072.0,今日對照·已核實
ROL,False,2018-10-01,,0000084839,anchors,95,17993.39,484.434,2634.78,今日對照
BR,False,1996-01-02,,0001383312,anchors,99,18015.66,118.5,5517.8,今日對照
CFG,False,2016-02-01,,0000759944,anchors,127,18094.1,462.521,6682.0,今日對照
HIG,False,1996-01-02,,0000874766,anchors,205,18449.27,364.7,21902.0,今日對照
HWM,False,2020-04-06,,0000004281,anchors,77,18646.09,418.0,6834.0,今日對照
FITB,False,1996-03-08,,0000035527,anchors,193,18712.11,733.285,589.0,今日對照
NEE,False,1996-01-02,,0000753308,anchors,206,18730.48,473.5,15578.0,今日對照
ULTA,False,2016-04-18,,0001403568,anchors,125,18754.92,56.172,7656.46,今日對照
MTB,False,2004-02-27,,0000036270,anchors,204,18988.68,133.116,5632.19,今日對照
UAL,False,2015-09-03,,0000100517,anchors,132,19043.16,326.8,39936.0,今日對照
RJF,False,2017-03-20,,0000720005,anchors,114,19424.53,198.2,9910.0,今日對照
LII,False,2024-12-23,,0001069202,anchors,21,19518.97,35.4,5341.3,今日對照
SMCI,False,2024-03-18,,0001375365,anchors,30,19535.53,628.402,21052.58,今日對照
BBT,True,1997-12-04,2019-12-09,0000092230,anchors,124,19546.78,729.989,,人手辨明
NVR,False,2019-09-26,,0000906163,anchors,84,19560.05,3.471,9668.36,今日對照
CAH,False,1997-05-27,,0000721371,anchors,202,19594.68,316.0,136809.0,今日對照
APTV,False,2012-12-24,,0001521332,anchors,165,19875.48,271.14,16227.0,今日對照
CTRA,True,2021-10-04,2026-05-07,0000858470,edgar_full_text_search,55,19897.5,760.0,5929.0,"全文檢索:成分期 2021-10-04~2026-05-07 內 83/100 份 10-K/10-Q 印有代號 CTRA,全屬 0000858470(Coterra Energy Inc.);該 CIK 申報期 1994-02-08~20"
FDXF,False,2026-06-01,,0002082247,anchors,1,19951.48,149.505,8795.0,今日對照
ODFL,False,2019-12-09,,0000878927,anchors,81,20004.49,117.256,5627.09,今日對照
TDY,False,2020-06-22,,0001094285,anchors,75,20044.71,47.5,5551.7,今日對照
ALGN,False,2017-06-19,,0001097149,anchors,111,20523.01,79.163,3704.56,今日對照
ES,False,2009-03-17,,0000072741,anchors,181,20535.64,318.56,8484.42,今日對照
CHD,False,2015-12-29,,0000313927,anchors,129,20635.01,249.3,5046.3,今日對照
STLD,False,2022-12-22,,0001022671,anchors,45,20636.34,157.579,18795.32,今日對照
DLTR,False,2011-12-19,,0000935703,anchors,177,20679.12,225.2,20719.0,今日對照
ROK,False,1996-01-02,,0001024478,anchors,205,20681.22,128.5,6490.0,今日對照
WEC,False,2008-10-31,,0000783325,anchors,205,20700.83,316.2,7671.5,今日對照
BRO,False,2021-09-20,,0000079282,anchors,60,20901.0,281.3,4257.1,今日對照
