entity_id,ticker,signal_date,entry_date,entry_price,stop_price,target_price,reward_risk,exit_date,exit_price,exit_reason,exit_reason_name,holding_days,return_pct,r_multiple
5,NVDA,2024-02-05,2024-02-06,69.50646,58.48105,90.76461,1.9281051679710777,2024-03-07,90.76461,target,目標,21,0.3058442337589915,1.9281051679710777
5,NVDA,2024-02-07,2024-02-08,69.94966,60.46552,94.67867000000001,2.6074066810485745,2024-03-08,94.97365,target,目標,20,0.3577428396363902,2.6385091320878877
4,MSFT,2024-02-09,2024-02-12,411.7693,388.9074,463.3188,2.25482134030855,2024-04-22,388.9074,stop,止蝕,48,-0.055521137685592414,-1.0
5,NVDA,2024-02-09,2024-02-12,72.47117,60.5923,97.74723,2.127816871470098,2024-05-23,101.8518,target,目標,71,0.405411282859101,2.473352263304506
6,AMZN,2024-02-09,2024-02-12,174.8,154.81,204.14,1.4677338669334647,2024-08-05,154.21,stop,止蝕,120,-0.11779176201372998,-1.0300150075037515
5,NVDA,2024-02-12,2024-02-13,70.27509,60.5923,99.25054,2.9924691127247396,2024-05-23,101.8518,target,目標,70,0.4493300542197809,3.261116888830593
10,JPM,2024-02-15,2024-02-16,170.4238,163.7913,192.8502,3.381289106671696,2024-05-15,192.8502,target,目標,61,0.13159194901181648,3.381289106671696
10,JPM,2024-02-21,2024-02-22,172.5208,163.7913,195.6224,2.6463829543501904,2024-05-17,195.6224,target,目標,60,0.13390617247311631,2.6463829543501904
11,XOM,2024-02-21,2024-02-22,96.1328,92.52257,105.76071,2.666841170784132,2024-03-25,105.76071,target,目標,22,0.10015218531032066,2.666841170784132
5,NVDA,2024-02-22,2024-02-23,80.64665,66.13046,107.12858,1.8243030712604351,2024-05-28,110.0536,target,目標,65,0.36463944875577603,2.025803602735981
10,JPM,2024-02-22,2024-02-23,174.409,163.7913,197.4018,2.165516072219035,2024-07-01,197.4018,target,目標,88,0.13183264625105373,2.165516072219035
5,NVDA,2024-02-23,2024-02-26,79.55858,66.13046,111.36406,2.3685728158521053,2024-05-28,111.36406,target,目標,64,0.39977435494700875,2.3685728158521053
10,JPM,2024-02-23,2024-02-26,174.3521,163.7913,199.4771,2.3790811302174077,2024-07-03,199.9924,target,目標,89,0.14706045983960037,2.4278747822134683
6,AMZN,2024-02-29,2024-03-01,176.75,165.74,209.07999999999998,2.9364214350590383,2024-08-02,165.74,stop,止蝕,106,-0.062291371994342204,-1.0
10,JPM,2024-02-29,2024-03-01,176.2023,167.1408,199.13160000000002,2.5304088727031977,2024-07-02,199.13160000000002,target,目標,84,0.1301305374560946,2.5304088727031977
6,AMZN,2024-03-01,2024-03-04,177.53,165.74,211.39,2.8719253604749793,2024-08-02,165.74,stop,止蝕,105,-0.06641131076437778,-1.0
8,META,2024-03-01,2024-03-04,499.1504,458.2558,654.9460999999999,3.8096888097695056,2024-04-25,418.1749,stop,止蝕,37,-0.1622266555330818,-1.9801025074215195
11,XOM,2024-03-01,2024-03-04,97.51719,94.73916,107.41277,3.5620853626490683,2024-03-28,107.41277,target,目標,18,0.10147523734020636,3.5620853626490683
5,NVDA,2024-03-04,2024-03-05,85.1227,66.13046,120.09751999999999,1.8415321204871042,2024-06-05,120.09751999999999,target,目標,64,0.41087535992161905,1.8415321204871042
10,JPM,2024-03-04,2024-03-05,176.8286,169.2852,198.13980000000004,2.8251451600074327,2024-07-02,198.13980000000004,target,目標,82,0.12051896582340205,2.8251451600074327
10,JPM,2024-03-05,2024-03-06,179.5708,169.3896,201.0054,2.1053117510706048,2024-07-09,201.0054,target,目標,85,0.11936573206779721,2.1053117510706048
5,NVDA,2024-03-06,2024-03-07,90.00225,74.08832,128.85014,2.441124850995322,2024-06-13,129.1771,target,目標,68,0.43526522948037405,2.4616703730630944
10,JPM,2024-03-06,2024-03-07,180.197,171.9705,203.55780000000001,2.8397009663891044,2024-04-16,171.9705,stop,止蝕,27,-0.04565281330987758,-1.0
11,XOM,2024-03-06,2024-03-07,98.38474,94.95142,109.15712,3.1375985926159022,2024-04-02,109.15712,target,目標,17,0.10949238672582773,3.1375985926159022
5,NVDA,2024-03-07,2024-03-08,94.97365,76.98815,134.84188999999998,2.2166878874649005,2024-04-19,76.98815,stop,止蝕,29,-0.18937357888214257,-1.0
8,META,2024-03-07,2024-03-08,510.2548,476.247,671.7792999999999,4.749630967013451,2024-03-11,476.247,stop,止蝕,1,-0.06664866258974922,-1.0
11,XOM,2024-03-08,2024-03-11,99.90758,95.10834,112.11053000000001,2.5426838416082593,2024-04-05,112.11053000000001,target,目標,18,0.12214238399128496,2.5426838416082593
11,XOM,2024-03-11,2024-03-12,100.6552,95.84668,113.08873000000001,2.585729080881446,2024-04-11,113.2347,target,目標,21,0.12497615622441782,2.616085614700582
12,JNJ,2024-03-12,2024-03-13,151.5856,147.5845,160.07909999999998,2.1227912324110783,2024-03-15,147.4166,stop,止蝕,2,-0.02750261238534535,-1.0419634600484873
10,JPM,2024-03-13,2024-03-14,181.2598,174.447,206.45190000000002,3.6977600986378545,2024-04-12,174.447,stop,止蝕,20,-0.03758582984202785,-1.0
11,XOM,2024-03-13,2024-03-14,101.3658,96.01281,114.37163,2.4296383890125,2024-10-02,114.37163,target,目標,139,0.1283058980445082,2.4296383890125
4,MSFT,2024-03-14,2024-03-15,411.285,390.784,470.28630000000004,2.8779718062533495,2024-04-19,390.784,stop,止蝕,24,-0.04984621369609887,-1.0
11,XOM,2024-03-14,2024-03-15,102.3072,96.01281,117.14963,2.358041049251798,2024-10-04,117.14963,target,目標,140,0.1450770815739264,2.358041049251798
10,JPM,2024-03-18,2024-03-19,182.8538,176.6957,208.8334,4.21876877608352,2024-04-12,176.6957,stop,止蝕,17,-0.033677725045911044,-1.0
10,JPM,2024-03-19,2024-03-20,184.2581,176.6957,210.82610000000003,3.513170422088216,2024-04-12,176.6957,stop,止蝕,16,-0.041042429070960895,-1.0
11,XOM,2024-03-19,2024-03-20,104.0331,97.96943,120.96143000000001,2.7917630741778487,2025-04-07,95.78074,stop,止蝕,262,-0.07932436887875116,-1.3609513710343748
10,JPM,2024-03-20,2024-03-21,186.469,176.6957,214.40320000000003,2.8582157510769153,2024-04-12,176.6957,stop,止蝕,15,-0.05241246534276478,-1.0
4,MSFT,2024-03-21,2024-03-22,421.4963,393.5993,477.3935,2.003699322507797,2024-04-19,393.5993,stop,止蝕,19,-0.06618563436974412,-1.0
10,JPM,2024-03-21,2024-03-22,188.8316,176.6957,219.489,2.526174408160906,2024-04-12,176.6957,stop,止蝕,14,-0.06426837457290002,-1.0
