列型,樣本,event_id,事件,規則,清單家數k,需挑家數,實挑家數,揀到,家數,相對籃子中位,相對大市超額中位,相對籃子勝率
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,c,3,3,3,DVA,1,0.7726,0.6509,1.0
彙總,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,d,3,3,3,KO、PEP、KHC,3,-0.0046,-0.1263,0.3333
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,d,3,3,3,PEP,1,-0.0459,-0.1676,0.0
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,d,3,3,3,KO,1,0.1284,0.0068,1.0
逐家,十四宗,E06,2023-10 減肥藥殺食品與醫療器械,d,3,3,3,KHC,1,-0.0046,-0.1263,0.0
彙總,十四宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,a,1,1,1,MU,1,2.334,2.7674,1.0
逐家,十四宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,a,1,1,1,MU,1,2.334,2.7674,1.0
彙總,十四宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,b,1,1,1,SMCI,1,-0.8093,-0.3758,0.0
逐家,十四宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,b,1,1,1,SMCI,1,-0.8093,-0.3758,0.0
彙總,十四宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,c,1,1,1,ORCL,1,-0.5136,-0.0801,0.0
逐家,十四宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,c,1,1,1,ORCL,1,-0.5136,-0.0801,0.0
彙總,十四宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,d,1,1,1,MSFT,1,-0.5554,-0.122,0.0
逐家,十四宗,E07,2025-01 DeepSeek 殺 AI 資本開支鏈,d,1,1,1,MSFT,1,-0.5554,-0.122,0.0
彙總,十四宗,E08,2025-04 對等關稅殺零售與電子硬件,a,1,1,1,AAPL,1,-0.0369,0.035,0.0
逐家,十四宗,E08,2025-04 對等關稅殺零售與電子硬件,a,1,1,1,AAPL,1,-0.0369,0.035,0.0
彙總,十四宗,E08,2025-04 對等關稅殺零售與電子硬件,b,1,1,1,WMT,1,0.0369,0.1089,1.0
逐家,十四宗,E08,2025-04 對等關稅殺零售與電子硬件,b,1,1,1,WMT,1,0.0369,0.1089,1.0
彙總,十四宗,E08,2025-04 對等關稅殺零售與電子硬件,c,1,1,1,HPQ,1,-0.4141,-0.3422,0.0
逐家,十四宗,E08,2025-04 對等關稅殺零售與電子硬件,c,1,1,1,HPQ,1,-0.4141,-0.3422,0.0
彙總,十四宗,E08,2025-04 對等關稅殺零售與電子硬件,d,1,1,1,WMT,1,0.0369,0.1089,1.0
逐家,十四宗,E08,2025-04 對等關稅殺零售與電子硬件,d,1,1,1,WMT,1,0.0369,0.1089,1.0
彙總,十四宗,E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,a,0,0,0,,0,,,
彙總,十四宗,E09,2014-11 石油輸出國組織不減產殺頁岩油與油服,b,0,0,0,,0,,,
