表,區塊,event_id,步〇可信程度,籃子家數,籃子中位_T,籃子中位_N,同SIC中位_T,同SIC中位_N,入卡家數,_ord,宗數,T錨中位,N錨中位,欄,家數,Spearman,p值,註,樣本,錨,損害級,中位,平均,勝率,判詞,事後,版本,測,全樣本,剔走後最低,剔走哪宗_最低,剔走後最高,剔走哪宗_最高,全負,全正
表三 q1判詞,,,,,,,,,,,,,,,49.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,T,,-0.0946,0.0432,0.4082,__全部__,,,,,,,,,,
表三 q1判詞,,,,,,,,,,,,,,,15.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,N,,-0.1629,-0.0283,0.3333,更壞,,,,,,,,,,
表三 q1判詞,,,,,,,,,,,,,,,16.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,N,,-0.1978,-0.0722,0.3125,相稱,,,,,,,,,,
表三 q1判詞,,,,,,,,,,,,,,,18.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,N,,-0.0661,0.0042,0.4444,更好,,,,,,,,,,
表三 q1判詞,,,,,,,,,,,,,,,0.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,N,,,,,資料不足,,,,,,,,,,
表三 q1判詞,,,,,,,,,,,,,,,49.0,,,已剔模型不適用 3 家:E08 RH、E12 MU、E14 DUOL,,N,,-0.1404,-0.0307,0.3673,__全部__,,,,,,,,,,
表三 秩相關,,,,,,,,,,,,,,便宜度序數 vs 個股十二個月超額,50.0,-0.1395,0.3338,預期正號,全樣本(含模型不適用者),T,,,,,,,,,,,,,,,
表三 秩相關,,,,,,,,,,,,,,便宜度序數 vs 相對籃子中位,50.0,0.0452,0.7552,預期正號,全樣本(含模型不適用者),T,,,,,,,,,,,,,,,
表三 秩相關,,,,,,,,,,,,,,便宜度序數 vs 個股十二個月超額,49.0,-0.1155,0.4292,預期正號,"剔模型不適用者(KARST-214 裁,主用)",T,,,,,,,,,,,,,,,
表三 秩相關,,,,,,,,,,,,,,便宜度序數 vs 相對籃子中位,49.0,0.0835,0.5683,預期正號,"剔模型不適用者(KARST-214 裁,主用)",T,,,,,,,,,,,,,,,
表三 秩相關,,,,,,,,,,,,,,便宜度序數 vs 個股十二個月超額,50.0,-0.1186,0.4121,預期正號,全樣本(含模型不適用者),N,,,,,,,,,,,,,,,
表三 秩相關,,,,,,,,,,,,,,便宜度序數 vs 相對籃子中位,50.0,0.0325,0.8227,預期正號,全樣本(含模型不適用者),N,,,,,,,,,,,,,,,
表三 秩相關,,,,,,,,,,,,,,便宜度序數 vs 個股十二個月超額,49.0,-0.0899,0.5392,預期正號,"剔模型不適用者(KARST-214 裁,主用)",N,,,,,,,,,,,,,,,
表三 秩相關,,,,,,,,,,,,,,便宜度序數 vs 相對籃子中位,49.0,0.0705,0.6304,預期正號,"剔模型不適用者(KARST-214 裁,主用)",N,,,,,,,,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,34.0,,,,,T,,-0.1091,0.0609,0.3824,,守住,,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,34.0,,,,,T,,-0.0212,0.0906,0.4412,,守住(相對籃子中位),,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,18.0,,,,,T,,-0.0261,0.0271,0.5,,被推翻,,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,18.0,,,,,T,,-0.0185,-0.0368,0.3889,,被推翻(相對籃子中位),,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,0.0,,,,,T,,,,,,查不到,,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,0.0,,,,,T,,,,,,查不到(相對籃子中位),,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,34.0,,,,,N,,-0.151,-0.0244,0.3235,,守住,,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,34.0,,,,,N,,-0.0434,0.0482,0.4118,,守住(相對籃子中位),,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,18.0,,,,,N,,-0.0477,-0.0149,0.5,,被推翻,,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,18.0,,,,,N,,-0.0067,-0.0238,0.3889,,被推翻(相對籃子中位),,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,0.0,,,,,N,,,,,,查不到,,,,,,,,,
表四 必要前提,,,,,,,,,,,,,,,0.0,,,,,N,,,,,,查不到(相對籃子中位),,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,前提守住=1 vs 十二個月超額,52.0,-0.07,0.6218,預期負號,全樣本,T,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,前提守住=1 vs 十二個月超額,27.0,-0.0097,0.9618,預期負號,只算高信心,T,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,前提守住=1 vs 相對籃子中位,52.0,0.0673,0.6353,預期負號,全樣本,T,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,事後指向損害成立=1 vs 十二個月超額,52.0,-0.2931,0.035,預期負號,方向校正 全樣本,T,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,事後指向損害成立=1 vs 相對籃子中位,52.0,-0.2101,0.1349,預期負號,方向校正 全樣本,T,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,事後指向損害成立=1 vs 十二個月超額,27.0,-0.2807,0.1562,預期負號,方向校正 只算高信心,T,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,事後指向損害成立=1 vs 相對籃子中位,27.0,-0.3,0.1284,預期負號,方向校正 只算高信心,T,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,前提守住=1 vs 十二個月超額,52.0,-0.0619,0.6626,預期負號,全樣本,N,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,前提守住=1 vs 十二個月超額,27.0,0.0097,0.9618,預期負號,只算高信心,N,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,前提守住=1 vs 相對籃子中位,52.0,0.0269,0.8497,預期負號,全樣本,N,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,事後指向損害成立=1 vs 十二個月超額,52.0,-0.2697,0.0531,預期負號,方向校正 全樣本,N,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,事後指向損害成立=1 vs 相對籃子中位,52.0,-0.1427,0.313,預期負號,方向校正 全樣本,N,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,事後指向損害成立=1 vs 十二個月超額,27.0,-0.2613,0.188,預期負號,方向校正 只算高信心,N,,,,,,,,,,,,,,,
表四 秩相關,,,,,,,,,,,,,,事後指向損害成立=1 vs 相對籃子中位,27.0,-0.2807,0.1562,預期負號,方向校正 只算高信心,N,,,,,,,,,,,,,,,
