arm,slice,layer,size,n_subindustries,members,top_terms
machine_v2,2019-06-30,44,4,3,ACGL CB EG WRB,reinsurance casualty bermuda surplus lines lloyd insurance reinsurance reinsurers syndicate solvency property casualty
machine_v2,2019-06-30,45,6,2,ADI AVGO KEYS QRVO SWKS TXN,semiconductor signal wireless wafer analog amplifiers semiconductors automotive broadband signals
machine_v2,2019-06-30,46,4,3,AAOI IPGP LITE SANM,lasers optical laser transceivers fiber optical components wavelength fiber optic optic modules
machine_v2,2019-06-30,47,14,3,AKAM ANET CRM FTNT MDB MSTR NOW NTNX OKTA P PANW QLYS WDAY ZS,cloud channel partners software platform enterprise architecture subscription enterprises cloud platform user
machine_v2,2019-06-30,48,4,2,CBOE CME ICE RIOT,exchanges futures indexes clearing cftc trading bitcoin futures options venues equities
machine_v2,2019-06-30,49,4,3,NTAP ORCL TRIP VEEV,harmed harm adversely adversely affect adversely affected negatively international tax tax rate open source perception
semantic,2019-06-30,0,3,1,CCL NCLH RCL,guests itineraries ships cruise onboard oceania vacation guest cruises alaska
semantic,2019-06-30,1,3,1,NFLX ROKU WBD,streaming content video programming advertisers movies moments entertainment audiences screens
semantic,2019-06-30,2,6,1,CMG DPZ DRI MCD WEN YUM,restaurant franchisees restaurants menu franchise franchised franchisee chicken food quality food
semantic,2019-06-30,3,3,1,ENPH FSLR RUN,solar installation inverters solar energy module homeowners grid battery modules energy systems
semantic,2019-06-30,4,5,1,ALGT DAL JBLU LUV UAL,flights airline faa airport airports aircraft fares dot flight airline industry
semantic,2019-06-30,5,4,2,CDE NEM RGLD STLD,ounces silver mineral pounds probable reserves proven probable ore metals reserves mines
semantic,2019-06-30,6,5,2,FTI HP NBR NOV OII,drilling rig rigs offshore subsea offshore drilling downhole oil gas drilling rigs drilling rig
semantic,2019-06-30,7,3,3,GME HAS TTWO,game games titles sony entertainment gaming video consoles microsoft pictures
semantic,2019-06-30,8,6,2,BLDR DHI KBH LEN NVR TOL,homebuilding homes land development homebuyers mortgage lots homebuilders land subcontractors housing
