事件表,版本,年份段,進場格,期,表,格,樣本N,未成熟,無進場點,簇數,可信度,勝率,平均超額,中位超額,贏家數,輸家數,贏家平均,輸家平均,贏家中位,輸家中位,平均盈虧比(贏家平均/|輸家平均|),中位盈虧比(贏家中位/|輸家中位|)=原表賠率欄,驗算平均(p x 贏家平均 - (1-p) x |輸家平均|),驗算差(個百分點),最大單筆超額,剔走前三大贏家後平均,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,軸二 200 日線位置,線下逾 10%,408,2,2,335,高,0.5073529411764706,0.007539357974068068,0.0011921919890849,207,201,0.09434397453819339,-0.08185644117406099,0.0552446200444602,-0.0619869711375686,1.1525540713110003,0.8912295443804634,0.007539357974068066,2.6020852139652106e-16,0.5057637588599584,0.004145432899524066,5,0.7294497881235597,21,2.215951453427811,0.0020650822781562023,-0.009664954162491197
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,軸二 200 日線位置,線之上,66,3,7,60,中,0.5909090909090909,0.024145730739617732,0.03397383694002085,39,27,0.1291579686153006,-0.12753861285859086,0.1033402985359819,-0.1439982539762512,1.012696984234141,0.7176496636759582,0.02414573073961774,6.938893903907228e-16,0.3340243488841412,0.01012971055726707,1,0.20960123500379813,4,0.7694788187906085,0.019378367383548135,0.005925205750051599
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,軸二 250 日線位置(緩衝對照),線下 10% 內,108,0,3,102,高,0.5185185185185185,0.0077792550908602305,0.0070994674119382005,56,52,0.09478412393507304,-0.08591829597213817,0.0698772503146251,-0.0822715284763701,1.1031890572621448,0.8493491200263179,0.007779255090860235,4.3368086899420177e-16,0.3385480038417703,-0.0008553636053994591,2,0.7654653430479206,6,1.9046027475772445,0.0018589295452866369,-0.007451084678078569
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,軸二 250 日線位置(緩衝對照),線下逾 10%,374,2,0,310,高,0.5106951871657754,0.01074585504740766,0.00154919224144875,191,183,0.09828623529673479,-0.08062142707074249,0.0591893976055697,-0.0610371139246301,1.2191081064651963,0.9697279867894476,0.01074585504740768,2.0816681711721685e-15,0.5057637588599584,0.007066824955843518,4,0.45415981092065316,19,1.5822175819292814,0.005928930573068113,-0.006591276696641212
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,1m,軸二 250 日線位置(緩衝對照),線之上,89,5,8,79,中,0.5730337078651685,0.01796079256335476,0.030085775353045,51,38,0.12421324063020799,-0.12464117721057981,0.100069587675299,-0.13470829882375085,0.9965666516479635,0.7428613422416364,0.017960792563354762,3.469446951953614e-16,0.3524120611356507,0.006943024667513052,1,0.2204627700146575,5,0.9875865662328017,0.014160209965942305,0.00023622624632561772
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,3m,總表(三格進場),全部,556,22,11,443,高,0.48381294964028776,0.022088279959538902,-0.006900375947679151,269,287,0.20244979101903382,-0.14696135932618973,0.1404846367339762,-0.1268683792247197,1.3775715735568568,1.1073258568641307,0.022088279959538923,2.0816681711721685e-15,2.921219219496061,0.011452533885420694,6,0.6888091512922149,28,1.6133146458692011,0.0069486560844179545,-0.014265470595249758
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,3m,軸一 行業殺 vs 個別殺,個別殺,458,14,6,388,高,0.4672489082969432,0.01490693892308057,-0.0096021698976431,214,244,0.20344666492342728,-0.15045167322476447,0.13560438122474233,-0.1307585225675111,1.3522392975948625,1.037059600874041,0.014906938923080579,8.673617379884035e-16,2.921219219496061,0.0019330672701206944,5,1.1375282069199841,23,2.4757434281283244,-0.0020727528873878552,-0.023161972998516977
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,3m,軸一 行業殺 vs 個別殺,行業殺,98,8,5,68,中,0.5612244897959183,0.05565005745645641,0.0264013547833473,55,43,0.1985710452819391,-0.12715585720404474,0.1710890145558701,-0.0980232639225484,1.5616350646222745,1.745391937683829,0.05565005745645639,2.0816681711721685e-15,0.6878115064443682,0.03748850496427371,1,0.12611819430964735,5,0.5299554599585543,0.04913292911637483,0.027564350050744157
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,3m,軸二 200 日線位置,線下 10% 內,93,6,2,85,中,0.5053763440860215,0.012313595615217658,0.0011812035635627,47,46,0.18606965250461138,-0.1652197668587281,0.144287107211773,-0.137145557271731,1.1261948618031343,1.0520727764144209,0.012313595615217665,6.938893903907228e-16,0.6929877263161628,-0.007233993812334654,1,0.6051425725660449,5,2.395688548316372,0.004914963759772601,-0.018162418501755588
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,3m,軸二 200 日線位置,線下逾 10%,402,8,2,330,高,0.4925373134328358,0.02782764066763419,-0.0025090679055868,198,204,0.19927207031999777,-0.13857430575965987,0.1405051184662745,-0.12217866512278365,1.4380160104544253,1.149997164603768,0.027827640667634185,6.938893903907228e-16,2.921219219496061,0.015314106028476332,5,0.5746811179654555,21,1.2699274765396504,0.011984684255424954,-0.007925461467279769
events.csv(正本),A(淨現金 N2),全期 2010-2026,跌勢衰竭,3m,軸二 200 日線位置,線之上,61,8,7,55,中,0.39344262295081966,-0.0008326603786976444,-0.0584781884457391,24,37,0.2607437580434914,-0.17050385070660407,0.12900971578119463,-0.1475682888652875,1.5292543655930002,0.8742373905207056,-0.0008326603786976416,2.710505431213761e-16,1.8661342617849628,-0.05717080436669098,1,-36.74050757061802,4,-72.61917565215258,-0.03194877574809199,-0.06560150897111783
