版本,年份切法,軸一格,進場格,期,2020年觸發佔比,樣本N,勝率,平均超額,中位超額,賠率,可信度
A(淨現金 N2),建表年份 剔走 2020,全部,跌勢衰竭,3m,0.0,201,0.43283582089552236,-0.006632436235677431,-0.0287278619660903,0.9788648381708306,高
A(淨現金 N2),建表年份 剔走 2020,全部,跌勢衰竭,6m,0.0,201,0.43781094527363185,-0.013887837227734115,-0.0393703310432078,1.05907246807284,高
A(淨現金 N2),建表年份 剔走 2020,全部,跌勢衰竭,12m,0.0,201,0.417910447761194,-0.030841747785079247,-0.0761794014330917,0.7293588787754806,高
A(淨現金 N2),建表年份 剔走 2020,全部,買方回來,1m,0.0,200,0.445,-0.014457135178928784,-0.01619255149646745,0.71880069406647,高
A(淨現金 N2),建表年份 剔走 2020,全部,買方回來,3m,0.0,200,0.39,-0.030763690383268295,-0.048788786768942397,0.8665214617203015,高
A(淨現金 N2),建表年份 剔走 2020,全部,買方回來,6m,0.0,200,0.415,-0.036917879226832456,-0.0663683294898471,0.8263150455965091,高
A(淨現金 N2),建表年份 剔走 2020,全部,買方回來,12m,0.0,200,0.37,-0.04115327454844855,-0.0947155228229513,0.9656412901346392,高
A(淨現金 N2),驗證年份 2022-2026,行業殺,觸發日即買,1m,0.0,73,0.5068493150684932,0.00036384817082637014,0.000431658983824,1.0804930448950236,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,觸發日即買,3m,0.0,64,0.5625,0.04842790992237306,0.048869463026549806,1.0311704597557854,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,觸發日即買,6m,0.0,56,0.5357142857142857,0.09210519965736516,0.016290818428149452,1.4083162510272254,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,觸發日即買,12m,0.0,46,0.5434782608695652,0.19444432125893418,0.013413100983070551,1.8011235720252021,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,跌勢衰竭,1m,0.0,69,0.5507246376811594,0.019784014458009227,0.0202513448447014,0.9536604680840102,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,跌勢衰竭,3m,0.0,64,0.609375,0.06428894620061652,0.04937463001767605,1.4467385340959025,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,跌勢衰竭,6m,0.0,52,0.5769230769230769,0.10566305758964635,0.06341961050015521,1.3047872945181784,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,跌勢衰竭,12m,0.0,46,0.5217391304347826,0.18037818490814012,0.021418778160059798,1.9875060464712946,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,買方回來,1m,0.0,68,0.5441176470588235,0.022527320382126764,0.01799063918233875,1.4064258863450578,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,買方回來,3m,0.0,61,0.6557377049180327,0.10129028841438206,0.0378012347649385,1.6026288576388914,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,買方回來,6m,0.0,48,0.5416666666666666,0.08799613114740867,0.02072802025382975,1.6449171039756865,中
A(淨現金 N2),驗證年份 2022-2026,行業殺,買方回來,12m,0.0,46,0.45652173913043476,0.13825126732307197,-0.032809981505308,2.246847722373701,中
