流動性口徑,負債閘口徑,年份段,組,期,主口徑,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4 只不過市值閘,3m,False,75,0,0,53,-0.1797651152645097,0.14666666666666667,0.0,0.04,2.5657186350808536,中,0.4533333333333333,-0.0199706765915147,0.09209728526838892,-0.1462438108828948,0.1846052005423828,2.445822356556628,1.7881098654399143,1.0,0.3714504906565362,4.0,0.9209959364641779,0.05866996973038267,0.007685978637486499,75.0,0.29333333333333333,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4 只不過市值閘,6m,False,75,0,0,53,-0.2321589670888448,0.29333333333333333,0.0,0.09333333333333334,4.480743596090268,中,0.4666666666666667,-0.0297348317709587,0.1530395921247847,-0.2005215738001142,0.335031091500425,2.5112667734348486,2.3937118937444835,1.0,0.3903777259100186,4.0,0.7794820033638468,0.09455710558471062,0.035649279149336154,75.0,0.29333333333333333,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4 只不過市值閘,12m,False,75,0,0,53,-0.3242535960906847,0.48,0.02666666666666667,0.24,6.633764091673658,中,0.52,0.029638843201752,0.23246227209046064,-0.3419535546775334,0.5056058525126567,2.216142580568302,1.3821046853418804,1.0,0.38049265841539437,4.0,0.663366953448978,0.14595819344744443,0.08266318612181445,75.0,0.29333333333333333,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4a 只不過市值閘(1 億至 5 億),1m,False,70,0,0,50,-0.10680038048276055,0.02857142857142857,0.0,0.014285714285714285,0.7364760127560899,中,0.4857142857142857,-0.00610566163995525,0.02868078334546556,-0.08625672536189201,0.08651285635965791,1.654032819843965,1.0765352072246586,1.0,0.36683397973434206,4.0,1.0753236530153483,0.01842288146994926,-0.00229127115309934,70.0,0.3,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4a 只不過市值閘(1 億至 5 億),3m,False,70,0,0,50,-0.18222047797028645,0.15714285714285714,0.0,0.04285714285714286,1.7433813641528555,中,0.42857142857142855,-0.038229342565552896,0.06252564925080556,-0.15042259624536153,0.18980112423908646,2.221161527879599,2.199277648915506,1.0,0.3983237016768064,4.0,1.037695687978739,0.038165421498601936,-0.0024997926596644028,70.0,0.3,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4a 只不過市值閘(1 億至 5 億),6m,False,70,0,0,50,-0.2332622345341997,0.2857142857142857,0.0,0.1,1.8150746233659385,中,0.4714285714285714,-0.0191734220569095,0.11109134836942255,-0.18566644926349882,0.34417096224385557,2.122609309717593,2.5022882055879205,1.0,0.233408252372903,4.0,0.7003354750354689,0.08639593858686437,0.0353077201450827,70.0,0.3,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4a 只不過市值閘(1 億至 5 億),12m,False,70,0,0,50,-0.31658743596371264,0.4714285714285714,0.02857142857142857,0.21428571428571427,1.745642162437052,中,0.5285714285714286,0.032172972109008546,0.16861034476540374,-0.26679386789983545,0.5062650828239736,1.8536913480855202,1.4555137970825431,1.0,0.1479016320876951,4.0,0.5417230771452354,0.14575481117595962,0.08195327420060483,70.0,0.3,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4b 只不過市值閘(低於 1 億),1m,False,5,0,0,5,-0.1169124497787645,0.0,0.0,0.0,0.8640009799623509,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4b 只不過市值閘(低於 1 億),3m,False,5,0,0,5,-0.1169124497787645,0.0,0.0,0.0,2.5657186350808536,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
含流動性閘(與①池可比),A(資料不足當不過),建表年份 2010-2021,4b 只不過市值閘(低於 1 億),6m,False,5,0,0,5,-0.1888488608518941,0.4,0.0,0.0,4.480743596090268,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
