事件表,版本,年份段,進場格,期,口徑,樣本N,未成熟,無進場點,簇數,可信度,勝率,平均超額,中位超額,贏家數,輸家數,贏家平均,輸家平均,贏家中位,輸家中位,平均盈虧比(贏家平均/|輸家平均|),中位盈虧比(贏家中位/|輸家中位|)=原表賠率欄,驗算平均(p x 贏家平均 - (1-p) x |輸家平均|),驗算差(個百分點),最大單筆超額,剔走前三大贏家後平均,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均
events.csv(正本),A(淨現金 N2),全期 2010-2026,買方回來,6m,正本(120 日冷卻),512,60,17,417,高,0.4375,-0.0037753987587190964,-0.05557803377806955,224,288,0.27339992624301324,-0.21935620709339979,0.20206395632747945,-0.2084034634760712,1.2463742415394798,0.9695806056058198,-0.0037753987587191007,4.3368086899420177e-16,2.3951213801980296,-0.015384813119096846,6,-4.960892603085507,26,-12.401521668919747,-0.02277160123653756,-0.05330287488925677
events.csv(正本),A(淨現金 N2),全期 2010-2026,買方回來,6m,同公司單注(365 曆日),414,39,13,349,高,0.4227053140096618,-0.010586371376703934,-0.062026292571169955,175,239,0.2700664730764798,-0.21608531605999745,0.2007575861252284,-0.2004074588766561,1.2498140919556706,1.0017470769328392,-0.010586371376703943,8.673617379884035e-16,2.3951213801980296,-0.023963258810679018,5,-1.7602870100374322,21,-4.301343638321844,-0.029578653509395748,-0.05912087764893633
events.csv(正本),A(淨現金 N2),全期 2010-2026,買方回來,12m,正本(120 日冷卻),482,90,17,393,高,0.43568464730290457,0.03348112455262003,-0.06188864952033425,210,272,0.43442321938928946,-0.2760697574903968,0.24414511339357492,-0.24054766974820865,1.57359945304549,1.014955221346072,0.033481124552620034,6.938893903907228e-16,4.318216874517566,0.012031719767906101,5,0.9426136962546509,25,2.585464404246554,0.0019414980041019948,-0.05598702239540559
events.csv(正本),A(淨現金 N2),全期 2010-2026,買方回來,12m,同公司單注(365 曆日),390,63,13,330,高,0.4256410256410256,0.01003365033717155,-0.06408617295787694,166,224,0.39036246410370556,-0.2718171670076706,0.2419899326675784,-0.2360272241807948,1.4361214503154969,1.025262799693887,0.010033650337171546,3.469446951953614e-16,4.318216874517566,-0.013482648576022993,4,2.766235978144221,20,7.056517897849139,-0.017905439753565292,-0.06405379273150652
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,1m,正本(120 日冷卻),253,0,0,209,高,0.541501976284585,0.016979486454348963,0.0093013076473986,137,116,0.10214252945451023,-0.08360100398549666,0.0711105033127568,-0.059805112918507694,1.2217859186503335,1.1890371883362914,0.016979486454348963,0.0,0.7289663457738649,0.009861777052840467,3,0.4260816420319787,13,1.116638062535977,0.009861777052840467,-0.0020877290163810644
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,1m,同公司單注(365 曆日),215,0,0,182,高,0.5534883720930233,0.01678787626291271,0.0127494095774485,119,96,0.09718605245640262,-0.08287236297693416,0.0689388286154182,-0.05584282856758615,1.1727196976807863,1.2345153421442838,0.016787876262912713,3.469446951953614e-16,0.7289663457738649,0.00839163956031159,3,0.5071117522134775,11,1.079441469698946,0.00839163956031159,-0.001405566255596635
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,3m,正本(120 日冷卻),253,0,0,209,高,0.5098814229249012,0.04017729525699618,0.0042188998701093,129,124,0.20206018079510177,-0.12823312598829106,0.1443816601305563,-0.1080291163110195,1.5757252990428685,1.3365069072200555,0.040177295256996204,2.0816681711721685e-15,0.9277172922980056,0.030393971352544312,3,0.2524741066298564,13,0.8437036916142803,0.030393971352544312,0.006619705921611126
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,3m,同公司單注(365 曆日),215,0,0,182,高,0.5069767441860465,0.03217745904427691,0.0035625338472697,109,106,0.18380389729120308,-0.12374029349265657,0.1352412269661331,-0.10651620789489655,1.4854005280188787,1.2696774475822552,0.03217745904427694,3.469446951953614e-15,0.90740439311383,0.021532722858373272,3,0.340150935127184,11,0.9750268759859009,0.021532722858373272,0.0008469015204011482
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,6m,正本(120 日冷卻),253,0,0,209,高,0.4624505928853755,0.03783706149683916,-0.0285656062050674,117,136,0.2992981004441886,-0.18709633230345413,0.1997991073803731,-0.1572815809579894,1.599700521968292,1.2703274354403924,0.037837061496839144,1.3877787807814457e-15,3.5697477446936787,0.012170549887668003,3,0.6821572661537088,13,1.4551770468104501,0.012170549887668003,-0.01815545068235629
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,6m,同公司單注(365 曆日),215,0,0,182,高,0.44651162790697674,0.02495455427848346,-0.0388471797512374,96,119,0.27741466827463057,-0.17871074776882845,0.1943712621940995,-0.1537003665067676,1.5523110486532166,1.2646115725790485,0.024954554278483476,1.734723475976807e-15,1.4852541670015609,0.0047619378870076235,3,0.8118382644838009,11,1.789569611381104,0.0047619378870076235,-0.02076579367954869
events.csv(正本),A(淨現金 N2),建表年份 2010-2021,觸發日即買,12m,正本(120 日冷卻),253,0,0,209,高,0.5059288537549407,0.06232704801033581,0.0167536199945559,128,125,0.4116997518980489,-0.29543060077068234,0.2519706027785139,-0.2676406495789809,1.3935582530179953,0.9414511703468169,0.06232704801033581,0.0,3.600580356905249,0.025858910338354066,3,0.5900289880759271,13,1.3905648672615911,0.025858910338354066,-0.025661321141415824
