池,主成因,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
不過三閘,稀釋增發(S-1/S-3/424B),3m,239,16,0,200,-0.1537001943644645,0.15481171548117154,0.0041841004184100415,0.06276150627615062,1.6102484749011694,高,0.497907949790795,-0.0021665338195367,0.039484861972004015,-0.1528856988233831,0.1599193338196922,1.4253432252294769,1.0516271310094603,3.0,0.43435979336532554,12.0,1.291723753050157,0.022618135130778993,-0.012127588711147842,214.0,0.14644351464435146,,,,
不過三閘,稀釋增發(S-1/S-3/424B),12m,202,53,0,169,-0.26212655362617315,0.40594059405940597,0.0297029702970297,0.24752475247524752,3.2105002299804823,高,0.4504950495049505,-0.02989193578365,0.07510914768231064,-0.3273196152022442,0.2908707088098392,1.724473636615583,1.1561323908266141,3.0,0.4831172453443583,11.0,1.3099556914351735,0.03940788882955665,-0.024621270032468032,183.0,0.17326732673267325,0.38190726359068067,0.5228544751584651,-0.009698208572052338,0.16911850998000094
不過三閘,業績(8-K 2.02),3m,1903,60,2,963,-0.1450150215883598,0.1676300578034682,0.0021019442984760903,0.04676826064109301,16.6471220607926,高,0.4776668418286915,-0.0106700167835536,0.02891843071982847,-0.14756846554636843,0.1365750720787857,1.4457486177471157,1.0401296193493188,20.0,0.9990711731528664,96.0,1.8675273585002468,2.7145506543092538e-05,-0.02642034822174812,1176.0,0.12401471361008934,,,,
不過三閘,業績(8-K 2.02),12m,1624,339,2,852,-0.2883500886810918,0.4482758620689655,0.03263546798029557,0.23460591133004927,6.633764091673658,高,0.44027093596059114,-0.062299407014337754,0.024283209529917953,-0.33635694408214045,0.24079818780833126,1.4392064098097708,0.946733343344992,17.0,1.4022701704185527,82.0,3.662682770316854,-0.009871748100508445,-0.0680968725059986,1031.0,0.14532019704433496,0.4131612147635521,0.4668342421338227,-0.009642201956005517,0.05931488350386013
不過三閘,收購或處置(8-K 2.01),3m,35,2,0,34,-0.174394883202234,0.17142857142857143,0.0,0.02857142857142857,1.0956882008839657,中,0.4,-0.0569460859533803,0.006988647840765292,-0.19985724785107212,0.1552464188400286,1.5990435611725837,1.0928952452240637,1.0,4.479461246495603,2.0,7.154146803425337,-0.025031927248740607,-0.04561578081614815,35.0,0.08571428571428572,,,,
不過三閘,收購或處置(8-K 2.01),12m,26,11,0,25,-0.38560273933234956,0.6538461538461539,0.07692307692307693,0.34615384615384615,1.1731186894800645,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
不過三閘,高管離任(8-K 5.02),3m,654,38,0,488,-0.17026758551602267,0.18654434250764526,0.0015290519877675841,0.05657492354740061,2.2825754700265213,高,0.4785932721712538,-0.01495644346294195,0.01294244710103987,-0.17063557390804476,0.1424199676006483,1.2312098597138894,0.8713678468682167,7.0,1.3631494028205609,33.0,3.6217565343461646,-0.004750892466769236,-0.03573509210701753,525.0,0.14220183486238533,,,,
不過三閘,高管離任(8-K 5.02),12m,560,132,0,422,-0.2989545151147891,0.4607142857142857,0.02857142857142857,0.25892857142857145,6.508599321119126,高,0.43214285714285716,-0.05325056415098065,0.029963189938355343,-0.3658374000495581,0.2560261172118696,1.5277353939144922,0.9540281936758515,6.0,1.247926436171528,28.0,3.0556267898202267,-0.007509121773895907,-0.06483487994290013,459.0,0.16607142857142856,0.3911364404136999,0.47662080013408625,-0.020606040163213966,0.08476731527171316
不過三閘,指引或其他重大訊息(8-K 7.01/8.01),3m,936,24,0,622,-0.15896428277601982,0.17841880341880342,0.0010683760683760685,0.05876068376068376,2.280974557864144,高,0.5160256410256411,0.00537948786200965,0.03355319450783801,-0.12737260821870283,0.14373209649686022,1.3230137824289199,1.031607349794331,10.0,0.4953248998652977,47.0,1.3335854855494191,0.017116328556160947,-0.011784607115868225,677.0,0.202991452991453,,,,
不過三閘,指引或其他重大訊息(8-K 7.01/8.01),12m,815,145,0,548,-0.2657221973789445,0.3950920245398773,0.03190184049079755,0.19386503067484662,7.670001350347471,高,0.49079754601226994,-0.0100554931949304,0.09742226367082041,-0.2792357691107174,0.32417900102826847,1.6819635255584744,1.20626853030232,9.0,0.41911292273787126,41.0,1.023925569621439,0.05722324716285702,-0.002454353706704795,588.0,0.2331288343558282,0.44740177439797213,0.531813975590236,0.04813579168231059,0.14857558622641856
