代號,公司,觸發日,相對SPY60日,面板total_debt空白,總債務來源_gatefix,總債務值_gatefix,過負債閘A(N2)_gatefix,資料不足_債務閘,過負債閘B(債務比)_gatefix,過現金流閘,過市值閘,行業殺格,200日線格,250日線格,進場格,期,本次進場日,本次等待交易日,本次結果狀態,對照基準率版本_gatefix,軸一格 樣本N_gatefix,軸一格 勝率_gatefix,軸一格 賠率_gatefix,軸一格 中位超額_gatefix,軸二格 樣本N_gatefix,軸二格 勝率_gatefix,軸二格 賠率_gatefix,軸二格 中位超額_gatefix
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,跌勢衰竭,3m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",2108,0.4857685009487666,0.9332519216818572,-0.0065636304782069,224,0.4508928571428571,0.989939671853675,-0.0258722911594027
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,跌勢衰竭,6m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",1977,0.4198280222559433,0.8900151350493126,-0.0501256874804749,206,0.3932038834951456,0.722302302544646,-0.0527222748622998
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,跌勢衰竭,12m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",1840,0.4358695652173913,0.9718625920292588,-0.0611945813169248,186,0.3548387096774194,1.1371830014762532,-0.1219934083456915
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,買方回來,1m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",2161,0.4803331790837575,0.8248368013378221,-0.0052678963330942,259,0.5096525096525096,0.7746827829222984,0.0045390596691856
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,買方回來,3m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",2049,0.4607125427037579,0.948646882249712,-0.0169951174724946,219,0.4018264840182648,1.1925201724702112,-0.0594080692966024
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,買方回來,6m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",1954,0.4278403275332651,0.8741159335716052,-0.0527509474868579,203,0.3596059113300492,0.8972374591475094,-0.0879543920712921
ENPH,"Enphase Energy, Inc.",2026-08-12,-0.2643,False,panel,572510000.0,False,False,True,True,True,個別殺,線之上,線之上,買方回來,12m,,,無進場點,"B(總債務/四季經營現金流<=3, gatefix)",1803,0.415973377703827,0.9591033605926432,-0.075089864805664,184,0.3097826086956521,1.4025590218094537,-0.1429137725765933
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,觸發日即買,1m,2026-08-25,1.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",627,0.5007974481658692,1.121795328930047,0.000431658983824,350,0.4428571428571428,1.055379008376555,-0.0167644023967379
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,觸發日即買,3m,2026-08-25,1.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",586,0.5255972696245734,1.3187630487841653,0.0105951925216501,303,0.4356435643564356,1.235422228708166,-0.0393220342385094
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,觸發日即買,6m,2026-08-25,1.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",522,0.4770114942528735,1.2767606071537148,-0.0183673474065103,271,0.4206642066420664,0.9874345507664424,-0.05680017201523
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,觸發日即買,12m,2026-08-25,1.0,未成熟,"A2(N2, gatefix, 資料不足當過閘)",475,0.5515789473684211,1.2532693521750238,0.0497617260992173,247,0.3481781376518219,0.8884984047603846,-0.1601997696138006
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,跌勢衰竭,1m,,,無進場點,"A2(N2, gatefix, 資料不足當過閘)",611,0.5319148936170213,1.179588242743833,0.0055571923167738,331,0.5166163141993958,0.8899308337384614,0.0067416786204395
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,跌勢衰竭,3m,,,無進場點,"A2(N2, gatefix, 資料不足當過閘)",571,0.5026269702276708,1.1487707179755144,0.0020424665733689,288,0.4375,0.8842183238081958,-0.040434097325967
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,跌勢衰竭,6m,,,無進場點,"A2(N2, gatefix, 資料不足當過閘)",507,0.5108481262327417,1.0891106335129754,0.0058652640302696,267,0.3745318352059925,0.8455782811306027,-0.1109840594477462
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,跌勢衰竭,12m,,,無進場點,"A2(N2, gatefix, 資料不足當過閘)",475,0.5221052631578947,1.553789134026971,0.0271242461182312,244,0.3524590163934426,0.919449384481784,-0.1457859864514601
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,買方回來,1m,,,無進場點,"A2(N2, gatefix, 資料不足當過閘)",605,0.4611570247933884,1.0796322475892164,-0.0071096379284365,323,0.4953560371517028,0.9381741174596308,-0.0009868870086875
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,買方回來,3m,,,無進場點,"A2(N2, gatefix, 資料不足當過閘)",566,0.4876325088339223,1.1679179408930769,-0.0056511162901842,287,0.3937282229965156,0.9719363130354272,-0.0702176471749519
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,買方回來,6m,,,無進場點,"A2(N2, gatefix, 資料不足當過閘)",494,0.4676113360323887,1.1795347146162452,-0.014488414105374,263,0.3574144486692015,0.8900531366056834,-0.1070862687719819
ARM,ARM HOLDINGS PLC /UK,2026-08-24,-0.2979,True,資料不足,,False,True,False,True,True,行業殺,線之上,線之上,買方回來,12m,,,無進場點,"A2(N2, gatefix, 資料不足當過閘)",471,0.4989384288747346,1.4230610150941574,-0.0009061910147372,240,0.3208333333333333,0.9004599035180132,-0.1797496639128906
