事件表,版本,年份段,進場格,期,樣本N,觀察平均超額,觀察勝率,"缺失平均 -50 個百分點時,平均歸零所需缺失比例 m","缺失平均 -75 個百分點時,平均歸零所需缺失比例 m","缺失平均 -100 個百分點時,平均歸零所需缺失比例 m"
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,觸發日即買,6m,2908,0.0085921151461872,0.4470426409903714,0.01689392125891988,0.0113263965899928,0.008518919607994202
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,觸發日即買,12m,2686,0.0218700709033494,0.4534623976172747,0.04190711850076521,0.028333876034024756,0.021402007482238822
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,跌勢衰竭,1m,3165,0.0082921534602085,0.5077409162717219,0.016313754606990305,0.01093530168071775,0.008223959129059853
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,跌勢衰竭,3m,3055,0.0122015706859967,0.4864157119476268,0.023821814270610326,0.016008325297749048,0.01205448701065279
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,跌勢衰竭,6m,2867,0.0065882855868919,0.4468085106382978,0.013005207136322246,0.008707887383930761,0.006545164176086746
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,跌勢衰竭,12m,2666,0.0331130593872489,0.4441110277569392,0.062112639719065395,0.04228388096753028,0.0320517285948245
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,買方回來,1m,3140,-0.0006134817565246,0.4767515923566879,,,
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,買方回來,3m,3006,0.0016886988236927,0.4637391882900865,0.0033660292281890835,0.0022465401253674846,0.0016858519275257673
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,買方回來,6m,2820,-0.0037786736709537,0.4382978723404255,,,
events.csv(正本),"A2(N2,缺債務標籤當零負債)",全期 2010-2026,買方回來,12m,2625,0.0182658577740821,0.4335238095238095,0.035244185006770005,0.023775438657399506,0.01793820114327614
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,觸發日即買,1m,1378,0.0029883035773246,0.5087082728592163,0.0059410995366519625,0.003968592291709787,0.0029794002249740282
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,觸發日即買,3m,1378,0.0221467944871448,0.5,0.04241488164051163,0.028682103772579366,0.02166694119337018
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,觸發日即買,6m,1378,0.0232724382146052,0.4760522496371553,0.044474802254080646,0.030096039978275334,0.02274314966912497
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,觸發日即買,12m,1378,0.065591598467021,0.5036284470246735,0.1159698953181066,0.08042211149588399,0.061554162552878836
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,跌勢衰竭,1m,1378,0.0116143518541086,0.5058055152394775,0.02270138007664909,0.015249649413556996,0.01148100739458823
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,跌勢衰竭,3m,1378,0.019092069618588,0.4898403483309144,0.036779736651758585,0.024824166537117245,0.01873439131533378
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,跌勢衰竭,6m,1378,0.024696227246398,0.4833091436865022,0.04706766689748013,0.03187859496125205,0.024101022907796418
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,跌勢衰竭,12m,1378,0.0749717291254489,0.4796806966618287,0.1303920268210115,0.09087793736268551,0.0697429775073645
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,買方回來,1m,1374,-0.0002561363871751,0.4810771470160116,,,
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,買方回來,3m,1374,-0.005962877108403,0.4541484716157205,,,
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,買方回來,6m,1374,0.0073706192193413,0.4563318777292576,0.014527091124594481,0.00973185258617314,0.007316690678405072
events.csv(正本),"A2(N2,缺債務標籤當零負債)",建表年份 2010-2021,買方回來,12m,1374,0.049138977960676,0.475254730713246,0.08948368251542117,0.061489902652569685,0.04683743430845807
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,觸發日即買,1m,1837,0.0048053015375635,0.4910179640718562,0.009519118604593198,0.006366279526355924,0.004782321042902916
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,觸發日即買,3m,1729,0.0103928051922806,0.4898785425101215,0.020362366174745176,0.013667679548404683,0.010285905777310854
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,觸發日即買,6m,1530,-0.0046297705977867,0.4209150326797385,,,
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,觸發日即買,12m,1308,-0.0241912937623535,0.400611620795107,,,
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,跌勢衰竭,1m,1787,0.0057303239208719,0.5092333519865697,0.011330789651775922,0.007582498332397059,0.005697674400958747
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,跌勢衰竭,3m,1677,0.0065396103227822,0.4836016696481813,0.012910363157216796,0.008644108297240426,0.006497121678783257
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,跌勢衰竭,6m,1489,-0.0101697692195549,0.4130288784419073,,,
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,跌勢衰竭,12m,1288,-0.0116705173978749,0.406055900621118,,,
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,買方回來,1m,1766,-0.0008915069759391,0.4733861834654587,,,
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,買方回來,3m,1632,0.0081306506194646,0.471813725490196,0.016001102491165382,0.010724603487302734,0.008065076301835058
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,買方回來,6m,1446,-0.014372815048039,0.4211618257261411,,,
events.csv(正本),"A2(N2,缺債務標籤當零負債)",驗證年份 2022-2026,買方回來,12m,1251,-0.0156427490495628,0.3876898481215028,,,
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,觸發日即買,1m,1589,0.0004866516086699,0.4971680302076778,0.0009723568193191544,0.000648448053841812,0.00048641489407921535
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,觸發日即買,3m,1521,0.0173652161999064,0.4990138067061144,0.03356471532325938,0.022629662947066115,0.01706881257919303
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,觸發日即買,6m,1418,0.0114454397517472,0.4555712270803949,0.0223786133615792,0.015031201389135298,0.011315924025082765
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,觸發日即買,12m,1315,0.0315932882777898,0.4653992395437262,0.05943131520742675,0.04042164736010512,0.030625721044127505
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,跌勢衰竭,1m,1569,0.0043879062449733,0.491395793499044,0.008699467593582949,0.005816511914691816,0.004368736638195917
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,跌勢衰竭,3m,1496,0.0137001815976075,0.4846256684491978,0.026669606296419707,0.017939214796240686,0.013515023323775872
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,跌勢衰竭,6m,1392,0.0059856833076748,0.4511494252873563,0.011829748360755662,0.007917720454024415,0.005950068084462107
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,跌勢衰竭,12m,1310,0.0408998490857654,0.4763358778625954,0.07561445830479478,0.051713057137440684,0.03929278030128279
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,買方回來,1m,1548,0.0005862067338238,0.4864341085271317,0.001171040523966141,0.000780998542958415,0.0005858632968141074
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,買方回來,3m,1452,0.0051086286506815,0.4683195592286501,0.010113920770524946,0.006765422161590457,0.005082663211776056
events.csv(正本),B(總債務/四季經營現金流<=3),全期 2010-2026,買方回來,6m,1373,0.000910671977316,0.4573925710123816,0.0018180326917795041,0.001212756738318816,0.0009098434084202061
