entity_id,ticker,trigger_date,月,日,close,adj_close,成交股數,該列代號
0001477641,DQ,2020-05-14,2020-03,2020-03-31,11.583999633789062,11.583999633789062,1441500.0,DQ
0001477641,DQ,2020-05-14,2020-04,2020-04-30,10.425999641418457,10.425999641418457,1152500.0,DQ
0001477641,DQ,2020-05-14,2020-05,2020-05-29,10.234000205993652,10.234000205993652,1297000.0,DQ
0001477641,DQ,2020-05-14,2020-06,2020-06-30,14.847999572753906,14.847999572753906,2628500.0,DQ
0001477641,DQ,2020-05-14,2020-07,2020-07-31,22.18199920654297,22.18199920654297,994500.0,DQ
0001477641,DQ,2020-05-14,2020-08,2020-08-31,22.562000274658203,22.562000274658203,2372500.0,DQ
0001477641,DQ,2020-05-14,2020-09,2020-09-30,27.04800033569336,27.04800033569336,3248500.0,DQ
0001477641,DQ,2020-05-14,2020-10,2020-10-30,36.52199935913086,36.52199935913086,1313500.0,DQ
0001477641,DQ,2020-05-14,2020-11,2020-11-30,43.02000045776367,43.02000045776367,2279400.0,DQ
0001477641,DQ,2020-05-14,2020-12,2020-12-31,57.36000061035156,57.36000061035156,1529300.0,DQ
0001477641,DQ,2020-05-14,2021-01,2021-01-29,88.05999755859375,88.05999755859375,3281800.0,DQ
0001477641,DQ,2020-05-14,2021-02,2021-02-26,104.25,104.25,7164700.0,DQ
0001477641,DQ,2020-05-14,2021-03,2021-03-31,75.5,75.5,3429500.0,DQ
0001477641,DQ,2020-05-14,2021-04,2021-04-30,80.48999786376953,80.48999786376953,1857400.0,DQ
0001477641,DQ,2020-05-14,2021-05,2021-05-17,71.23999786376953,71.23999786376953,1597700.0,DQ
0000723125,MU,2025-04-04,2024-12,2024-12-31,84.16000366210938,83.83697509765625,18691500.0,MU
0000723125,MU,2025-04-04,2025-01,2025-01-31,91.23999786376953,90.88977813720703,20492100.0,MU
0000723125,MU,2025-04-04,2025-02,2025-02-28,93.62999725341797,93.2706069946289,23359100.0,MU
0000723125,MU,2025-04-04,2025-03,2025-03-31,86.88999938964844,86.66918182373047,21089500.0,MU
0000723125,MU,2025-04-04,2025-04,2025-04-30,76.94999694824219,76.75444793701172,19779300.0,MU
0000723125,MU,2025-04-04,2025-05,2025-05-30,94.45999908447266,94.21994018554688,23758200.0,MU
0000723125,MU,2025-04-04,2025-06,2025-06-30,123.25,122.93678283691406,22799700.0,MU
0000723125,MU,2025-04-04,2025-07,2025-07-31,109.13999938964844,108.9651107788086,29224300.0,MU
0000723125,MU,2025-04-04,2025-08,2025-08-29,119.01000213623047,118.81929016113281,16774000.0,MU
0000723125,MU,2025-04-04,2025-09,2025-09-30,167.32000732421875,167.0518798828125,20092500.0,MU
0000723125,MU,2025-04-04,2025-10,2025-10-31,223.77000427246094,223.55133056640625,16320000.0,MU
0000723125,MU,2025-04-04,2025-11,2025-11-28,236.47999572753906,236.2489013671875,12914700.0,MU
0000723125,MU,2025-04-04,2025-12,2025-12-31,285.4100036621094,285.24627685546875,17573800.0,MU
0000723125,MU,2025-04-04,2026-01,2026-01-30,414.8800048828125,414.6419982910156,51022900.0,MU
0000723125,MU,2025-04-04,2026-02,2026-02-27,412.3699951171875,412.1334533691406,28653900.0,MU
0000723125,MU,2025-04-04,2026-03,2026-03-31,337.8399963378906,337.7880554199219,73551800.0,MU
0000723125,MU,2025-04-04,2026-04,2026-04-09,421.510009765625,421.4451904296875,43101000.0,MU
0000723612,CAR,2020-03-31,2019-12,2019-12-31,32.2400016784668,30.631460189819336,783300.0,CAR
0000723612,CAR,2020-03-31,2020-01,2020-01-31,32.79999923706055,31.163516998291016,610700.0,CAR
0000723612,CAR,2020-03-31,2020-02,2020-02-28,32.380001068115234,30.764474868774414,3363800.0,CAR
0000723612,CAR,2020-03-31,2020-03,2020-03-31,13.899999618530273,13.206490516662598,4353700.0,CAR
0000723612,CAR,2020-03-31,2020-04,2020-04-30,16.479999542236328,15.657767295837402,4729900.0,CAR
0000723612,CAR,2020-03-31,2020-05,2020-05-29,21.530000686645508,20.455810546875,8647300.0,CAR
0000723612,CAR,2020-03-31,2020-06,2020-06-30,22.889999389648438,21.747955322265625,3595100.0,CAR
0000723612,CAR,2020-03-31,2020-07,2020-07-31,25.899999618530273,24.607778549194336,4344100.0,CAR
