年份段,行業共跌,主成因,期,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
全期 2010-2026,個別殺,定期報告(10-K/10-Q),3m,187,7,0,162,-0.1326164482501785,0.12299465240641712,0.0,0.03208556149732621,1.0889458497505324,高,0.42245989304812837,-0.0456172759228982,-0.007052583047759103,-0.17377589847966923,0.1302768554169788,1.2724924934976198,1.1366479495266089,2.0,-1.5888640392517035,10.0,-5.432693839678002,-0.01845556435116546,-0.04793022094463679,157.0,0.08021390374331551,,,,
全期 2010-2026,個別殺,定期報告(10-K/10-Q),12m,159,35,0,136,-0.2991160009208827,0.4528301886792453,0.018867924528301886,0.1949685534591195,4.011141292429923,高,0.42138364779874216,-0.0688803177994735,0.026842352029407657,-0.33783288778354603,0.21599088787006246,1.5841017993472208,1.016514755556003,2.0,1.369554817370341,8.0,3.1869429986613222,-0.01004608636828589,-0.061812770333060804,134.0,0.09433962264150944,0.3424657534246575,0.5029585798816568,-0.05988550051298407,0.12353768318905904
全期 2010-2026,個別殺,其他申報,3m,760,33,0,504,-0.13440348814401065,0.13289473684210526,0.002631578947368421,0.03684210526315789,1.7433813641528555,高,0.49736842105263157,-0.00088268882496995,0.02996599765252767,-0.1377296191493913,0.14808143364495355,1.3840151915236085,1.1047610554266234,8.0,0.4640080175962034,38.0,1.3593598536317324,0.016232401874639927,-0.011335343716148619,583.0,0.10526315789473684,,,,
全期 2010-2026,個別殺,其他申報,12m,671,122,0,449,-0.2635408121179942,0.39940387481371087,0.01788375558867362,0.19821162444113263,3.061586771067589,高,0.4366616989567809,-0.0647324104105459,0.03081960807088794,-0.31804544965553244,0.2832166762647627,1.5170673968628043,1.2194425166616916,7.0,0.789873967204679,34.0,2.4585749135720683,0.006544273081413558,-0.047352066745138116,517.0,0.11922503725782414,0.3970524110807113,0.47774480712166173,-0.00904472926029423,0.07416879257813581
全期 2010-2026,個別殺,無申報,3m,277,6,0,255,-0.1364951119367585,0.148014440433213,0.0,0.04332129963898917,1.1577107379257896,高,0.5126353790613718,0.0103842584385636,0.021245479911387703,-0.1309904108148676,0.1478710618579446,1.190830219249238,1.0386060009772773,3.0,0.5007672197529428,14.0,1.6399367541630716,0.010722568908996666,-0.014319492308254989,233.0,0.08664259927797834,,,,
全期 2010-2026,個別殺,無申報,12m,250,33,0,229,-0.2882150939588071,0.412,0.032,0.2,1.745642162437052,高,0.42,-0.0876466901690808,-0.038217141028482476,-0.38466774073061505,0.22606213612125964,1.1213334912394741,0.8492429547688916,3.0,-0.4990702718853631,13.0,-1.635706733059871,-0.057986012137903324,-0.10625440498636066,209.0,0.096,0.359367458976834,0.4853586867827566,-0.10168749190304308,0.024578567436737093
全期 2010-2026,行業不明,0 全部觸發(不分成因),3m,34,1,0,16,-0.0885765866695909,0.11764705882352941,0.0,0.0,0.6632371914491912,中,0.5294117647058824,0.005079826472222999,0.010139586978812462,-0.08418950697531982,0.0824277496576906,1.0236706262057105,0.7101788758801538,1.0,1.9238432748646825,2.0,2.8543188905315016,-0.009651249520289926,-0.019977154406811637,27.0,0.058823529411764705,,,,
全期 2010-2026,行業不明,0 全部觸發(不分成因),12m,20,15,0,11,-0.24882469252122486,0.4,0.0,0.1,0.9439707076841906,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,稀釋增發(S-1/S-3/424B),3m,4,0,0,3,-0.0978600706671425,0.0,0.0,0.0,0.0415045068343804,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,稀釋增發(S-1/S-3/424B),12m,1,3,0,1,-0.2221196455636446,0.0,0.0,0.0,-0.335674220465279,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,行業不明,業績(8-K 2.02),3m,13,0,0,8,-0.0868212342831598,0.0,0.0,0.0,0.6632371914491912,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
