年份段,主成因,期,全期觸發宗數,樣本N,未成熟,其他不可判,公司數,中位期內最大跌幅,觸及負33比例,觸及負80比例,觸及負50比例,最大單筆超額,可信度,勝率,中位超額,平均超額,p25超額,p75超額,平均盈虧比,中位盈虧比,前1%事件數,前1%佔總超額比例,前5%事件數,前5%佔總超額比例,剔走前1%後平均,剔走前5%後平均,簇數,2020年觸發佔比,勝率下限,勝率上限,平均超額下限,平均超額上限
全期 2010-2026,退市或不合規通知(8-K 3.01),6m,15,11,3,1,11,-0.2476852150794888,0.36363636363636365,0.0,0.36363636363636365,3.194321501805022,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,退市或不合規通知(8-K 3.01),12m,15,10,4,1,10,-0.5288937686551185,0.7,0.2,0.5,3.904266355596894,"低(樣本不足,只報樣本數)",,,,,,,,,,,,,,,,,,,
全期 2010-2026,稀釋增發(S-1/S-3/424B),1m,414,412,2,0,356,-0.09663592983139245,0.0703883495145631,0.0,0.01699029126213592,2.372351894018505,高,0.5169902912621359,0.007238165195516301,0.026803209234113032,-0.08245517685172203,0.0926104782385431,1.3668715569260301,0.9483402466343883,5.0,0.5922319299614464,21.0,1.349491555123733,0.011063761854782148,-0.009870608834642516,320.0,0.13349514563106796,0.4672822932614309,0.5673076923076923,0.002661131379642207,0.05350596231080396
全期 2010-2026,稀釋增發(S-1/S-3/424B),3m,414,390,24,0,340,-0.16865659590107135,0.18205128205128204,0.002564102564102564,0.06666666666666667,5.568859593895285,高,0.48717948717948717,-0.0039809242026205005,0.04487041390060034,-0.1673049994815784,0.1546674571050791,1.5360285091256658,1.0239451719437154,4.0,0.5700574732379771,20.0,1.4002638972836952,0.01949161310989622,-0.01893081791575363,306.0,0.14102564102564102,0.4344413814098228,0.543018161036322,0.003135539089109946,0.09529654432710617
全期 2010-2026,稀釋增發(S-1/S-3/424B),6m,414,368,46,0,319,-0.2244766302553639,0.30434782608695654,0.002717391304347826,0.15760869565217392,7.487853119910277,高,0.44021739130434784,-0.0407496711742283,0.06535469593598058,-0.2642787184486405,0.22400279768437598,1.8305081191440022,1.1435841552316268,4.0,0.6917908656145855,19.0,1.4922510024438018,0.02036426496863133,-0.03392233973843504,289.0,0.14945652173913043,0.3890303162170003,0.4958022831774219,-5.502445555275259e-05,0.13528995598115423
全期 2010-2026,稀釋增發(S-1/S-3/424B),12m,414,333,81,0,289,-0.2908757096588222,0.44144144144144143,0.03903903903903904,0.2852852852852853,6.000356724088963,高,0.4264264264264264,-0.0676564637320292,0.057019268496188644,-0.3851262830233581,0.2581719715375823,1.7167736339286117,0.9558146215745711,4.0,0.8250383963026836,17.0,2.011332841169184,0.01009747363230321,-0.06076771450509427,265.0,0.16516516516516516,0.3672790670417253,0.48077185792349725,-0.025092544633509465,0.13954838869749242
全期 2010-2026,業績(8-K 2.02),1m,3185,3149,33,3,1413,-0.0881279622654397,0.04858685296919657,0.000952683391552874,0.01651317878691648,1.7398342065474424,高,0.49158463004128294,-0.002581988371151,0.003101584491307313,-0.077346321297764,0.0695071868069636,1.0968941915106405,0.9377236011654992,32.0,2.481917840151497,158.0,6.620826781352014,-0.004643480233040413,-0.01835439465962227,1668.0,0.1120990790727215,0.47182850309321744,0.5120257150487536,-0.003180555476266849,0.009776470969294578
全期 2010-2026,業績(8-K 2.02),3m,3185,3081,101,3,1382,-0.1432398405882111,0.15774099318403115,0.0019474196689386564,0.04219409282700422,16.6471220607926,高,0.47517039922103216,-0.0112701648371615,0.022374013625533797,-0.1473529381073818,0.1331365402146631,1.3828123135528676,1.013861230097367,31.0,1.0661519776292896,155.0,2.151260841000308,-0.0014951287382481138,-0.02712283035353487,1636.0,0.11457319052255761,0.4543490325864601,0.4943793847498621,0.005724222428906383,0.0425261821585874
全期 2010-2026,業績(8-K 2.02),6m,3185,2879,303,3,1311,-0.2038584897705591,0.28516846127127476,0.005904828065300452,0.11184439041333796,5.371946352213611,高,0.44251476207016327,-0.0401782341435621,0.006593400650857255,-0.2276569222093822,0.15636938249499727,1.322472076012279,0.9345311747211253,29.0,3.641741736941068,144.0,8.972248937849544,-0.01759529810491755,-0.055331781358402395,1551.0,0.12261201806182702,0.42330982664405503,0.46319459088015247,-0.011235579033081812,0.025820614079340783
全期 2010-2026,業績(8-K 2.02),12m,3185,2661,521,3,1238,-0.2834843468157141,0.4419391206313416,0.029688087185268695,0.22510334460729048,11.705683397360184,高,0.43404735062006766,-0.0721615434880205,0.017540864472216214,-0.3364638867454128,0.2264747496615122,1.4279238312589786,0.9438826579419137,27.0,2.2364940856136037,134.0,5.163848553129052,-0.021911501573470212,-0.07691048511707645,1451.0,0.13265689590379556,0.41077727518247964,0.4576466283281717,-0.01355238920986945,0.048696200643064645
