事件表,版本,名次,entity_id,primary_ticker,name,trigger_date,trigger_year,entry_A_date,超額,mcap,shares,cash,total_debt,has_total_debt,ttm_ocf,ttm_method,split_basis_suspect,dollar_vol_60d,rel60,px_vs_sma200,industry_kill,sic2,sic_description,is_foreign_filer,panel_period_end,panel_filed,currency
events.csv(正本),B(總債務/四季經營現金流<=3),5,0000723612,CAR,"AVIS BUDGET GROUP, INC.",2020-03-31,2020,2020-04-01,2.4924322238772105,1026172698.237854,73825376.0,615000000.0,3483000000.0,True,2445000000.0,YTD_diff,False,60045832.99207688,-0.4709104001522064,-0.5429969375402492,行業殺,75.0,Services-Auto Rental & Leasing (No Drivers),False,2019-09-30,2019-11-01,USD
events.csv(正本),B(總債務/四季經營現金流<=3),6,0001035983,FIX,COMFORT SYSTEMS USA INC,2025-02-21,2025,2025-02-24,2.4576013817173674,12941314568.0,35553062.0,549939000.0,68335000.0,True,849057000.0,FY_latest,False,169252158.9691162,-0.2673274278640747,-0.0504530403289579,行業殺,17.0,Electrical Work,False,2024-12-31,2025-02-20,USD
events.csv(正本),B(總債務/四季經營現金流<=3),7,0001314727,SONO,Sonos Inc,2020-03-13,2020,2020-03-16,2.3636732860384813,929515780.5188084,110001870.0,408419000.0,32631000.0,True,147426000.0,YTD_diff,False,22132045.25952339,-0.3125176131725311,-0.350424741911913,個別殺,36.0,Household Audio & Video Equipment,False,2019-12-28,2020-02-06,USD
events.csv(正本),B(總債務/四季經營現金流<=3),8,0000077543,TPC,TUTOR PERINI CORP,2025-02-06,2025,2025-02-07,2.057862042741794,1282030973.35458,52434803.0,287403000.0,655706000.0,True,301630000.0,YTD_diff,False,11510954.189491272,-0.2798569500446319,0.0324341458222423,行業殺,15.0,General Bldg Contractors - Nonresidential Bldgs,False,2024-09-30,2024-11-06,USD
events.csv(正本),B(總債務/四季經營現金流<=3),9,0001760965,KTB,"Kontoor Brands, Inc.",2020-05-22,2020,2020-05-26,2.037083389517621,801752611.3016214,57104887.0,479366000.0,1392223000.0,True,525884000.0,YTD_diff,False,24694783.03089142,-0.5796748995780945,-0.5603104394989686,行業殺,23.0,"Men's & Boys' Furnishgs, Work Clothg, & Allied Garments",False,2020-03-28,2020-05-08,USD
events.csv(正本),B(總債務/四季經營現金流<=3),10,0001370450,WLDN,"Willdan Group, Inc.",2025-01-29,2025,2025-01-30,2.0277775328040093,520642532.5211334,14124865.0,53106000.0,91894000.0,True,53713000.0,YTD_diff,False,4827611.973571777,-0.257743775844574,0.0036637265724879,個別殺,87.0,Services-Engineering Services,False,2024-09-27,2024-11-01,USD
events.csv(正本),B(總債務/四季經營現金流<=3),11,0001511737,UI,Ubiquiti Inc.,2012-11-06,2012,2012-11-07,1.869105228604632,986841190.5079994,88984777.0,122060000.0,29591000.0,True,81788000.0,FY_latest,False,4440445.081520081,-0.2771627306938171,-0.4125271674552728,個別殺,36.0,Radio & Tv Broadcasting & Communications Equipment,False,2012-06-30,2012-09-28,USD
events.csv(正本),B(總債務/四季經營現金流<=3),12,0001039399,FORM,FORMFACTOR INC,2025-03-24,2025,2025-03-25,1.8141115653811544,2505527924.06971,77450635.0,184506000.0,13586000.0,True,90871000.0,YTD_diff,False,28345280.53998947,-0.2716180086135864,-0.2793399304371443,個別殺,36.0,Semiconductors & Related Devices,False,2024-09-28,2024-11-05,USD
events.csv(正本),B(總債務/四季經營現金流<=3),13,0000874238,STRL,"STERLING INFRASTRUCTURE, INC.",2025-02-11,2025,2025-02-12,1.7274700170721498,4449714802.366333,30713105.0,648127000.0,322610000.0,True,470204000.0,YTD_diff,False,59242276.19934082,-0.2564602494239807,0.020772360656009,個別殺,16.0,Heavy Construction Other Than Bldg Const - Contractors,False,2024-09-30,2024-11-07,USD
events.csv(正本),B(總債務/四季經營現金流<=3),14,0001530721,CPRI,Capri Holdings Ltd,2020-08-28,2020,2020-08-31,1.7192222946734037,2546839349.112734,150344703.0,207000000.0,1768000000.0,True,768000000.0,YTD_diff,False,52313055.19618988,-0.2525461316108703,-0.2398548837358981,行業殺,31.0,Leather & Leather Products,True,2020-06-27,2020-08-05,USD
events.csv(正本),B(總債務/四季經營現金流<=3),15,0001680247,PUMP,ProPetro Holding Corp.,2025-04-29,2025,2025-04-30,1.5389838917216303,576406567.7838545,102929746.0,46566000.0,45000000.0,True,284103000.0,YTD_diff,False,11083928.022909164,-0.3173836767673492,-0.3061724624212845,個別殺,13.0,"Oil & Gas Field Services, NEC",False,2024-09-30,2024-10-31,USD
events.csv(正本),B(總債務/四季經營現金流<=3),16,0000107687,WGO,WINNEBAGO INDUSTRIES INC,2020-03-17,2020,2020-03-18,1.4571439735964535,956854050.7108116,33680185.0,101328000.0,463516000.0,True,158612000.0,YTD_diff,False,30729992.459869385,-0.2649075090885162,-0.3520550202107713,行業殺,37.0,Motor Homes,False,2019-11-30,2019-12-20,USD
events.csv(正本),B(總債務/四季經營現金流<=3),17,0001681459,FTI,TechnipFMC plc,2021-12-23,2021,2021-12-27,1.42851647122381,2722230882.007141,450700480.0,1034000000.0,2255800000.0,True,852600000.0,YTD_diff,False,35636433.97819996,-0.2521528303623199,-0.2019682116407398,個別殺,35.0,Oil & Gas Field Machinery & Equipment,False,2021-09-30,2021-10-27,USD
events.csv(正本),B(總債務/四季經營現金流<=3),18,0000880266,AGCO,AGCO CORP /DE,2020-03-17,2020,2020-03-18,1.4211822343243,3435182903.105297,75465353.0,432800000.0,1345200000.0,True,695900000.0,FY_latest,False,32257910.02120972,-0.2671320736408233,-0.3730333482482948,行業殺,35.0,Farm Machinery & Equipment,False,2019-12-31,2020-02-28,USD
