status,ticker,entry_date,entry_px,exit_date,exit_px,bars,exit_reason,flag,ret,spy_ret,excess,premise,event_id,entity_id,arm,tag
成交,LULU,2025-05-15,313.859985,2025-06-23,226.729996,25.0,跌回200日線下連續10日,升穿確認,-0.27905189247803786,0.01919387622018265,-0.2982457686982205,,E08,0001397187,D,主口徑
成交,BBY,2025-08-25,70.848068,2026-01-27,64.885445,106.0,跌回200日線下連續10日,升穿確認,-0.08599145998866964,0.08403430012295687,-0.1700257601116265,守住,E08,0000764478,D,主口徑
成交,WMT,2025-04-10,87.572402,2026-04-14,124.513718,252.0,期末未平,即日確認,0.4189951691635967,0.3199184838805411,0.09907668528305558,,E08,0000104169,D,主口徑
成交,AMZN,2025-05-13,211.080002,2026-02-20,204.759995,194.0,跌回200日線下連續10日,升穿確認,-0.03188043630312243,0.17972299957139115,-0.21160343587451358,,E08,0001018724,D,主口徑
成交,NVDA,2025-05-14,133.013585,2026-04-06,176.95376,223.0,跌回200日線下連續10日,升穿確認,0.3276841622468796,0.1285594828228651,0.19912467942401446,,E08,0001045810,D,主口徑
成交,AMD,2025-06-17,127.93,2026-06-18,537.369995,252.0,期末未平,升穿確認,3.1921034254484466,0.26163514725680725,2.9304682781916394,,E08,0000002488,D,主口徑
成交,AVGO,2025-04-10,173.616266,2026-03-31,298.916931,243.0,跌回200日線下連續10日,即日確認,0.7182687039372151,0.21439486162380983,0.5038738423134053,,E08,0001730168,D,主口徑
成交,MU,2025-05-14,96.055279,2026-05-15,724.548523,252.0,期末未平,升穿確認,6.527958437152141,0.2719137008118091,6.256044736340332,,E08,0000723125,D,主口徑
成交,TSM,2025-05-13,184.99021,2026-05-14,416.744049,252.0,期末未平,升穿確認,1.248286425288983,0.29710952889047926,0.9511768963985037,,E08,0001046179,D,主口徑
成交,AAPL,2025-08-11,227.08116933177635,2025-08-11,227.08116933177635,0.0,進場即失效(前提覆核日不遲於進場日),升穿確認,-0.001998999999999973,0.22525231914140953,-0.2272513191414095,被推翻,E08,0000320193,D,主口徑
成交,DELL,2025-05-15,107.141168,2026-01-22,113.689784,172.0,跌回200日線下連續10日,升穿確認,0.059000203495011005,0.18836305119561159,-0.12936284770060058,,E08,0001571996,D,主口徑
成交,HPQ,2025-09-03,27.584626,2025-10-08,25.536871,25.0,跌回200日線下連續10日,升穿確認,-0.07608598166285452,0.045806095389939294,-0.12189207705279381,,E08,0000047217,D,主口徑
成交,QCOM,2019-05-28,56.345647,2019-07-31,63.848798,45.0,①前提被推翻(事後欄),即日確認,0.13089774178226476,0.06840178892170878,0.06249595286055598,被推翻,E12,0000804328,D,主口徑
成交,MU,2019-07-02,38.634936,2019-10-01,42.028404,63.0,①前提被推翻(事後欄),升穿確認,0.08565959555658598,0.011856662741773993,0.07380293281481198,被推翻,E12,0000723125,D,主口徑
成交,AVGO,2019-05-28,21.36807,2020-03-10,21.993691,198.0,跌回200日線下連續10日,即日確認,0.02722078901980174,0.020021905309973276,0.007198883709828463,,E12,0001730168,D,主口徑
成交,SWKS,2019-07-02,68.499692,2019-11-01,79.922999,86.0,①前提被推翻(事後欄),升穿確認,0.16443199242387063,0.03625795781645147,0.12817403460741916,被推翻,E12,0000004127,D,主口徑
成交,AMD,2019-05-28,27.27,2020-05-27,52.740002,252.0,期末未平,即日確認,0.9301273755617658,0.09411095034996864,0.8360164252117972,,E12,0000002488,D,主口徑
成交,LITE,2019-06-28,52.599998,2019-08-13,57.220001,31.0,①前提被推翻(事後欄),升穿確認,0.08565817670809595,-0.016542243213099272,0.10220041992119522,被推翻,E12,0001633978,D,主口徑
成交,QRVO,2019-07-02,70.370003,2020-03-26,79.389999,185.0,跌回200日線下連續10日,升穿確認,0.12592433833203032,-0.14283686337980595,0.26876120171183626,,E12,0001604778,D,主口徑
成交,INTC,2019-07-05,41.852402,2019-08-16,40.652397,30.0,跌回200日線下連續10日,升穿確認,-0.03061398449764774,-0.036847838310935854,0.006233853813288115,,E12,0000050863,D,主口徑
未成交,ZM,,,,,,期內未確認,,0.0,,0.1329019840250425,,E13,0001585521,D,主口徑
未成交,DOCU,,,,,,期內未確認,,0.0,,0.1329019840250425,,E13,0001261333,D,主口徑
未成交,SHOP,,,,,,期內未確認,,0.0,,0.1329019840250425,,E13,0001594805,D,主口徑
未成交,ASAN,,,,,,期內未確認,,0.0,,0.1329019840250425,,E13,0001477720,D,主口徑
未成交,TWLO,,,,,,期內未確認,,0.0,,0.1329019840250425,,E13,0001447669,D,主口徑
