日期,舊來源(yfinance),新來源(Cboe),絕對差,相對差
2021-07-27,19.360000610351562,19.36,6.103515630684342e-07,3.152642271829715e-08
2021-07-28,18.309999465942383,18.31,5.340576159085231e-07,2.9167538584689746e-08
2021-07-29,17.700000762939453,17.7,7.629394538355427e-07,4.3103922087562714e-08
2021-07-30,18.239999771118164,18.24,2.2888183437430598e-07,1.2548346340262858e-08
2021-08-02,19.459999084472656,19.46,9.155273446026513e-07,4.7046628349184275e-08
2021-08-03,18.040000915527344,18.04,9.155273446026513e-07,5.074985022947759e-08
2021-08-04,17.969999313354492,17.97,6.866455066756316e-07,3.821065848151411e-08
2021-08-05,17.280000686645508,17.28,6.866455066756316e-07,3.973642820548563e-08
2021-08-06,16.149999618530273,16.15,3.8146972514141453e-07,2.3620416975349134e-08
2021-08-09,16.719999313354492,16.72,6.866455066756316e-07,4.1067316679086134e-08
2021-08-10,16.790000915527344,16.79,9.155273446026513e-07,5.4528129522373896e-08
2021-08-11,16.170000076293945,16.06,0.11000007629394659,0.006802725774578838
2021-08-12,15.59000015258789,15.59,1.5258789076710855e-07,9.787549023325663e-09
2021-08-13,15.449999809265137,15.45,1.9073486257070726e-07,1.2345298700672241e-08
2021-08-16,16.1200008392334,16.12,8.392333974427402e-07,5.206162244112207e-08
2021-08-17,17.90999984741211,17.91,1.5258789076710855e-07,8.519703633004587e-09
2021-08-18,21.56999969482422,21.57,3.051757815342171e-07,1.4148158824844345e-08
2021-08-19,21.670000076293945,21.67,7.629394360719743e-08,3.5207172745079845e-09
2021-08-20,18.559999465942383,18.56,5.340576159085231e-07,2.87746568575349e-08
2021-08-23,17.149999618530273,17.15,3.8146972514141453e-07,2.2243133156063933e-08
2021-08-24,17.219999313354492,17.22,6.866455066756316e-07,3.987488583365522e-08
2021-08-25,16.790000915527344,16.79,9.155273446026513e-07,5.4528129522373896e-08
2021-08-26,18.84000015258789,18.84,1.5258789076710855e-07,8.099144879579465e-09
2021-08-27,16.389999389648438,16.39,6.103515630684342e-07,3.7239266979711955e-08
2021-08-30,16.190000534057617,16.19,5.340576159085231e-07,3.29868806850913e-08
2021-08-31,16.479999542236328,16.48,4.5776367230132564e-07,2.7776922634501925e-08
2021-09-01,16.110000610351562,16.11,6.103515630684342e-07,3.788650154837671e-08
2021-09-02,16.40999984741211,16.41,1.5258789076710855e-07,9.29846996867413e-09
2021-09-03,16.40999984741211,16.41,1.5258789076710855e-07,9.29846996867413e-09
2021-09-07,18.139999389648438,18.14,6.103515630684342e-07,3.364672456476103e-08
2021-09-08,17.959999084472656,17.96,9.155273446026513e-07,5.0975912654370444e-08
2021-09-09,18.799999237060547,18.8,7.629394538355427e-07,4.0581887489205625e-08
2021-09-10,20.950000762939453,20.95,7.629394538355427e-07,3.6417156374771234e-08
2021-09-13,19.3700008392334,19.37,8.392333974427402e-07,4.332645126906222e-08
2021-09-14,19.459999084472656,19.46,9.155273446026513e-07,4.7046628349184275e-08
2021-09-15,18.18000030517578,18.18,3.051757815342171e-07,1.6786346337262417e-08
2021-09-16,18.690000534057617,18.69,5.340576159085231e-07,2.8574510468062498e-08
2021-09-17,20.809999465942383,20.81,5.340576159085231e-07,2.566350935196135e-08
2021-09-20,25.709999084472656,25.71,9.155273446026513e-07,3.5609777409738475e-08
2021-09-21,24.360000610351562,24.36,6.103515630684342e-07,2.5055482256805477e-08
2021-09-22,20.8700008392334,20.87,8.392333974427402e-07,4.021242758481686e-08
2021-09-23,18.6299991607666,18.63,8.392333974427402e-07,4.504742003478473e-08
2021-09-24,17.75,17.75,0.0,0.0
2021-09-27,18.760000228881836,18.76,2.2888183437430598e-07,1.2200524071525993e-08
2021-09-28,23.25,23.25,0.0,0.0
2021-09-29,22.559999465942383,22.56,5.340576159085231e-07,2.3672767223011736e-08
2021-09-30,23.139999389648438,23.14,6.103515630684342e-07,2.6376472738433687e-08
2021-10-01,21.100000381469727,21.15,0.049999618530272016,0.002369650124470248
2021-10-04,22.959999084472656,22.96,9.155273446026513e-07,3.987488593681183e-08
2021-10-05,21.299999237060547,21.3,7.629394538355427e-07,3.581875498418235e-08
