code,ym,close,volume,turnover_rate,units
US.XLE,2006-07,18.408885,707315000,1.73479000,407723701.43
US.XLE,2006-08,17.473532,688186200,1.68788000,407722231.44
US.XLE,2006-09,16.776725,1013982200,2.48690000,407729381.96
US.XLE,2006-10,17.492365,1110831400,2.72441000,407732830.23
US.XLE,2006-11,18.992697,892259800,2.18837000,407728035.02
US.XLE,2006-12,18.402608,702897400,1.72396000,407722568.97
US.XLE,2007-01,18.233114,1288004600,3.15892000,407735745.13
US.XLE,2007-02,17.859601,813104000,1.99422000,407730340.68
US.XLE,2007-03,18.920505,1108099400,2.71771000,407732760.30
US.XLE,2007-04,19.890385,694587200,1.70354000,407731664.65
US.XLE,2007-05,21.437798,879190800,2.15631000,407729315.36
US.XLE,2007-06,21.654374,789540600,1.93645000,407725786.88
US.XLE,2007-07,21.657512,992595800,2.43445000,407728973.69
US.XLE,2007-08,21.918030,1200749800,2.94492000,407735965.66
US.XLE,2007-09,23.477999,679555200,1.66670000,407724965.50
US.XLE,2007-10,24.074365,952568400,2.33628000,407728696.90
US.XLE,2007-11,23.060542,1005073600,2.46504000,407731152.44
US.XLE,2007-12,24.906139,638286400,1.56549000,407723077.12
US.XLE,2008-01,21.845839,1196452600,2.93439000,407734691.03
US.XLE,2008-02,23.870345,886672600,2.17466000,407729300.21
US.XLE,2008-03,23.164122,1046483800,2.56659000,407733140.08
US.XLE,2008-04,25.640611,843637200,2.06912000,407727536.34
US.XLE,2008-05,26.962033,1092721200,2.67998000,407734833.84
US.XLE,2008-06,27.771836,1248302800,3.06154000,407736890.58
US.XLE,2008-07,23.371281,1668089600,4.09111000,407735211.23
US.XLE,2008-08,23.383836,1413225400,3.46604000,407734879.00
US.XLE,2008-09,19.868413,2008076600,4.92492000,407737912.49
US.XLE,2008-10,16.133277,2714289200,6.65689000,407741332.66
US.XLE,2008-11,15.781735,1747013908,4.28464000,407738785.06
US.XLE,2008-12,14.993904,1556441928,3.81729000,407734787.77
US.XLE,2009-01,14.727108,1690770908,4.14672000,407736936.18
US.XLE,2009-02,12.909761,1511628412,3.70737000,407736053.32
US.XLE,2009-03,13.327217,1659668780,4.07044000,407736947.36
US.XLE,2009-04,14.369289,950047320,2.33008000,407731631.53
US.XLE,2009-05,16.221163,904611856,2.21865000,407730762.40
US.XLE,2009-06,15.081789,1027705692,2.52056000,407729112.58
US.XLE,2009-07,15.888453,972094262,2.38418000,407726875.49
US.XLE,2009-08,16.061086,666195932,1.63392000,407728610.95
US.XLE,2009-09,16.924247,765705364,1.87798000,407728178.15
US.XLE,2009-10,17.341704,975612362,2.39279000,407730039.83
US.XLE,2009-11,17.834491,776414278,1.90423000,407731354.93
US.XLE,2009-12,18.038511,637354526,1.56320000,407724236.18
