ticker,t0,multiple_old,t0_price_old,entity_id,match_note,宇宙分段,price_date,t0_close,t0_adj_close,multiple_new,drawdown_new,window_rows,has_panel_at_t0,split_factor,split_table_absent,shares_filed,shares_filed_date,shares_period_end,currency,mcap,mcap_missing_reason,n1,n1_reason,n2,n2_reason,panel_filed_date,in_index,in_v1,U1,U2,U3,U0,U5
ROKU,2017-10-31,23.53,20.38,0001428439,唯一,新增154,2017-10-31,20.3799991607666,20.3799991607666,23.527969565527865,-0.07556423314988903,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
URI,2009-03-31,22.55,4.0529,0001067701,唯一,既有574,2009-03-31,4.210000038146973,4.052857398986816,22.551066197397528,-0.035629683681006497,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
MDB,2018-01-31,21.58,27.11,0001441816,唯一,新增154,2018-01-31,27.110000610351562,27.110000610351562,21.579860425141035,-0.04905938376106911,1258.0,True,1.0,True,,,,,,shares_absent_at_t0,,liabilities_missing,,lt_debt_missing,2017-12-15,False,False,False,False,False,False,False
ANF,2020-03-31,21.16,9.09,0001018840,唯一,既有574,2020-03-31,9.09000015258789,9.09000015258789,21.159515193531885,-0.12321235903141103,1256.0,True,1.0,False,66606436.0,2020-03-31,2019-02-02,USD,605452513.4033356,none,,liabilities_missing,True,none,2020-03-31,False,False,True,True,True,False,False
VKTX,2020-03-31,20.19,4.68,0001607678,唯一,新增154,2020-03-31,4.679999828338623,4.679999828338623,20.19230843295715,-0.5491453050234695,1256.0,True,1.0,True,72562863.0,2020-02-26,2019-12-31,USD,339594186.383759,none,True,none,,lt_debt_missing,2020-02-26,False,True,True,True,True,False,True
WFRD,2021-01-29,19.74,6.593,0001603923,唯一,新增154,2021-01-29,6.800000190734863,6.593016147613525,19.74411879978508,-0.04411763535925828,1255.0,True,1.0,True,70017356.0,2020-11-04,2020-09-30,USD,476118034.1547508,none,False,sti_missing_as_zero,,lt_debt_missing,2020-11-04,False,False,True,True,True,False,False
PLTR,2020-09-30,19.68,9.5,0001321655,唯一,既有574,2020-09-30,9.5,9.5,19.681052760074014,-0.368421052631579,1255.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
UEC,2020-10-30,19.47,0.86,0001334933,唯一,新增154,2020-10-30,0.8600000143051147,0.8600000143051147,19.4651156891482,0.0,1255.0,True,1.0,True,184187920.0,2020-06-09,2020-04-30,USD,158401613.83482933,none,False,sti_missing_as_zero,False,st_debt_missing_as_zero,2020-06-09,False,False,False,True,False,False,False
RUN,2017-05-31,19.15,5.04,0001469367,唯一,新增154,2017-05-31,5.039999961853027,5.039999961853027,19.14682554174473,-0.02182542348154326,1259.0,True,1.0,True,103816524.0,2016-11-10,2016-09-30,USD,523235276.9997139,none,,cash_missing,,cash_missing,2016-11-10,False,True,True,True,True,False,True
PAYC,2014-07-31,19.13,12.4378,0001590955,唯一,既有574,2014-07-31,12.779999732971191,12.437819480895996,19.12910804547677,-0.022691766806606894,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
TECK,2009-02-27,19.08,2.5991,0000886986,唯一,新增154,2009-02-27,3.450000047683716,2.5990512371063232,19.07730948423987,-0.2260871750854102,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
RRC,2020-03-31,18.6,2.1879,0000315852,唯一,既有574,2020-03-31,2.2799999713897705,2.1879448890686035,18.596868269109436,-0.004385682930608592,1256.0,True,1.0,False,251426800.0,2019-10-23,2019-09-30,USD,573253096.8066216,none,False,sti_missing_as_zero,False,st_debt_missing_as_zero,2019-10-23,False,False,True,True,True,False,False
AAL,2009-06-30,18.33,2.2909,0000006201,唯一,既有574,2009-06-30,2.430000066757202,2.290861129760742,18.33333916146506,-0.16049353035748926,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
STX,2009-01-30,18.26,1.9428,0001137789,唯一,既有574,2009-01-30,3.7899999618530273,1.942842960357666,18.26106919802662,-0.17294125544216288,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
BKNG,2009-01-30,18.08,2.6278,0001075531,唯一,既有574,2009-01-30,2.6835999488830566,2.6277801990509033,18.084514479560294,0.021016704396750185,1258.0,False,25.0,False,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
ASH,2009-02-27,17.92,2.2386,,時段不覆蓋 t0,既有574,,,,,,,,,,,,,,,entity_unmatched,,,,,,,False,False,False,False,False,False
VRT,2020-03-31,17.81,8.6042,0001674101,唯一,既有574,2020-03-31,8.649999618530273,8.604239463806152,17.805550066009406,-0.08670513696272941,1256.0,True,1.0,True,,,,,,shares_absent_at_t0,True,sti_missing_as_zero,,lt_debt_missing,2019-11-05,False,False,False,False,False,False,False
OKLO,2021-08-31,17.72,9.83,0001849056,唯一,新增154,2021-08-31,9.829999923706055,9.829999923706055,17.7151577559723,-0.4313326352010409,1254.0,True,1.0,True,,,,,,shares_absent_at_t0,,liabilities_missing,,lt_debt_missing,2021-08-20,False,False,False,False,False,False,False
SIG,2020-03-31,17.56,6.0611,0000832988,唯一,既有574,2020-03-31,6.449999809265137,6.0610857009887695,17.55704539164369,-0.043410763795629914,1256.0,True,1.0,False,52346157.0,2020-03-26,2020-02-01,USD,337632702.6657629,none,False,sti_missing_as_zero,False,none,2020-03-26,False,True,True,True,True,False,True
WYNN,2009-03-31,17.27,11.905,0001174922,唯一,既有574,2009-03-31,19.969999313354492,11.90502643585205,17.270389739913043,0.0791187444050363,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,True,False,False,False,False,True,False
BLDR,2020-03-31,17.26,12.23,0001316835,唯一,既有574,2020-03-31,12.229999542236328,12.229999542236328,17.26246958457228,-0.10793129552176983,1256.0,True,1.0,True,116130284.0,2020-02-21,2019-12-31,USD,1420273320.1597748,none,False,sti_missing_as_zero,,lt_debt_missing,2020-02-21,False,False,True,True,True,False,False
BC,2009-01-30,16.97,2.2239,0000014930,唯一,既有574,2009-01-30,2.7799999713897705,2.2238879203796387,16.968872156817003,-0.21582718155953762,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,True,False,False,False,False,True
MU,2021-08-31,16.88,71.8676,0000723125,唯一,既有574,2021-08-31,73.69999694824219,71.86760711669922,16.883453641578072,-0.3329233825957175,1254.0,True,1.0,False,1125753560.0,2021-07-01,2021-06-03,USD,82968033936.47278,none,False,none,,lt_debt_missing,2021-07-01,True,False,False,False,False,True,False
SW,2009-03-31,16.45,1.1181,,時段不覆蓋 t0,既有574,,,,,,,,,,,,,,,entity_unmatched,,,,,,,False,False,False,False,False,False
UAA,2009-02-27,16.22,1.7988,0001336917,唯一,既有574,2009-02-27,1.7987500429153442,1.7987500429153442,16.219596131197218,-0.1431549944731294,1258.0,False,8.0,False,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
BE,2021-08-31,16.15,21.42,0001664703,唯一,新增154,2021-08-31,21.420000076293945,21.420000076293945,16.146125344148647,-0.5994397808988919,1254.0,True,1.0,True,,,,,,shares_absent_at_t0,False,sti_missing_as_zero,False,none,2021-08-06,False,False,False,False,False,False,False
WDC,2021-08-31,15.69,47.5525,0000106040,唯一,既有574,2021-08-31,47.77021789550781,47.55250549316406,15.692758409460144,-0.5219936394578233,1253.0,True,1.323,False,308748049.0,2021-08-27,2021-07-02,USD,19512876164.443287,none,False,sti_missing_as_zero,False,none,2021-08-27,True,False,False,False,False,True,False
GNW,2009-02-27,15.67,1.21,0001276520,唯一,既有574,2009-02-27,1.2100000381469727,1.2100000381469727,15.669420236968357,-0.3057851675274693,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,True,True,False,False,False,True,True
CZR,2015-01-30,15.47,3.965,0001590895,唯一,既有574,2015-01-30,3.9649999141693115,3.9649999141693115,15.470366073245918,-0.01891546302362268,1258.0,True,1.0,True,46447432.0,2014-11-14,2014-09-30,USD,184164063.89338493,none,False,sti_missing_as_zero,False,st_debt_missing_as_zero,2014-11-14,False,False,False,True,False,False,False
CRSP,2017-05-31,15.42,13.62,0001674416,唯一,新增154,2017-05-31,13.619999885559082,13.619999885559082,15.421438696841147,0.04331866061272516,1259.0,True,1.0,True,39997525.0,2017-05-11,2017-03-31,USD,544766285.9226465,none,True,sti_missing_as_zero,,lt_debt_missing,2017-05-11,False,False,True,True,True,False,False
UAL,2009-06-30,15.42,3.19,0000100517,唯一,既有574,2009-06-30,3.190000057220459,3.190000057220459,15.416927718812572,-0.0031347931924397,1258.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
RKLB,2021-05-28,15.05,9.98,0001819994,唯一,新增154,2021-05-28,9.979999542236328,9.979999542236328,15.053106474779996,-0.6462925718132082,1254.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
TWST,2018-10-31,14.86,14.0,0001581280,唯一,新增154,2018-10-31,14.0,14.0,14.85500008719308,-0.17928573063441688,1257.0,False,1.0,True,,,,,,shares_absent_at_t0,,no_panel_row,,no_panel_row,,False,False,False,False,False,False,False
VST,2021-05-28,14.84,14.6197,0001692819,唯一,既有574,2021-05-28,16.170000076293945,14.619667053222656,14.844128754966134,0.017316106269135823,1254.0,True,1.0,True,482055018.0,2021-05-04,2021-03-31,USD,7794829677.837879,none,False,sti_missing_as_zero,,lt_debt_missing,2021-05-04,False,False,False,False,True,False,False
TPL,2020-03-31,14.64,39.0163,,時段不覆蓋 t0,既有574,,,,,,,,,,,,,,,entity_unmatched,,,,,,,False,False,False,False,False,False
