month_end,series,n_members,total_mcap,pe_fwd,n_fwd,pe_now,n_now,pe_lag,n_lag
2016-03-31,XLV,43,2252736540397.66,19.794848991436787,43,21.493799881440044,43,22.63591943210925,43
2016-04-30,XLV,42,2325169966590.25,20.414086059749177,42,21.95707304900799,42,23.394093598660884,42
2016-05-31,XLV,42,2361654089998.57,20.731123921941833,42,22.29986246583419,42,22.53434153947095,42
2016-06-30,XLV,42,2390270359149.9697,20.736660150287477,42,22.17315914991807,42,22.624442987635017,42
2016-07-31,XLV,42,2493569513851.04,21.632381657722565,42,23.13658790660951,42,23.64157262028243,42
2016-08-31,XLV,42,2409458781662.12,20.902783163970447,42,22.356179197950663,42,22.386730219307896,42
2016-09-30,XLV,44,2413199037014.73,20.73098323917874,44,22.347911304484942,44,22.29680275222654,44
2016-10-31,XLV,44,2246103941368.84,19.147497676194064,44,20.70699915619112,44,20.776498218387275,44
2016-11-30,XLV,44,2260647923911.7603,19.270878774072873,44,20.84048228595438,44,20.959253446019833,44
2016-12-31,XLV,44,2271329700960.93,24.12606258888974,44,20.899223936720237,44,21.06931391479392,44
2017-01-31,XLV,45,2336860622098.88,25.52587597609328,45,21.45088818120473,45,21.593572000069184,45
2017-02-28,XLV,46,2488080203908.9404,27.495918763383383,46,22.89493877488961,46,23.037522821006203,46
2017-03-31,XLV,46,2480052709463.71,28.428827955905707,46,22.00410822300568,46,22.806178587296664,46
2017-04-30,XLV,46,2513046821917.5996,28.734367096393797,46,22.278478043000355,46,23.164232413812755,46
2017-05-31,XLV,46,2543086080883.36,29.078956624166977,46,22.525617206291614,46,22.56204331858296,46
2017-06-30,XLV,47,2649022086207.06,31.654753007748248,47,23.178811576663012,47,23.481544438024226,47
2017-07-31,XLV,48,2671755485262.1104,31.759760937719182,48,23.275465390011195,48,23.61788289701009,48
2017-08-31,XLV,49,2745565309414.6597,32.13610530418502,49,23.871798621903185,49,23.908028734134582,49
2017-09-30,XLV,49,2779501988326.29,29.166629813710518,49,24.03409969843248,49,24.187242120679965,49
2017-10-31,XLV,49,2777885796420.71,29.477567412824854,49,23.828015182974006,49,24.19061250485791,49
2017-11-30,XLV,49,2855010846316.99,30.308382495824283,49,24.49283370968703,49,24.704560991979626,49
2017-12-31,XLV,49,2820740167937.1104,24.372510692417755,49,29.790672700339066,49,24.213563255365646,49
2018-01-31,XLV,49,3013814142216.9697,25.23238223693962,49,32.83541438018318,49,25.87327104275774,49
2018-02-28,XLV,49,2879665941157.8496,24.12428260537647,49,31.406928975100687,49,24.734955640250206,49
2018-03-31,XLV,50,3023830897899.12,24.76588980707071,50,34.48397554012917,50,32.23469953423583,50
2018-04-30,XLV,50,2814739599131.93,22.941565106368454,50,31.96468820357191,50,30.947242185721485,50
2018-05-31,XLV,50,2833803137348.12,23.073077752913427,50,32.12783176848353,50,32.240687697760634,50
2018-06-30,XLV,50,2968350506548.96,22.18079533569248,50,34.9577480198746,50,33.88941144918008,50
2018-07-31,XLV,50,3166444552201.29,23.70963543128486,50,37.24331332836979,50,36.15707157612875,50
2018-08-31,XLV,50,3164184148075.54,23.11029389003616,50,37.56518847987754,50,37.62083647765438,50
2018-09-30,XLV,50,3395565039994.49,27.270726380086938,50,36.17623169145896,50,40.111145902834764,50
2018-10-31,XLV,50,3122899167702.45,25.100164187904422,50,33.63219823789864,50,36.93412958526133,50
2018-11-30,XLV,50,3272385522072.63,25.176125053649926,50,35.17844422876429,50,34.858391456763464,50
2018-12-31,XLV,50,3084984673405.04,21.80425802112807,50,26.940794916194314,50,32.63050768031879,50
2019-01-31,XLV,51,3230455758323.21,22.717931647849777,51,27.297166915412557,51,34.16147352895172,51
2019-02-28,XLV,51,3157974281829.73,21.61361278520675,51,26.94322794882502,51,33.888746775010674,51
2019-03-31,XLV,51,3153257625814.62,21.645107324776028,51,25.967706758880595,51,27.838415665886348,51
2019-04-30,XLV,51,3058336735231.99,20.63804759869098,51,25.289963884777787,51,26.2091391982138,51
2019-05-31,XLV,51,2984992865656.35,20.240037087728,51,24.68386628993912,51,24.63755857561655,51
2019-06-30,XLV,51,3166713030234.08,21.559444784080885,51,23.20267350558346,51,26.271061894828946,51
2019-07-31,XLV,51,3109218587876.92,22.02119495855258,51,22.850823603076794,51,25.83343282470736,51
2019-08-31,XLV,51,3100887643241.0205,22.040763397088767,51,22.801046604913576,51,22.763798791083893,51
2019-09-30,XLV,51,3081686230249.58,21.99163485073685,51,24.004529879530686,51,22.734497497301188,51
2019-10-31,XLV,50,3225441378404.76,21.882865525454104,50,25.02371144733322,50,23.771022252263013,50
