event_id,event,basket_kind,entity_id,ticker,name,sic,sic_description,named_confidence,f_shock_rel_drop,anchor_T_date,T_3m_excess,T_3m_status,T_6m_excess,T_6m_status,T_12m_excess,T_12m_status,anchor_N_date,N_3m_excess,N_3m_status,N_6m_excess,N_6m_status,N_12m_excess,N_12m_status,dollar_vol_60d,feat_status,panel_period_end,panel_filed,panel_age_days,currency,cash,total_debt,assets,equity,mcap_usd,ttm_revenue,ttm_ocf,ttm_net_income,ttm_method_rev,f_net_cash_n2,f_net_cash_over_mcap,f_debt_to_assets,f_liab_to_assets,f_ocf_positive,f_ocf_margin,f_ni_margin,f_ps,f_pb,f_pe,f_log_mcap,f_rev_growth_yoy,f_rev_cv8
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000312069,BCS,BARCLAYS PLC,6029,"Commercial Banks, NEC",,-0.1851404275988474,2011-10-03,0.0970574779956932,已成熟,0.20084149867742607,已成熟,0.16373754576236155,已成熟,2011-10-04,0.04768597739268832,已成熟,0.16191278811692023,已成熟,0.15268250916863524,已成熟,54600467.37946892,無面板,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000312070,DJP,BARCLAYS BANK PLC,6029,"Commercial Banks, NEC",,-0.037248202744628145,2011-10-03,-0.09006831414626881,已成熟,-0.19594361646301783,已成熟,-0.20127919297358754,已成熟,2011-10-04,-0.10166172244176475,已成熟,-0.18846095821189945,已成熟,-0.192961141738355,已成熟,15915720.229911804,無面板,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000313364,MTR,MESA ROYALTY TRUST/TX,6792,Oil Royalty Traders,,0.056737000237135016,2011-10-03,-0.1275155194357468,已成熟,-0.22890729118724218,已成熟,-0.48755729828784866,已成熟,2011-10-04,-0.11417633776339131,已成熟,-0.18428323636498056,已成熟,-0.4862059140547098,已成熟,164908.9988708496,無面板,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000314489,BUSE,FIRST BUSEY CORP /NV/,6022,State Commercial Banks,,-0.10557109456075053,2011-10-03,-0.07104796828998838,已成熟,-0.17761261156132102,已成熟,-0.22030075503016666,已成熟,2011-10-04,-0.035032148744877034,已成熟,-0.1565850969673167,已成熟,-0.1981594540586853,已成熟,881251.3832068443,最近季度過期,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000315293,AON,Aon plc,6411,"Insurance Agents, Brokers & Service",,-0.01665958244023702,2011-10-03,-0.038168681406730576,已成熟,-0.07717913736764781,已成熟,-0.02972289037463982,已成熟,2011-10-04,-0.042899539581293666,已成熟,-0.08848168289691472,已成熟,-0.03665587377470991,已成熟,91622947.00584412,有,2011-06-30,2011-08-04,36.0,USD,300000000.0,4479000000.0,30496000000.0,8398000000.0,12659554902.586487,10280000000.0,1076000000.0,879000000.0,4Q,-4179000000.0,-0.33010639253566365,0.14687172088142708,0.7224226128016789,1.0,0.10466926070038911,0.08550583657587549,1.2314742123138607,1.5074487857330896,14.402224007493158,23.261678095270813,0.3380190029936223,0.21816959748736836
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000315709,IBOC,INTERNATIONAL BANCSHARES CORP,6022,State Commercial Banks,,-0.09643857377115639,2011-10-03,0.13482997107982153,已成熟,0.12794123979078265,已成熟,-0.005880799782690738,已成熟,2011-10-04,0.13404560366276996,已成熟,0.10277948296615658,已成熟,-0.01859129967512896,已成熟,3407039.845275879,最近季度過期,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000316709,SCHW,SCHWAB CHARLES CORP,6211,"Security Brokers, Dealers & Flotation Companies",,-0.12630665316255618,2011-10-03,-0.09387346404451025,已成熟,0.021114341970891237,已成熟,-0.1332556336497438,已成熟,2011-10-04,-0.09565734695229244,已成熟,-0.009261647480746094,已成熟,-0.1306420273681178,已成熟,188044679.24776077,有,2011-06-30,2011-08-05,36.0,USD,6466000000.0,2004000000.0,97572000000.0,6734000000.0,13628964950.30238,4587000000.0,1633000000.0,724000000.0,4Q,4462000000.0,0.3273909659516003,0.020538679129258393,0.9309842987742385,1.0,0.3560061042075431,0.15783736647045998,2.9712153804888555,2.0239033190232223,18.82453722417456,23.335463140688603,0.13119605425400738,0.08185204038053168
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000317788,APPS,"Digital Turbine, Inc.",6794,Patent Owners & Lessors,,-0.01894298334708122,2011-10-03,-0.03168430395855715,已成熟,0.16146549930608156,已成熟,-0.04369575688085103,已成熟,2011-10-04,0.024610229266761374,已成熟,0.18356353071571707,已成熟,-0.03292144835779276,已成熟,44372.4995470047,無面板,,,,,,,,,,,,,,,,,,,,,,,,,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000318300,PEBO,PEOPLES BANCORP INC,6022,State Commercial Banks,,-0.07356410024629467,2011-10-03,0.1824247313496472,已成熟,0.2700560700314083,已成熟,0.6170925515559957,已成熟,2011-10-04,0.17318167358493808,已成熟,0.27208833387273224,已成熟,0.6009336867156876,已成熟,177871.00907325745,有,2011-06-30,2011-07-29,36.0,USD,37649000.0,190957000.0,1802703000.0,218527000.0,62728709.30332565,,,,,-153308000.0,-2.443984607728445,0.10592815344513211,0.8787781459286416,,,,,0.2870524434203813,,17.95432978443204,,
E17,2011-08 美國主權評級下調與歐債恐慌殺金融股,同SIC全體,0000318673,SNFCA,SECURITY NATIONAL FINANCIAL CORP,6199,Finance Services,,0.0335132443116557,2011-10-03,0.022110682991857367,已成熟,-0.005113495539288859,已成熟,2.2633872563198554,已成熟,2011-10-04,0.06996132187556237,已成熟,0.10120342647602243,已成熟,2.582534803611783,已成熟,2057.8407787382603,無面板,,,,,,,,,,,,,,,,,,,,,,,,,,
