event_id,ticker,期間,期末,期間長度日,收入,收入科目,毛利,營業利潤,淨利,單季經營現金流
E12,SWKS,衝擊後,2019-06-28,,767000000,RevenueFromContractWithCustomerExcludingAssessedTax,312500000.0,159600000.0,144100000,950400000
E12,SWKS,衝擊後,2019-09-27,,827400000,RevenueFromContractWithCustomerExcludingAssessedTax,406000000.0,,210600000,1367400000
E12,SWKS,衝擊後,2019-12-27,,896100000,RevenueFromContractWithCustomerExcludingAssessedTax,444300000.0,277300000.0,257100000,398400000
E12,SWKS,衝擊後,2020-03-27,,766100000,RevenueFromContractWithCustomerExcludingAssessedTax,375600000.0,199500000.0,181100000,678800000
E13,MSFT,衝擊前,2020-12-31,,43076000000,RevenueFromContractWithCustomerExcludingAssessedTax,28882000000.0,17897000000.0,15463000000,12516000000
E13,MSFT,衝擊前,2021-03-31,,41706000000,RevenueFromContractWithCustomerExcludingAssessedTax,28661000000.0,17048000000.0,15457000000,22179000000
E13,MSFT,衝擊前,2021-09-30,,45317000000,RevenueFromContractWithCustomerExcludingAssessedTax,31671000000.0,20238000000.0,20505000000,24540000000
E13,MSFT,衝擊前,2021-12-31,,51728000000,RevenueFromContractWithCustomerExcludingAssessedTax,34768000000.0,22247000000.0,18765000000,14480000000
E13,MSFT,衝擊後,2022-03-31,,49360000000,RevenueFromContractWithCustomerExcludingAssessedTax,33745000000.0,20364000000.0,16728000000,25386000000
E13,MSFT,衝擊後,2022-09-30,,50122000000,RevenueFromContractWithCustomerExcludingAssessedTax,34670000000.0,21518000000.0,17556000000,23198000000
E13,MSFT,衝擊後,2022-12-31,,52747000000,RevenueFromContractWithCustomerExcludingAssessedTax,35259000000.0,20399000000.0,16425000000,11173000000
E13,MSFT,衝擊後,2023-03-31,,52857000000,RevenueFromContractWithCustomerExcludingAssessedTax,36729000000.0,22352000000.0,18299000000,24441000000
E14,DUOL,衝擊前,2022-03-31,,81220000,RevenueFromContractWithCustomerExcludingAssessedTax,59730000.0,-11847000.0,-12154000,20627000
E14,DUOL,衝擊前,2022-06-30,,88386000,RevenueFromContractWithCustomerExcludingAssessedTax,64517000.0,-15034000.0,-15045000,33289000
E14,DUOL,衝擊前,2022-09-30,,96065000,RevenueFromContractWithCustomerExcludingAssessedTax,69763000.0,-20162000.0,-18445000,42048000
E14,DUOL,衝擊前,2023-03-31,,115661000,RevenueFromContractWithCustomerExcludingAssessedTax,84169000.0,-8519000.0,-2582000,29604000
E14,DUOL,衝擊後,2023-06-30,,126839000,RevenueFromContractWithCustomerExcludingAssessedTax,93051000.0,-4865000.0,3725000,66771000
E14,DUOL,衝擊後,2023-09-30,,137624000,RevenueFromContractWithCustomerExcludingAssessedTax,101370000.0,-4670000.0,2807000,104421000
E14,DUOL,衝擊後,2024-03-31,,167553000,RevenueFromContractWithCustomerExcludingAssessedTax,122362000.0,16439000.0,26956000,83514000
E14,DUOL,衝擊後,2024-06-30,,178327000,RevenueFromContractWithCustomerExcludingAssessedTax,130978000.0,18700000.0,24351000,145902000
