ticker,p0,p1,ret,rel_spy,ma200,px_vs_ma200,ma200_slope_40d,med_dollar_vol_60d,name,entity_id,sic,sic_description,approx_mcap_usd,shares_outstanding,mcap_now_usd
ADAM,8.737886428833008,9.75,0.11583047907641042,0.0978561899840722,8.09895847082138,0.20385850046360043,0.08033884334996788,7468232.069206238,"ADAMAS TRUST, INC.",0001273685,6798,Real Estate Investment Trusts,863744712.6022243,89879786.0,876327913.5
ADBE,274.0299987792969,266.510009765625,-0.02744221087899379,-0.045416499971332014,267.93474983215333,-0.00531748893124484,-0.05299520151676873,1258346874.661255,ADOBE INC.,0000796343,7372,Services-Prepackaged Software,111216528396.60645,397500000.0,105937728881.83594
ADC,71.71003723144531,72.62000274658203,0.012689513912812478,-0.005284775179525747,74.22902732849121,-0.02167648748499218,0.014012612480095665,86181026.30958557,AGREE REALTY CORP,0000917251,6798,Real Estate Investment Trusts,9033668943.682022,124379310.0,9032425833.817978
ADCT,3.4000000953674316,1.3600000143051147,-0.6000000070123109,-0.6179742961046492,2.9632300037145614,-0.5410413593948884,-0.16665948802039487,1331587.9800736904,ADC Therapeutics SA,0001771910,2834,Pharmaceutical Preparations,168521364.0964371,127667695.0,173628067.02630103
ADEA,28.555503845214844,26.5,-0.07198275528096809,-0.08995704437330632,23.725656332969667,0.11693432746790022,0.09566594707219633,30747677.20255375,Adeia Inc.,0001803696,4841,Cable & Other Pay Television Services,2754798096.5177536,110280150.0,2922423975.0
ADGM,0.7699999809265137,0.5640000104904175,-0.26753243576476937,-0.2855067248571076,0.8882049983739853,-0.36501144271545616,-0.14969493661981037,52292.2993093729,"Adagio Medical Holdings, Inc.",0002006986,3841,Surgical & Medical Instruments & Apparatus,11769322.543941319,22210459.0,12526699.108996987
ADI,400.37017822265625,362.25,-0.09521233172730614,-0.11318662081964437,346.28667137146,0.04609859387691029,0.07873171624201047,1423597285.5453491,ANALOG DEVICES INC,0000006281,3674,Semiconductors & Related Devices,172364777414.57596,484565465.0,175533839696.25
ADIL,2.450000047683716,7.119999885559082,1.9061223457079062,1.888148056615568,3.7166499984264374,0.9157036278835946,-0.17698144010393668,255989.9977684021,"ADIAL PHARMACEUTICALS, INC.",0001513525,2834,Pharmaceutical Preparations,16595625.250763893,2625890.0,18696336.499490738
ADM,82.09893035888672,84.61000061035156,0.030585907032990134,0.012611617940651909,71.28624502182006,0.18690499947715322,0.06371340323580443,275047814.2311096,Archer-Daniels-Midland Co,0000007084,2070,Fats & Oils,41149707872.79847,481959583.0,40778600611.794785
ADMA,7.900000095367432,9.619999885559082,0.21772148980102668,0.19974720070868845,12.641775002479553,-0.23903092060472375,-0.08143668189539455,21834424.85022545,"ADMA BIOLOGICS, INC.",0001368514,2836,"Biological Products, (No Diagnostic Substances)",2130094358.0660248,223984680.0,2154732595.9669876
ADNT,22.700000762939453,20.010000228881836,-0.11850222218711881,-0.13647651127945704,20.908400106430054,-0.04296837027104383,-0.025371207669640183,17768425.751304626,Adient plc,0001670541,3714,Motor Vehicle Parts & Accessories,1483344954.0339127,77096932.0,1542709626.9660873
ADP,231.97999572753906,277.6199951171875,0.19674109936294992,0.1787668102706117,234.9114493560791,0.18180699952334267,0.00527381183188913,581172318.9987183,AUTOMATIC DATA PROCESSING INC,0000008670,7374,Services-Computer Processing & Data Preparation,111694392589.7396,397262737.0,110288079106.18054
ADPT,15.229999542236328,24.280000686645508,0.594222023402655,0.5762477343103167,17.68215000152588,0.3731362240762728,0.10117878776819311,54817719.87018585,Adaptive Biotechnologies Corp,0001478320,2836,"Biological Products, (No Diagnostic Substances)",3935633439.367607,159595842.0,3874987153.345768
ADSE,11.699999809265137,11.5600004196167,-0.011965759994079117,-0.029940049086417342,11.653574986457825,-0.008029687623743342,0.02043472856267914,148091.99953079224,Ads-Tec Energy Public Ltd Co,0001879248,3690,"Miscellaneous Electrical Machinery, Equipment & Supplies",701060256.2545911,60436227.0,698642809.4800501
ADSK,248.16000366210938,217.89999389648438,-0.12193749725611114,-0.13991178634844936,247.0026000213623,-0.11782307604195641,-0.04745926990969307,461548359.2720032,"Autodesk, Inc.",0000769397,7372,Services-Prepackaged Software,50521569107.05566,209000000.0,45541098724.365234
