weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
0.0,0.3,0.2,0.5,monthly,-0.3500703086387609,420,普通,9,9,-0.349678475849819,-0.3496349388732699,-0.00039183278894189266,,False,cadence=monthly,1,-0.34888203994491895,-0.000796435904900028
0.0,0.3,0.2,0.5,quarterly,-0.3492257169040165,141,普通,9,9,-0.34888203994491895,-0.3488438536161304,-0.0003436769590975386,,False,cadence=quarterly,1,-0.349678475849819,0.000796435904900028
0.0,0.3,0.3,0.4,monthly,-0.3509415216147602,420,普通,9,9,-0.350553334048856,-0.3505102020970889,-0.0003881875659041967,,False,cadence=monthly,1,-0.3497530052086134,-0.0008003288402426145
0.0,0.3,0.3,0.4,quarterly,-0.3500896013402497,141,普通,9,9,-0.3497530052086134,-0.34971560563843157,-0.00033659613163627977,,False,cadence=quarterly,1,-0.350553334048856,0.0008003288402426145
0.0,0.3,0.4,0.3,monthly,-0.351839457257212,420,普通,9,9,-0.351492678874989,-0.35145414794363083,-0.00034677838222302304,,False,cadence=monthly,1,-0.3506898587104911,-0.0008028201644978972
0.0,0.3,0.4,0.3,quarterly,-0.3509915084741383,141,普通,9,9,-0.3506898587104911,-0.35065634207008584,-0.00030164976364721596,,False,cadence=quarterly,1,-0.351492678874989,0.0008028201644978972
0.0,0.3,0.5,0.2,monthly,-0.35288239528542986,420,普通,9,9,-0.3525057870009859,-0.3524639416360477,-0.0003766082844439689,,False,cadence=monthly,1,-0.35169586990696927,-0.0008099170940166212
0.0,0.3,0.5,0.2,quarterly,-0.3520229143280731,141,普通,9,9,-0.35169586990696927,-0.35165953163795777,-0.00032704442110381704,,False,cadence=quarterly,1,-0.3525057870009859,0.0008099170940166212
0.0,0.3,0.6,0.1,monthly,-0.3539236010745246,420,普通,9,9,-0.35354756723342556,-0.3535057856955257,-0.0003760338410990216,,False,cadence=monthly,1,-0.3527225920200363,-0.0008249752133892563
0.0,0.3,0.6,0.1,quarterly,-0.35304830110261254,141,普通,9,9,-0.3527225920200363,-0.3526864021219723,-0.000325709082576231,,False,cadence=quarterly,1,-0.35354756723342556,0.0008249752133892563
0.0,0.3,0.7,0.0,monthly,-0.3549630823668216,280,普通,6,6,-0.35331459199018933,-0.35303984359408397,-0.0016484903766322834,,False,cadence=monthly,1,-0.35251303285917357,-0.000801559131015761
0.0,0.3,0.7,0.0,quarterly,-0.3540677213336869,94,普通,6,6,-0.35251303285917357,-0.3522539181134214,-0.0015546884745133438,,False,cadence=quarterly,1,-0.35331459199018933,0.000801559131015761
0.0,0.4,0.0,0.6,monthly,-0.35406428274372315,280,普通,6,6,-0.3530487289687971,-0.35287947000630937,-0.0010155537749260701,,False,cadence=monthly,1,-0.352113256332259,-0.0009354726365380928
0.0,0.4,0.0,0.6,quarterly,-0.35309883231260364,94,普通,6,6,-0.352113256332259,-0.3519489936688682,-0.000985575980344655,,False,cadence=quarterly,1,-0.3530487289687971,0.0009354726365380928
0.0,0.4,0.1,0.5,monthly,-0.3549327296022524,420,普通,9,9,-0.3546809281419274,-0.3546529502018913,-0.0002518014603249963,,False,cadence=monthly,1,-0.35372201761110117,-0.0009589105308262513
0.0,0.4,0.1,0.5,quarterly,-0.35396149316670156,141,普通,9,9,-0.35372201761110117,-0.3536954092160345,-0.00023947555560038802,,False,cadence=quarterly,1,-0.3546809281419274,0.0009589105308262513
0.0,0.4,0.2,0.4,monthly,-0.355800425777704,420,普通,9,9,-0.3555093728661419,-0.35547703365374617,-0.0002910529115620619,,False,cadence=monthly,1,-0.3545495831848016,-0.0009597896813403062
0.0,0.4,0.2,0.4,quarterly,-0.35481951309965987,141,普通,9,9,-0.3545495831848016,-0.35451959097203956,-0.0002699299148582468,,False,cadence=quarterly,1,-0.3555093728661419,0.0009597896813403062
0.0,0.4,0.3,0.3,monthly,-0.35666737403772064,420,普通,9,9,-0.3563582278080707,-0.3563238782269985,-0.0003091462296499481,,False,cadence=monthly,1,-0.3553873410711602,-0.0009708867369104812
0.0,0.4,0.3,0.3,quarterly,-0.3556729294616766,141,普通,9,9,-0.3553873410711602,-0.3553556090277695,-0.0002855883905164003,,False,cadence=quarterly,1,-0.3563582278080707,0.0009708867369104812
0.0,0.4,0.4,0.2,monthly,-0.3575842201090049,420,普通,9,9,-0.35727074456415675,-0.35723591394806253,-0.0003134755448481741,,False,cadence=monthly,1,-0.3562975769912681,-0.0009731675728886779
0.0,0.4,0.4,0.2,quarterly,-0.356591185610859,141,普通,9,9,-0.3562975769912681,-0.3562649538113135,-0.00029360861959093487,,False,cadence=quarterly,1,-0.35727074456415675,0.0009731675728886779
0.0,0.4,0.5,0.1,monthly,-0.35862117102474733,420,普通,9,9,-0.3582555437308236,-0.3582149184759432,-0.0003656272939237537,,False,cadence=monthly,1,-0.3572851179163936,-0.0009704258144299649
0.0,0.4,0.5,0.1,quarterly,-0.35761146370576624,141,普通,9,9,-0.3572851179163936,-0.35724885727313,-0.0003263457893726285,,False,cadence=quarterly,1,-0.3582555437308236,0.0009704258144299649
