ticker,cik,split_date,ratio,ratio_log10,shares_before,shares_after,filed_before,filed_after,gap_days,shares_ratio,dist_to_split,dist_to_flat,big,shares_flat,shares_followed,verdict
NKE,320187,2012-12-26,2.0,0.301,461400000.0,913100000.0,2012-10-09,2013-01-09,92,1.978977,0.005,0.296,False,True,True,"細幅,不判"
NKE,320187,2015-12-24,2.0,0.301,877300000.0,1751400000.0,2015-10-06,2016-01-06,92,1.996352,0.001,0.3,False,False,True,"細幅,不判"
NKTR,906709,2025-06-09,0.06666666666666667,-1.176,210924000.0,14087307.0,2025-05-09,2025-08-08,91,0.066789,0.001,1.175,True,False,True,屬於本公司(股數跟隨)
NOC,1133421,2011-03-31,1.1068068622025458,0.044,301100000.0,296900000.0,2011-02-09,2011-04-27,77,0.986051,0.05,0.006,False,True,True,"細幅,不判"
NOV,1021860,2014-06-02,1.109,0.045,429000000.0,430000000.0,2014-05-05,2014-08-04,91,1.002331,0.044,0.001,False,True,True,"細幅,不判"
NOW,1373715,2025-12-18,5.0,0.699,209505000.0,1046691000.0,2025-10-30,2026-01-29,91,4.996019,0.0,0.699,False,False,True,"細幅,不判"
NVDA,1045810,2021-07-20,4.0,0.602,632000000.0,2532000000.0,2021-05-26,2021-08-20,86,4.006329,0.001,0.603,False,False,True,"細幅,不判"
NVDA,1045810,2024-06-10,10.0,1.0,2489000000.0,24848000000.0,2024-05-29,2024-08-28,91,9.983126,0.001,0.999,True,False,True,屬於本公司(股數跟隨)
ODFL,878927,2010-08-24,1.5,0.176,37284675.0,55926984.0,2010-08-06,2010-11-08,94,1.499999,0.0,0.176,False,True,True,"細幅,不判"
ODFL,878927,2012-09-10,1.5,0.176,57443324.0,86164968.0,2012-08-09,2012-11-06,89,1.5,0.0,0.176,False,True,True,"細幅,不判"
ODFL,878927,2020-03-25,1.5,0.176,80406399.0,119805572.0,2020-02-26,2020-05-05,69,1.49,0.003,0.173,False,True,True,"細幅,不判"
ODFL,878927,2024-03-28,2.0,0.301,110090212.0,218808000.0,2024-02-26,2024-05-07,71,1.987534,0.003,0.298,False,True,True,"細幅,不判"
OKE,1039684,2012-06-04,2.0,0.301,105926.0,211784.0,2012-05-02,2012-08-01,91,1.999358,0.0,0.301,False,False,True,"細幅,不判"
OKE,1039684,2014-02-03,1.1422,0.058,209893000.0,209695000.0,2013-11-06,2014-02-25,111,0.999057,0.058,0.0,False,True,True,"細幅,不判"
ORLY,898173,2025-06-10,15.0,1.176,57622000.0,858440000.0,2025-05-09,2025-08-08,91,14.897782,0.003,1.173,True,False,True,屬於本公司(股數跟隨)
OXY,797468,2014-12-01,1.042,0.018,777700000.0,781100000.0,2014-10-31,2015-02-23,115,1.004372,0.016,0.002,False,True,True,"細幅,不判"
OXY,797468,2016-02-25,1.0017028949213662,0.001,763300000.0,765600000.0,2015-10-30,2016-02-26,119,1.003013,0.001,0.001,False,True,True,"細幅,不判"
PANW,1327567,2022-09-14,3.0,0.477,98500000.0,338400000.0,2022-09-06,2022-11-18,73,3.435533,0.059,0.536,False,False,True,"細幅,不判"
PANW,1327567,2024-12-16,2.0,0.301,354500000.0,709000000.0,2024-11-21,2025-02-14,85,2.0,0.0,0.301,False,False,True,"細幅,不判"
PARA,1826011,2024-09-19,0.02,-1.699,27091830.0,3162909.0,2024-08-14,2024-11-14,92,0.116748,0.766,0.933,True,False,False,不確定
PARA,1826011,2025-07-08,0.1,-1.0,23963166.0,1911276.0,2025-05-15,2025-08-14,91,0.079759,0.098,1.098,True,False,True,屬於本公司(股數跟隨)
PARA,1826011,2026-05-08,0.05,-1.301,3782998.0,720000.0,2026-03-31,2026-05-15,45,0.190325,0.581,0.721,True,False,False,不確定
PCAR,75362,2023-02-08,1.5,0.176,348900000.0,523400000.0,2022-10-28,2023-02-22,117,1.500143,0.0,0.176,False,True,True,"細幅,不判"
PENN,921738,2013-11-04,4.423,0.646,103932000.0,103442000.0,2013-08-02,2013-11-08,98,0.995285,0.648,0.002,False,True,False,"細幅,不判"
PFE,78003,2020-11-17,1.054,0.023,5633000000.0,5632000000.0,2020-11-05,2021-02-25,112,0.999822,0.023,0.0,False,True,True,"細幅,不判"
PNR,77360,2018-05-01,1.489,0.173,181500000.0,178600000.0,2018-04-20,2018-07-25,96,0.984022,0.18,0.007,False,True,True,"細幅,不判"
PPG,79879,2015-06-15,2.0,0.301,137800000.0,274700000.0,2015-04-27,2015-07-27,91,1.993469,0.001,0.3,False,False,True,"細幅,不判"
PPL,922224,2015-06-02,1.0736525660296328,0.031,668732000.0,671286000.0,2015-05-07,2015-08-03,88,1.003819,0.029,0.002,False,True,True,"細幅,不判"
RJF,720005,2021-09-22,1.5,0.176,141100000.0,211200000.0,2021-08-09,2021-11-23,106,1.496811,0.001,0.175,False,True,True,"細幅,不判"
ROL,84839,2010-12-13,1.5,0.176,98505000.0,148231000.0,2010-10-29,2011-02-25,119,1.504807,0.001,0.177,False,True,True,"細幅,不判"
ROL,84839,2015-03-11,1.5,0.176,145796.0,218541000.0,2015-02-25,2015-04-30,64,1498.950588,3.0,3.176,False,False,False,"細幅,不判"
ROL,84839,2018-12-11,1.5,0.176,218214000.0,327291000.0,2018-10-26,2019-03-01,126,1.499863,0.0,0.176,False,True,True,"細幅,不判"
ROL,84839,2020-12-11,1.5,0.176,327754000.0,491604000.0,2020-10-28,2021-02-26,121,1.499918,0.0,0.176,False,True,True,"細幅,不判"
ROST,745732,2011-12-16,2.0,0.301,114230000.0,229982000.0,2011-12-07,2012-03-27,111,2.013324,0.003,0.304,False,False,True,"細幅,不判"
ROST,745732,2015-06-12,2.0,0.301,205693000.0,407693000.0,2015-06-10,2015-09-09,91,1.982046,0.004,0.297,False,True,True,"細幅,不判"
RTX,101829,2020-04-03,1.589,0.201,863900000.0,858400000.0,2020-02-06,2020-05-07,91,0.993634,0.204,0.003,False,True,True,"細幅,不判"
SBUX,829224,2015-04-09,2.0,0.301,758400000.0,1516500000.0,2015-01-27,2015-04-28,91,1.999604,0.0,0.301,False,False,True,"細幅,不判"
SHW,89800,2021-04-01,3.0,0.477,91942623.0,270600000.0,2021-02-19,2021-04-28,68,2.94314,0.008,0.469,False,False,True,"細幅,不判"
SLM,1032033,2014-05-01,2.798,0.447,449000000.0,435000000.0,2014-02-19,2014-05-12,82,0.96882,0.461,0.014,False,True,False,"細幅,不判"
SMCI,1375365,2024-10-01,10.0,1.0,61431000.0,636047000.0,2024-05-06,2025-02-25,295,10.353844,0.015,1.015,True,False,True,屬於本公司(股數跟隨)
SRE,1032208,2023-08-22,2.0,0.301,316060000.0,632324000.0,2023-08-03,2023-11-03,92,2.000645,0.0,0.301,False,False,True,"細幅,不判"
TECH,842023,2022-11-30,4.0,0.602,40543000.0,161750000.0,2022-11-07,2023-02-07,92,3.989591,0.001,0.601,False,False,True,"細幅,不判"
THC,70318,2012-10-11,0.25,-0.602,427708000.0,107311000.0,2012-08-07,2012-11-07,92,0.250898,0.002,0.601,False,False,True,"細幅,不判"
TJX,109198,2012-02-03,2.0,0.301,383026000.0,773772000.0,2011-12-01,2012-03-27,117,2.020155,0.004,0.305,False,False,True,"細幅,不判"
TJX,109198,2018-11-07,2.0,0.301,632960000.0,1257562000.0,2018-08-31,2018-12-04,95,1.986795,0.003,0.298,False,True,True,"細幅,不判"
TPL,1811074,2024-03-27,3.0,0.477,7686615.0,23020249.0,2024-02-21,2024-05-08,77,2.994849,0.001,0.476,False,False,True,"細幅,不判"
TPL,1811074,2025-12-23,3.0,0.477,23010258.0,69027492.0,2025-11-05,2026-02-18,105,2.999857,0.0,0.477,False,False,True,"細幅,不判"
TRMB,864749,2013-03-21,2.0,0.301,128387000.0,260299000.0,2013-02-25,2013-05-02,66,2.027456,0.006,0.307,False,False,True,"細幅,不判"
TSCO,916365,2010-09-03,2.0,0.301,37339000.0,74932.0,2010-08-03,2010-11-02,91,0.002007,2.999,2.697,False,False,False,"細幅,不判"
TSCO,916365,2013-09-27,2.0,0.301,70790000.0,141726000.0,2013-08-05,2013-11-04,91,2.002062,0.0,0.301,False,False,True,"細幅,不判"
TSCO,916365,2024-12-20,5.0,0.699,107678000.0,539652000.0,2024-11-07,2025-02-20,105,5.01172,0.001,0.7,False,False,True,"細幅,不判"
TSLA,1318605,2020-08-31,5.0,0.699,207000000.0,1105000000.0,2020-07-28,2020-10-26,90,5.338164,0.028,0.727,False,False,True,"細幅,不判"
TSLA,1318605,2022-08-25,3.0,0.477,1155000000.0,3468000000.0,2022-07-25,2022-10-24,91,3.002597,0.0,0.477,False,False,True,"細幅,不判"
TT,1466258,2013-12-02,1.252,0.098,295500000.0,298300000.0,2013-10-23,2014-02-14,114,1.009475,0.094,0.004,False,True,True,"細幅,不判"
TT,1466258,2020-03-02,1.289,0.11,244400000.0,242300000.0,2020-02-18,2020-05-05,77,0.991408,0.114,0.004,False,True,True,"細幅,不判"
UA,1336917,2016-06-13,1.007098,0.003,443260000.0,439360000.0,2016-04-29,2017-05-09,375,0.991202,0.007,0.004,False,True,True,"細幅,不判"
UAA,1336917,2012-07-10,2.0,0.301,52853000.0,105972000.0,2012-05-04,2012-08-06,94,2.005033,0.001,0.302,False,False,True,"細幅,不判"
UAA,1336917,2014-04-15,2.0,0.301,107979000.0,216912000.0,2014-02-21,2014-05-07,75,2.008835,0.002,0.303,False,False,True,"細幅,不判"
UAA,1336917,2016-04-08,2.0,0.301,220868000.0,443260000.0,2016-02-22,2016-04-29,67,2.0069,0.001,0.303,False,False,True,"細幅,不判"
UNP,100885,2014-06-09,2.0,0.301,456200000.0,905000000.0,2014-04-17,2014-07-25,99,1.983779,0.004,0.297,False,True,True,"細幅,不判"
VFC,103379,2013-12-23,4.0,0.602,111405000.0,446809000.0,2013-11-06,2014-02-26,112,4.010673,0.001,0.603,False,False,True,"細幅,不判"
VFC,103379,2019-05-23,1.062,0.026,399767000.0,400496000.0,2019-02-04,2019-05-24,109,1.001824,0.025,0.001,False,True,True,"細幅,不判"
VIAV,912093,2015-08-04,1.758,0.245,233200000.0,234600000.0,2015-05-05,2015-08-25,112,1.006003,0.242,0.003,False,True,True,"細幅,不判"
VLO,1035002,2013-05-02,1.094,0.039,556000000.0,556000000.0,2013-02-28,2013-05-08,69,1.0,0.039,0.0,False,True,True,"細幅,不判"
WAB,943452,2013-06-12,2.0,0.301,48286000.0,97102000.0,2013-05-02,2013-07-26,85,2.010976,0.002,0.303,False,False,True,"細幅,不判"
WDC,106040,2025-02-24,1.323,0.122,357000000.0,358000000.0,2025-01-31,2025-05-02,91,1.002801,0.12,0.001,False,True,True,"細幅,不判"
WEC,783325,2011-03-02,2.0,0.301,118400000.0,236600000.0,2011-02-25,2011-05-05,69,1.998311,0.0,0.301,False,False,True,"細幅,不判"
WMB,107263,2012-01-03,1.2266928361138372,0.089,597550000.0,598175000.0,2011-11-02,2012-02-28,118,1.001046,0.088,0.0,False,True,True,"細幅,不判"
WMT,104169,2024-02-26,3.0,0.477,2703000000.0,8108000000.0,2023-11-30,2024-03-15,106,2.99963,0.0,0.477,False,False,True,"細幅,不判"
WRB,11544,2019-04-03,1.5,0.176,128263558.0,192669000.0,2019-02-22,2019-05-08,75,1.502134,0.001,0.177,False,True,True,"細幅,不判"
WRB,11544,2022-03-24,1.5,0.176,186499.0,279157000.0,2022-02-24,2022-05-03,68,1496.828401,2.999,3.175,False,False,False,"細幅,不判"
WRB,11544,2024-07-11,1.5,0.176,270505000.0,403737000.0,2024-05-03,2024-08-02,91,1.492531,0.002,0.174,False,True,True,"細幅,不判"
WSM,719955,2024-07-09,2.0,0.301,65315000.0,129810000.0,2024-05-24,2024-08-23,91,1.987445,0.003,0.298,False,True,True,"細幅,不判"
WST,105770,2013-09-27,2.0,0.301,35400000.0,71400000.0,2013-08-05,2013-11-04,91,2.016949,0.004,0.305,False,False,True,"細幅,不判"
WTW,1140536,2016-01-05,0.3775,-0.423,182000000.0,69000000.0,2015-11-05,2016-02-29,116,0.379121,0.002,0.421,False,False,True,"細幅,不判"
YUM,1041061,2016-11-01,1.391,0.143,398000000.0,400000000.0,2016-10-11,2017-02-22,134,1.005025,0.141,0.002,False,True,True,"細幅,不判"
ZBH,1136869,2022-03-01,1.03,0.013,210400000.0,210100000.0,2022-02-25,2022-05-05,69,0.998574,0.013,0.001,False,True,True,"細幅,不判"
