horizon,ticker,t0,t0_price,peak_date,peak_price,multiple,maxdd_after_peak,today_vs_peak,chain_theme,宇宙分段,有帳目面板,t0_year,峰頂年
5y,ALM,2021-08-31,1.755,2026-04-17,23.42,13.34,-0.5325,-0.247,,新增154,False,2021,2026
5y,OKTA,2017-07-31,21.95,2021-02-12,291.78,13.29,-0.8457,-0.4296,cyber,新增154,False,2017,2021
5y,DVN,2020-03-31,5.0127,2022-10-31,66.2141,13.21,-0.6083,-0.2612,,既有574,True,2020,2022
5y,HWM,2020-05-29,12.8842,2025-05-28,169.8538,13.18,-0.01,0.49,,既有574,True,2020,2025
5y,RIG,2020-10-30,0.67,2023-07-31,8.8,13.13,-0.758,-0.3233,,既有574,True,2020,2023
5y,VEEV,2016-02-29,24.29,2021-02-16,318.09,13.1,-0.525,-0.1239,,既有574,True,2016,2021
5y,ATI,2021-08-31,17.86,2026-08-17,231.78,12.98,-0.1368,-0.1368,,既有574,True,2021,2026
5y,LITE,2021-05-28,81.37,2026-05-11,1053.09,12.94,-0.428,-0.1794,optical_cpo,既有574,True,2021,2026
5y,ALK,2009-05-29,3.5004,2014-05-28,45.2183,12.92,-0.479,-0.0993,,既有574,True,2009,2014
5y,NET,2019-10-31,16.84,2021-11-18,217.25,12.9,-0.8258,0.3142,,新增154,False,2019,2021
5y,WULF,2020-03-31,2.7962,2021-11-19,36.0696,12.9,-0.985,-0.5938,,新增154,False,2020,2021
5y,SANM,2009-02-27,1.5,2010-04-26,19.22,12.81,-0.6821,8.7456,,既有574,False,2009,2010
5y,BBWI,2009-02-27,2.6142,2013-12-03,33.3696,12.76,-0.8052,-0.4438,,既有574,True,2009,2013
5y,APP,2021-04-30,58.01,2025-12-22,733.6,12.65,-0.593,-0.5751,,新增154,True,2021,2025
5y,APA,2020-03-31,3.5508,2022-06-07,44.5687,12.55,-0.7047,-0.01,,既有574,True,2020,2022
5y,ANET,2020-10-30,13.0562,2025-10-29,162.03,12.41,-0.2833,0.1723,,既有574,True,2020,2025
5y,AVGO,2020-10-30,31.0728,2025-10-29,383.829,12.35,-0.2368,-0.038,semis,既有574,True,2020,2025
5y,FTI,2021-08-31,6.4937,2026-08-17,79.76,12.28,-0.0572,-0.0182,,既有574,True,2021,2026
5y,PODD,2009-03-31,4.1,2014-03-20,50.18,12.24,-0.5082,1.9506,,既有574,True,2009,2014
5y,FTNT,2016-12-30,6.024,2021-12-27,73.534,12.21,-0.3754,1.1972,cyber,既有574,True,2016,2021
5y,MGM,2009-03-31,2.2007,2014-03-06,26.8147,12.18,-0.734,0.5392,,既有574,True,2009,2014
5y,CLF,2016-01-29,1.5246,2021-01-12,18.56,12.17,-0.6859,-0.3757,,既有574,True,2016,2021
5y,FLEX,2021-06-30,13.4665,2026-06-30,162.07,12.04,-0.3643,-0.3466,,既有574,True,2021,2026
5y,FOSL,2009-01-30,11.54,2012-04-09,138.3,11.98,-0.9944,-0.9651,,既有574,True,2009,2012
5y,THC,2020-03-31,14.4,2024-11-07,168.52,11.7,-0.3448,0.5891,,既有574,True,2020,2024
5y,EME,2020-10-30,66.869,2025-10-29,775.7493,11.6,-0.2515,-0.0545,,既有574,True,2020,2025
5y,NC,2009-02-27,0.987,2013-01-10,11.363,11.51,-0.3549,2.7126,,既有574,False,2009,2013
5y,AXON,2016-01-29,15.39,2021-01-26,176.65,11.48,-0.5224,1.9033,,既有574,True,2016,2021
5y,CMG,2009-01-30,0.9552,2013-11-15,10.9394,11.45,-0.5405,2.4408,,既有574,True,2009,2013
5y,NKTR,2013-05-31,142.05,2018-03-08,1626.6,11.45,-0.9961,-0.9557,,既有574,True,2013,2018
5y,CCJ,2020-10-30,9.3371,2025-10-28,106.7022,11.43,-0.2569,-0.0979,uranium_power,新增154,False,2020,2025
5y,PWR,2020-03-31,31.2908,2025-01-24,357.4956,11.42,-0.3389,0.702,,既有574,True,2020,2025
5y,CIEN,2021-05-28,52.87,2026-05-26,602.39,11.39,-0.4516,-0.4071,optical_cpo,既有574,True,2021,2026
5y,UIS,2009-02-27,3.6,2011-02-17,41.02,11.39,-0.9512,-0.9356,,既有574,False,2009,2011
5y,WSM,2020-03-31,18.7463,2025-02-18,212.8287,11.35,-0.3679,0.0417,,既有574,True,2020,2025
5y,FITB,2009-02-27,1.28,2014-01-22,14.4715,11.31,-0.3748,2.6596,,既有574,True,2009,2014
5y,EPAM,2016-12-30,64.31,2021-11-08,717.49,11.16,-0.894,-0.8369,,既有574,True,2016,2021
5y,DELL,2021-08-31,44.8727,2026-08-13,494.51,11.02,-0.1284,-0.1284,,既有574,True,2021,2026
