window,arm,direction,bar,rsi_kind,style,params,n_periods,start,end,years,cagr_pct,maxdd_pct,exc_spy,t_spy,exc_ew9,t_ew9,exc_spy_h1,exc_spy_h2,exc_spy_pre13,exc_spy_post13,ann_turnover,pct_in_mkt,n_rebal,N,H,E,X
主窗,ey_lag,買便宜,1M,wilder,乙,"E=25,X=95,H=1",277,2003-07-01,2026-08-03,23.09,11.8095,-43.97,0.5583,0.408,0.7244,0.969,1.9218,-0.8479,2.5645,-0.9227,0.9,100.0,100.0,,1.0,25.0,95.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=30,X=50,H=1",277,2003-07-01,2026-08-03,23.09,8.3003,-51.089,-2.9508,-1.748,-2.7848,-1.752,-2.8374,-3.0678,-1.8287,-3.8296,4.23,92.42,218.0,,1.0,30.0,50.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=30,X=55,H=1",277,2003-07-01,2026-08-03,23.09,9.3322,-47.737,-1.9189,-1.136,-1.7529,-1.108,-1.7971,-2.0452,-0.4284,-3.056,3.99,92.42,218.0,,1.0,30.0,55.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=30,X=60,H=1",277,2003-07-01,2026-08-03,23.09,10.0389,-47.148,-1.2122,-0.696,-1.0461,-0.616,-0.6879,-1.7567,0.8723,-2.7751,3.82,94.58,211.0,,1.0,30.0,60.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=30,X=65,H=1",277,2003-07-01,2026-08-03,23.09,11.4756,-45.202,0.2245,0.15,0.3905,0.319,1.3358,-0.9243,2.8365,-1.7016,3.44,96.39,204.0,,1.0,30.0,65.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=30,X=70,H=1",277,2003-07-01,2026-08-03,23.09,11.5197,-44.627,0.2686,0.162,0.4346,0.341,1.0898,-0.5825,2.6491,-1.4891,3.08,97.11,197.0,,1.0,30.0,70.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=30,X=75,H=1",277,2003-07-01,2026-08-03,23.09,11.6165,-45.582,0.3654,0.222,0.5315,0.415,0.7542,-0.0392,2.2031,-0.9951,2.8,97.83,192.0,,1.0,30.0,75.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=30,X=80,H=1",277,2003-07-01,2026-08-03,23.09,12.134,-45.665,0.8829,0.584,1.049,0.835,1.5957,0.1433,2.1208,-0.0291,2.4,98.56,172.0,,1.0,30.0,80.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=30,X=85,H=1",277,2003-07-01,2026-08-03,23.09,11.9178,-44.767,0.6666,0.457,0.8327,0.732,1.537,-0.2351,1.9702,-0.2969,2.05,98.56,164.0,,1.0,30.0,85.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=30,X=90,H=1",277,2003-07-01,2026-08-03,23.09,11.682,-44.194,0.4309,0.251,0.5969,0.546,1.827,-1.0085,2.5002,-1.098,1.49,99.64,138.0,,1.0,30.0,90.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=30,X=95,H=1",277,2003-07-01,2026-08-03,23.09,11.8928,-44.272,0.6417,0.485,0.8078,1.147,1.9985,-0.7576,2.5535,-0.7691,0.92,100.0,107.0,,1.0,30.0,95.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=35,X=50,H=1",277,2003-07-01,2026-08-03,23.09,8.304,-50.653,-2.9472,-1.794,-2.7811,-1.861,-3.1625,-2.7201,-1.7681,-3.868,4.49,94.58,228.0,,1.0,35.0,50.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=35,X=55,H=1",277,2003-07-01,2026-08-03,23.09,9.2836,-47.363,-1.9675,-1.209,-1.8015,-1.229,-2.1355,-1.7906,-0.3795,-3.177,4.22,94.58,226.0,,1.0,35.0,55.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=35,X=60,H=1",277,2003-07-01,2026-08-03,23.09,9.6019,-47.552,-1.6492,-0.976,-1.4831,-0.954,-1.7584,-1.5342,0.0388,-2.9278,4.02,96.03,218.0,,1.0,35.0,60.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=35,X=65,H=1",277,2003-07-01,2026-08-03,23.09,11.0016,-45.815,-0.2495,-0.158,-0.0835,-0.014,0.5534,-1.0817,1.9837,-1.9074,3.61,97.83,214.0,,1.0,35.0,65.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=35,X=70,H=1",277,2003-07-01,2026-08-03,23.09,11.3074,-45.246,0.0563,0.023,0.2223,0.199,0.896,-0.8138,1.8178,-1.2527,3.22,98.19,209.0,,1.0,35.0,70.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=35,X=75,H=1",277,2003-07-01,2026-08-03,23.09,11.5092,-46.192,0.2581,0.15,0.4242,0.354,0.4681,0.0392,1.2571,-0.4856,2.87,98.92,198.0,,1.0,35.0,75.0
主窗,ey_lag,買便宜,1M,wilder,乙,"E=35,X=80,H=1",277,2003-07-01,2026-08-03,23.09,11.7618,-47.449,0.5107,0.327,0.6768,0.583,0.9285,0.076,1.1558,0.0338,2.48,99.28,181.0,,1.0,35.0,80.0
