weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
0.0,0.2,0.4,0.4,monthly,3.1260498197304694,0.12973433251751532,-0.3460743109021093,0.975103734439834,74.86210966927229,0.7510094237252786,1483.643153526971,0.11722500906800072,-0.05993533442942556,-0.008785352364604426,run-d375d03fcdf69dca,420,241,2929,2015-01-02,2026-08-26,True,0.0357
0.0,0.2,0.4,0.4,quarterly,3.157008376331696,0.13046138793598905,-0.3454494487513501,0.984375,285.6820642750519,0.7562648418979128,1482.4375,0.080979460261302,-0.059208279010951825,-0.008058296946130694,run-3bb69c3abdfd44ff,141,64,2929,2015-01-02,2026-08-26,True,0.0403
0.0,0.2,0.5,0.3,monthly,3.336124974269689,0.13457322714156383,-0.34712332273412017,0.975103734439834,67.22209294418582,0.7592506412272118,1447.5103734439833,0.11570194666708422,-0.05509643980537704,-0.003946457740555909,run-deda35ee2eb3e359,420,241,2929,2015-01-02,2026-08-26,True,0.054
0.0,0.2,0.5,0.3,quarterly,3.365052375817653,0.13522268244727353,-0.34649174715161624,0.9846153846153847,330.6630581333528,0.7637584383460433,1577.5384615384614,0.079124122861698,-0.05444698449966734,-0.003297002434846208,run-c2e7186f7682afb9,141,65,2929,2015-01-02,2026-08-26,True,0.0291
0.0,0.2,0.6,0.2,monthly,3.550128170162316,0.13928710352539087,-0.34817058245428734,0.9765625,53.948110361421676,0.7624558987334179,1497.68359375,0.10855231026609018,-0.05038256342155001,0.0007674186432711227,run-a7c7468d6e7885b4,420,256,2929,2015-01-02,2026-08-26,True,0.0362
0.0,0.2,0.6,0.2,quarterly,3.573947373765842,0.13979917381435514,-0.34752799387551836,0.984375,416.57773061057947,0.7659724709567535,1556.015625,0.07368181270553102,-0.049870493132585736,0.0012794889322353953,run-8843c64a04733684,141,64,2929,2015-01-02,2026-08-26,True,0.0341
0.0,0.2,0.7,0.1,monthly,3.7675968830301034,0.14387412986259984,-0.3492160979007505,0.9775280898876404,41.79344942042892,0.7615976252502485,1487.8464419475656,0.09710248647764079,-0.04579553708434103,0.0053544449804801,run-16a9e0719eb1bc3e,420,267,2929,2015-01-02,2026-08-26,True,0.0814
0.0,0.2,0.7,0.1,quarterly,3.7830161979969628,0.14419206040824917,-0.348558241475344,0.984375,629.6515326103283,0.7639306923110482,1550.109375,0.06478783175299757,-0.045477606538691706,0.005672375526129425,run-1379c1c88e65e45a,141,64,2929,2015-01-02,2026-08-26,True,0.157
0.0,0.2,0.8,0.0,monthly,3.9880264070565516,0.1483324509324424,-0.3502598768649694,0.9776536312849162,30.84306553984003,0.7575672438481119,1372.022346368715,0.08130288853169436,-0.04133721601449847,0.009812766050322663,run-846099f3a51387f4,280,179,2929,2015-01-02,2026-08-26,True,0.0362
0.0,0.2,0.8,0.0,quarterly,3.9915538521885967,0.14840232054319036,-0.3495825418966576,1.0,,0.7585564231879287,1547.6734693877552,0.0526233633315987,-0.041267346403750516,0.009882635661070616,run-b30a4de195a3b3df,94,49,2929,2015-01-02,2026-08-26,True,0.029
0.0,0.3,0.0,0.7,monthly,2.442690428738157,0.11226541150165059,-0.3483256274608777,0.9760479041916168,74.37346862886467,0.6632371242710811,1557.0359281437127,0.09404601211376153,-0.07740425544529028,-0.02625427338046915,run-8b80292e095fbf63,280,167,2929,2015-01-02,2026-08-26,True,0.0341
0.0,0.3,0.0,0.7,quarterly,2.4598089176964812,0.1127403315915616,-0.34748402773302867,0.9782608695652174,175.67843603638337,0.6675587264739962,1476.4130434782608,0.06730727144452463,-0.07692933535537927,-0.025779353290558138,run-ae6eb013de2eaa76,94,46,2929,2015-01-02,2026-08-26,True,0.0271
0.0,0.3,0.1,0.6,monthly,2.6370314509626707,0.11753470024870927,-0.3491983762193601,0.9811320754716981,55.606772884601,0.6961989310407861,1567.5132075471697,0.10551007704372602,-0.0721349666982316,-0.020984984633410475,run-1d23c8f24d024620,420,265,2929,2015-01-02,2026-08-26,True,0.0599
0.0,0.3,0.1,0.6,quarterly,2.660374867458836,0.11815021352586341,-0.34835723596488577,0.9866666666666667,139.18919170656307,0.701393591023173,1443.3333333333333,0.07514773657082668,-0.07151945342107746,-0.02036947135625633,run-106aa241254d9ae8,141,75,2929,2015-01-02,2026-08-26,True,0.0389
0.0,0.3,0.2,0.5,monthly,2.8366484245845243,0.12268563108407471,-0.3500703629374543,0.9762845849802372,66.04691868966675,0.7218840478485412,1577.391304347826,0.11464975859931067,-0.06698403586286616,-0.015834053798045034,run-54958a3e924dd312,420,253,2929,2015-01-02,2026-08-26,True,0.0407
0.0,0.3,0.2,0.5,quarterly,2.8639429589954966,0.12337080930565913,-0.3492257711190574,0.9859154929577465,181.2398466476198,0.7273099126541138,1481.281690140845,0.08048153851896844,-0.06629885764128174,-0.015148875576460608,run-13fd940e1e9bb02a,141,71,2929,2015-01-02,2026-08-26,True,0.0529
