bar,rsi_kind,style,params,pair,arm_a,arm_b,agreement,jaccard,a_cagr,b_cagr,a_exc_spy,b_exc_spy,diff_exc_spy,a_exc_ew9,b_exc_ew9,diff_exc_ew9,a_t_spy,b_t_spy,N,H,E,X
3D,simple,乙,"E=15,X=60,H=2",mult|price,mult,price,0.8891,0.7789,4.6555,4.2745,-3.9232,-4.3042,0.381,-4.7042,-5.0852,0.381,-1.991,-1.939,,2,15.0,60.0
3D,simple,乙,"E=15,X=65,H=2",mult|price,mult,price,0.885,0.7757,5.5016,4.6472,-3.077,-3.9315,0.8545,-3.858,-4.7125,0.8545,-1.574,-1.782,,2,15.0,65.0
3D,simple,乙,"E=15,X=70,H=2",mult|price,mult,price,0.8846,0.7783,6.084,4.872,-2.4946,-3.7067,1.2121,-3.2756,-4.4877,1.2121,-1.287,-1.672,,2,15.0,70.0
3D,simple,乙,"E=15,X=75,H=2",mult|price,mult,price,0.8839,0.7809,6.1449,4.4778,-2.4338,-4.1009,1.6671,-3.2148,-4.8819,1.6671,-1.285,-1.864,,2,15.0,75.0
3D,simple,乙,"E=15,X=80,H=2",mult|price,mult,price,0.8836,0.784,6.2239,4.8302,-2.3548,-3.7484,1.3936,-3.1358,-4.5294,1.3936,-1.277,-1.776,,2,15.0,80.0
3D,simple,乙,"E=15,X=85,H=2",mult|price,mult,price,0.8834,0.787,6.8065,5.2317,-1.7722,-3.347,1.5748,-2.5532,-4.128,1.5748,-0.969,-1.609,,2,15.0,85.0
3D,simple,乙,"E=15,X=90,H=2",mult|price,mult,price,0.8817,0.788,6.9379,6.2776,-1.6408,-2.3011,0.6603,-2.4218,-3.0821,0.6603,-0.898,-1.053,,2,15.0,90.0
3D,simple,乙,"E=15,X=95,H=2",mult|price,mult,price,0.8817,0.791,6.9482,6.4053,-1.6305,-2.1734,0.5429,-2.4115,-2.9544,0.5429,-0.901,-1.003,,2,15.0,95.0
3D,simple,乙,"E=20,X=50,H=2",mult|price,mult,price,0.8913,0.7846,3.3857,3.7787,-5.193,-4.7999,-0.3931,-5.9739,-5.5809,-0.393,-2.617,-2.174,,2,20.0,50.0
3D,simple,乙,"E=20,X=55,H=2",mult|price,mult,price,0.8901,0.7855,3.4676,3.7739,-5.1111,-4.8048,-0.3063,-5.892,-5.5858,-0.3062,-2.569,-2.155,,2,20.0,55.0
3D,simple,乙,"E=20,X=60,H=2",mult|price,mult,price,0.8884,0.7855,3.6114,3.6017,-4.9672,-4.9769,0.0097,-5.7482,-5.7579,0.0097,-2.597,-2.223,,2,20.0,60.0
3D,simple,乙,"E=20,X=65,H=2",mult|price,mult,price,0.8838,0.7814,4.4281,3.9942,-4.1506,-4.5844,0.4338,-4.9316,-5.3654,0.4338,-2.203,-2.045,,2,20.0,65.0
3D,simple,乙,"E=20,X=70,H=2",mult|price,mult,price,0.8847,0.7862,5.0559,3.9896,-3.5228,-4.589,1.0662,-4.3037,-5.37,1.0663,-1.902,-2.074,,2,20.0,70.0
3D,simple,乙,"E=20,X=75,H=2",mult|price,mult,price,0.8847,0.7899,5.526,4.1714,-3.0526,-4.4072,1.3546,-3.8336,-5.1882,1.3546,-1.668,-1.889,,2,20.0,75.0
3D,simple,乙,"E=20,X=80,H=2",mult|price,mult,price,0.8832,0.7909,5.6174,4.8423,-2.9613,-3.7364,0.7751,-3.7423,-4.5173,0.775,-1.668,-1.649,,2,20.0,80.0
3D,simple,乙,"E=20,X=85,H=2",mult|price,mult,price,0.8832,0.7942,6.1438,4.4628,-2.4348,-4.1159,1.6811,-3.2158,-4.8969,1.6811,-1.382,-1.954,,2,20.0,85.0
3D,simple,乙,"E=20,X=90,H=2",mult|price,mult,price,0.8825,0.7966,6.2627,5.6936,-2.3159,-2.8851,0.5692,-3.0969,-3.6661,0.5692,-1.309,-1.291,,2,20.0,90.0
3D,simple,乙,"E=20,X=95,H=2",mult|price,mult,price,0.8826,0.7996,6.445,6.0744,-2.1336,-2.5043,0.3707,-2.9146,-3.2853,0.3707,-1.246,-1.127,,2,20.0,95.0
3D,simple,乙,"E=25,X=50,H=2",mult|price,mult,price,0.8876,0.7858,4.0207,4.2226,-4.5579,-4.3561,-0.2018,-5.3389,-5.1371,-0.2018,-2.423,-2.096,,2,25.0,50.0
3D,simple,乙,"E=25,X=55,H=2",mult|price,mult,price,0.8877,0.789,4.1384,4.4223,-4.4403,-4.1564,-0.2839,-5.2213,-4.9373,-0.284,-2.358,-1.982,,2,25.0,55.0
3D,simple,乙,"E=25,X=60,H=2",mult|price,mult,price,0.8861,0.789,4.4586,4.4186,-4.1201,-4.1601,0.04,-4.9011,-4.941,0.0399,-2.271,-1.967,,2,25.0,60.0
3D,simple,乙,"E=25,X=65,H=2",mult|price,mult,price,0.8821,0.786,4.9329,4.5259,-3.6457,-4.0528,0.4071,-4.4267,-4.8338,0.4071,-2.036,-1.923,,2,25.0,65.0
3D,simple,乙,"E=25,X=70,H=2",mult|price,mult,price,0.8821,0.7892,5.3889,4.7308,-3.1898,-3.8479,0.6581,-3.9708,-4.6289,0.6581,-1.806,-1.842,,2,25.0,70.0
3D,simple,乙,"E=25,X=75,H=2",mult|price,mult,price,0.8828,0.7938,5.9749,5.0393,-2.6038,-3.5393,0.9355,-3.3848,-4.3203,0.9355,-1.489,-1.587,,2,25.0,75.0
3D,simple,乙,"E=25,X=80,H=2",mult|price,mult,price,0.882,0.7955,6.3262,5.5367,-2.2525,-3.0419,0.7894,-3.0334,-3.8229,0.7895,-1.324,-1.404,,2,25.0,80.0
3D,simple,乙,"E=25,X=85,H=2",mult|price,mult,price,0.8828,0.8,6.8115,5.2899,-1.7672,-3.2887,1.5215,-2.5482,-4.0697,1.5215,-1.054,-1.64,,2,25.0,85.0
3D,simple,乙,"E=25,X=90,H=2",mult|price,mult,price,0.8818,0.8017,6.9651,6.2343,-1.6136,-2.3443,0.7307,-2.3946,-3.1253,0.7307,-0.945,-1.1,,2,25.0,90.0
3D,simple,乙,"E=25,X=95,H=2",mult|price,mult,price,0.8825,0.8055,7.1654,6.6577,-1.4133,-1.921,0.5077,-2.1943,-2.702,0.5077,-0.852,-0.908,,2,25.0,95.0
3D,simple,乙,"E=30,X=50,H=2",mult|price,mult,price,0.8858,0.7901,5.0093,5.8084,-3.5694,-2.7703,-0.7991,-4.3504,-3.5513,-0.7991,-1.953,-1.317,,2,30.0,50.0
3D,simple,乙,"E=30,X=55,H=2",mult|price,mult,price,0.8858,0.7929,5.0411,4.9976,-3.5375,-3.5811,0.0436,-4.3185,-4.3621,0.0436,-1.936,-1.721,,2,30.0,55.0
3D,simple,乙,"E=30,X=60,H=2",mult|price,mult,price,0.8836,0.7921,5.2551,5.0737,-3.3236,-3.5049,0.1813,-4.1046,-4.2859,0.1813,-1.893,-1.689,,2,30.0,60.0
3D,simple,乙,"E=30,X=65,H=2",mult|price,mult,price,0.8797,0.7891,5.7464,4.7546,-2.8323,-3.8241,0.9918,-3.6133,-4.6051,0.9918,-1.638,-1.849,,2,30.0,65.0
3D,simple,乙,"E=30,X=70,H=2",mult|price,mult,price,0.8806,0.7936,6.1168,5.0337,-2.4619,-3.545,1.0831,-3.2428,-4.326,1.0832,-1.446,-1.727,,2,30.0,70.0
3D,simple,乙,"E=30,X=75,H=2",mult|price,mult,price,0.8814,0.7978,6.5844,5.102,-1.9943,-3.4766,1.4823,-2.7752,-4.2576,1.4824,-1.184,-1.591,,2,30.0,75.0
3D,simple,乙,"E=30,X=80,H=2",mult|price,mult,price,0.8806,0.7998,6.755,5.6314,-1.8237,-2.9473,1.1236,-2.6047,-3.7283,1.1236,-1.124,-1.392,,2,30.0,80.0
3D,simple,乙,"E=30,X=85,H=2",mult|price,mult,price,0.8814,0.8039,7.2881,5.4541,-1.2906,-3.1246,1.834,-2.0715,-3.9056,1.8341,-0.806,-1.6,,2,30.0,85.0
3D,simple,乙,"E=30,X=90,H=2",mult|price,mult,price,0.8807,0.806,7.5849,6.4006,-0.9938,-2.1781,1.1843,-1.7747,-2.9591,1.1844,-0.612,-1.049,,2,30.0,90.0
3D,simple,乙,"E=30,X=95,H=2",mult|price,mult,price,0.881,0.8091,7.8642,6.9326,-0.7145,-1.6461,0.9316,-1.4955,-2.4271,0.9316,-0.455,-0.793,,2,30.0,95.0
3D,simple,乙,"E=35,X=50,H=2",mult|price,mult,price,0.8817,0.7923,5.8595,6.7721,-2.7192,-1.8066,-0.9126,-3.5002,-2.5876,-0.9126,-1.562,-0.897,,2,35.0,50.0
3D,simple,乙,"E=35,X=55,H=2",mult|price,mult,price,0.8822,0.7958,6.1587,6.3061,-2.42,-2.2726,-0.1474,-3.201,-3.0536,-0.1474,-1.392,-1.153,,2,35.0,55.0
3D,simple,乙,"E=35,X=60,H=2",mult|price,mult,price,0.8811,0.7964,6.1019,6.2104,-2.4768,-2.3683,-0.1085,-3.2578,-3.1493,-0.1085,-1.487,-1.192,,2,35.0,60.0
3D,simple,乙,"E=35,X=65,H=2",mult|price,mult,price,0.8788,0.7959,6.3507,5.573,-2.2279,-3.0057,0.7778,-3.0089,-3.7867,0.7778,-1.366,-1.531,,2,35.0,65.0
3D,simple,乙,"E=35,X=70,H=2",mult|price,mult,price,0.8803,0.8011,6.898,6.0076,-1.6807,-2.5711,0.8904,-2.4616,-3.3521,0.8905,-1.04,-1.306,,2,35.0,70.0
3D,simple,乙,"E=35,X=75,H=2",mult|price,mult,price,0.8805,0.8043,7.2088,6.0169,-1.3698,-2.5618,1.192,-2.1508,-3.3428,1.192,-0.86,-1.21,,2,35.0,75.0
3D,simple,乙,"E=35,X=80,H=2",mult|price,mult,price,0.8812,0.808,7.0885,5.9427,-1.4901,-2.636,1.1459,-2.2711,-3.417,1.1459,-0.958,-1.295,,2,35.0,80.0
3D,simple,乙,"E=35,X=85,H=2",mult|price,mult,price,0.8823,0.8122,7.5812,5.8598,-0.9974,-2.7189,1.7215,-1.7784,-3.4999,1.7215,-0.661,-1.451,,2,35.0,85.0
3D,simple,乙,"E=35,X=90,H=2",mult|price,mult,price,0.8823,0.8151,7.9563,6.774,-0.6223,-1.8047,1.1824,-1.4033,-2.5857,1.1824,-0.408,-0.901,,2,35.0,90.0
3D,simple,乙,"E=35,X=95,H=2",mult|price,mult,price,0.8833,0.819,8.1163,7.5286,-0.4624,-1.0501,0.5877,-1.2434,-1.8311,0.5877,-0.316,-0.494,,2,35.0,95.0
3D,simple,乙,"E=40,X=50,H=2",mult|price,mult,price,0.8856,0.8036,6.2907,6.6584,-2.288,-1.9203,-0.3677,-3.0689,-2.7013,-0.3676,-1.337,-0.987,,2,40.0,50.0
3D,simple,乙,"E=40,X=55,H=2",mult|price,mult,price,0.8862,0.807,6.3767,6.1062,-2.2019,-2.4725,0.2706,-2.9829,-3.2534,0.2705,-1.287,-1.291,,2,40.0,55.0
3D,simple,乙,"E=40,X=60,H=2",mult|price,mult,price,0.8861,0.8089,6.7716,6.0276,-1.8071,-2.5511,0.744,-2.588,-3.3321,0.7441,-1.105,-1.316,,2,40.0,60.0
3D,simple,乙,"E=40,X=65,H=2",mult|price,mult,price,0.884,0.8084,6.9311,6.0362,-1.6476,-2.5425,0.8949,-2.4286,-3.3234,0.8948,-1.025,-1.319,,2,40.0,65.0
3D,simple,乙,"E=40,X=70,H=2",mult|price,mult,price,0.8847,0.812,7.2823,6.2732,-1.2963,-2.3055,1.0092,-2.0773,-3.0865,1.0092,-0.833,-1.219,,2,40.0,70.0
3D,simple,乙,"E=40,X=75,H=2",mult|price,mult,price,0.8844,0.8143,7.434,6.2047,-1.1446,-2.374,1.2294,-1.9256,-3.155,1.2294,-0.746,-1.161,,2,40.0,75.0
3D,simple,乙,"E=40,X=80,H=2",mult|price,mult,price,0.8849,0.8175,7.5012,5.9956,-1.0775,-2.5831,1.5056,-1.8585,-3.3641,1.5056,-0.706,-1.291,,2,40.0,80.0
3D,simple,乙,"E=40,X=85,H=2",mult|price,mult,price,0.8861,0.8215,7.7583,5.5789,-0.8203,-2.9998,2.1795,-1.6013,-3.7808,2.1795,-0.552,-1.638,,2,40.0,85.0
3D,simple,乙,"E=40,X=90,H=2",mult|price,mult,price,0.887,0.8254,8.1118,6.3336,-0.4669,-2.2451,1.7782,-1.2479,-3.0261,1.7782,-0.314,-1.216,,2,40.0,90.0
3D,simple,乙,"E=40,X=95,H=2",mult|price,mult,price,0.8883,0.8294,8.2005,6.824,-0.3782,-1.7546,1.3764,-1.1591,-2.5356,1.3765,-0.267,-0.937,,2,40.0,95.0
3D,simple,甲,"N=1,H=3",mult|price,mult,price,0.9561,0.67,8.8281,7.1619,0.2494,-1.4168,1.6662,-0.5316,-2.1978,1.6662,0.397,-0.028,1.0,3,,
3D,simple,甲,"N=2,H=3",mult|price,mult,price,0.9269,0.7176,7.1733,6.0269,-1.4053,-2.5518,1.1465,-2.1863,-3.3328,1.1465,-0.325,-0.725,2.0,3,,
3D,simple,甲,"N=3,H=3",mult|price,mult,price,0.9042,0.7487,7.784,6.7218,-0.7947,-1.8569,1.0622,-1.5756,-2.6379,1.0623,-0.243,-0.691,3.0,3,,
3D,simple,乙,"E=5,X=50,H=3",mult|price,mult,price,0.8947,0.7887,5.2376,4.7551,-3.3411,-3.8236,0.4825,-4.122,-4.6045,0.4825,-1.569,-1.678,,3,5.0,50.0
3D,simple,乙,"E=5,X=55,H=3",mult|price,mult,price,0.8938,0.7901,5.7212,5.1413,-2.8574,-3.4373,0.5799,-3.6384,-4.2183,0.5799,-1.334,-1.497,,3,5.0,55.0
3D,simple,乙,"E=5,X=60,H=3",mult|price,mult,price,0.8917,0.7888,6.0423,3.8331,-2.5363,-4.7456,2.2093,-3.3173,-5.5265,2.2092,-1.255,-2.152,,3,5.0,60.0
3D,simple,乙,"E=5,X=65,H=3",mult|price,mult,price,0.8901,0.7892,6.161,4.098,-2.4177,-4.4806,2.0629,-3.1987,-5.2616,2.0629,-1.222,-2.051,,3,5.0,65.0
3D,simple,乙,"E=5,X=70,H=3",mult|price,mult,price,0.8897,0.791,6.369,4.8026,-2.2097,-3.7761,1.5664,-2.9907,-4.5571,1.5664,-1.136,-1.75,,3,5.0,70.0
3D,simple,乙,"E=5,X=75,H=3",mult|price,mult,price,0.8901,0.7944,6.1841,5.0974,-2.3946,-3.4813,1.0867,-3.1756,-4.2623,1.0867,-1.25,-1.624,,3,5.0,75.0
3D,simple,乙,"E=5,X=80,H=3",mult|price,mult,price,0.8912,0.7989,6.086,5.2494,-2.4926,-3.3292,0.8366,-3.2736,-4.1102,0.8366,-1.308,-1.591,,3,5.0,80.0
3D,simple,乙,"E=5,X=85,H=3",mult|price,mult,price,0.8889,0.7974,6.7748,5.1941,-1.8038,-3.3846,1.5808,-2.5848,-4.1656,1.5808,-0.949,-1.653,,3,5.0,85.0
3D,simple,乙,"E=5,X=90,H=3",mult|price,mult,price,0.8883,0.7987,6.7858,5.9955,-1.7929,-2.5831,0.7902,-2.5739,-3.3641,0.7902,-0.966,-1.241,,3,5.0,90.0
3D,simple,乙,"E=5,X=95,H=3",mult|price,mult,price,0.8878,0.8,6.8665,5.9664,-1.7121,-2.6123,0.9002,-2.4931,-3.3932,0.9001,-0.942,-1.265,,3,5.0,95.0
3D,simple,乙,"E=10,X=50,H=3",mult|price,mult,price,0.887,0.7842,5.2531,4.4741,-3.3256,-4.1046,0.779,-4.1066,-4.8856,0.779,-1.611,-1.875,,3,10.0,50.0
3D,simple,乙,"E=10,X=55,H=3",mult|price,mult,price,0.8858,0.7851,5.666,4.8965,-2.9127,-3.6821,0.7694,-3.6937,-4.4631,0.7694,-1.418,-1.684,,3,10.0,55.0
3D,simple,乙,"E=10,X=60,H=3",mult|price,mult,price,0.8847,0.7855,6.0856,3.7814,-2.4931,-4.7972,2.3041,-3.2741,-5.5782,2.3041,-1.261,-2.235,,3,10.0,60.0
3D,simple,乙,"E=10,X=65,H=3",mult|price,mult,price,0.8834,0.7865,6.3031,4.3697,-2.2755,-4.2089,1.9334,-3.0565,-4.9899,1.9334,-1.178,-1.964,,3,10.0,65.0
3D,simple,乙,"E=10,X=70,H=3",mult|price,mult,price,0.8828,0.7879,6.5262,5.2756,-2.0524,-3.3031,1.2507,-2.8334,-4.0841,1.2507,-1.082,-1.542,,3,10.0,70.0
3D,simple,乙,"E=10,X=75,H=3",mult|price,mult,price,0.8831,0.7909,6.4842,5.1595,-2.0945,-3.4192,1.3247,-2.8755,-4.2002,1.3247,-1.124,-1.617,,3,10.0,75.0
3D,simple,乙,"E=10,X=80,H=3",mult|price,mult,price,0.8846,0.7959,6.4335,5.4708,-2.1452,-3.1079,0.9627,-2.9262,-3.8888,0.9626,-1.156,-1.496,,3,10.0,80.0
3D,simple,乙,"E=10,X=85,H=3",mult|price,mult,price,0.883,0.7956,6.9682,5.4205,-1.6104,-3.1581,1.5477,-2.3914,-3.9391,1.5477,-0.875,-1.545,,3,10.0,85.0
3D,simple,乙,"E=10,X=90,H=3",mult|price,mult,price,0.8839,0.7996,7.0541,6.1433,-1.5245,-2.4354,0.9109,-2.3055,-3.2164,0.9109,-0.845,-1.175,,3,10.0,90.0
3D,simple,乙,"E=10,X=95,H=3",mult|price,mult,price,0.884,0.8017,6.9223,6.3368,-1.6564,-2.2419,0.5855,-2.4373,-3.0229,0.5856,-0.944,-1.088,,3,10.0,95.0
3D,simple,乙,"E=15,X=50,H=3",mult|price,mult,price,0.8812,0.7818,5.2944,4.607,-3.2842,-3.9717,0.6875,-4.0652,-4.7527,0.6875,-1.637,-1.841,,3,15.0,50.0
3D,simple,乙,"E=15,X=55,H=3",mult|price,mult,price,0.881,0.7842,5.7829,5.3535,-2.7958,-3.2252,0.4294,-3.5768,-4.0062,0.4294,-1.4,-1.485,,3,15.0,55.0
3D,simple,乙,"E=15,X=60,H=3",mult|price,mult,price,0.8797,0.7843,5.8805,4.2942,-2.6981,-4.2844,1.5863,-3.4791,-5.0654,1.5863,-1.397,-2.013,,3,15.0,60.0
3D,simple,乙,"E=15,X=65,H=3",mult|price,mult,price,0.8782,0.7849,5.8039,4.5615,-2.7747,-4.0172,1.2425,-3.5557,-4.7982,1.2425,-1.482,-1.908,,3,15.0,65.0
3D,simple,乙,"E=15,X=70,H=3",mult|price,mult,price,0.8775,0.7861,6.0092,4.9775,-2.5695,-3.6012,1.0317,-3.3505,-4.3822,1.0317,-1.399,-1.723,,3,15.0,70.0
3D,simple,乙,"E=15,X=75,H=3",mult|price,mult,price,0.877,0.7878,5.7626,4.9505,-2.8161,-3.6282,0.8121,-3.597,-4.4091,0.8121,-1.562,-1.742,,3,15.0,75.0
3D,simple,乙,"E=15,X=80,H=3",mult|price,mult,price,0.8781,0.7921,5.7453,5.1205,-2.8334,-3.4582,0.6248,-3.6144,-4.2391,0.6247,-1.575,-1.709,,3,15.0,80.0
3D,simple,乙,"E=15,X=85,H=3",mult|price,mult,price,0.877,0.7927,6.1375,5.2019,-2.4411,-3.3768,0.9357,-3.2221,-4.1577,0.9356,-1.376,-1.695,,3,15.0,85.0
3D,simple,乙,"E=15,X=90,H=3",mult|price,mult,price,0.8778,0.7964,5.9955,5.8717,-2.5831,-2.7069,0.1238,-3.3641,-3.4879,0.1238,-1.497,-1.342,,3,15.0,90.0
3D,simple,乙,"E=15,X=95,H=3",mult|price,mult,price,0.8773,0.7978,5.8913,5.9108,-2.6873,-2.6678,-0.0195,-3.4683,-3.4488,-0.0195,-1.6,-1.342,,3,15.0,95.0
3D,simple,乙,"E=20,X=50,H=3",mult|price,mult,price,0.8813,0.7894,4.6813,3.9407,-3.8974,-4.6379,0.7405,-4.6784,-5.4189,0.7405,-2.072,-2.241,,3,20.0,50.0
3D,simple,乙,"E=20,X=55,H=3",mult|price,mult,price,0.8811,0.7916,4.8864,4.074,-3.6923,-4.5046,0.8123,-4.4732,-5.2856,0.8124,-1.927,-2.179,,3,20.0,55.0
3D,simple,乙,"E=20,X=60,H=3",mult|price,mult,price,0.8807,0.7929,4.5718,2.7977,-4.0069,-5.781,1.7741,-4.7878,-6.562,1.7742,-2.179,-2.809,,3,20.0,60.0
3D,simple,乙,"E=20,X=65,H=3",mult|price,mult,price,0.8793,0.7934,4.6972,3.1129,-3.8815,-5.4658,1.5843,-4.6625,-6.2467,1.5842,-2.195,-2.681,,3,20.0,65.0
3D,simple,乙,"E=20,X=70,H=3",mult|price,mult,price,0.8787,0.7948,5.0763,3.4738,-3.5023,-5.1048,1.6025,-4.2833,-5.8858,1.6025,-2.012,-2.519,,3,20.0,70.0
3D,simple,乙,"E=20,X=75,H=3",mult|price,mult,price,0.8776,0.7954,5.4792,3.9695,-3.0995,-4.6092,1.5097,-3.8805,-5.3902,1.5097,-1.788,-2.254,,3,20.0,75.0
3D,simple,乙,"E=20,X=80,H=3",mult|price,mult,price,0.8773,0.7975,5.3332,4.3639,-3.2454,-4.2148,0.9694,-4.0264,-4.9958,0.9694,-1.887,-2.115,,3,20.0,80.0
3D,simple,乙,"E=20,X=85,H=3",mult|price,mult,price,0.8749,0.7964,5.644,4.514,-2.9347,-4.0647,1.13,-3.7157,-4.8457,1.13,-1.731,-2.06,,3,20.0,85.0
3D,simple,乙,"E=20,X=90,H=3",mult|price,mult,price,0.8758,0.8001,5.6134,5.3033,-2.9652,-3.2754,0.3102,-3.7462,-4.0564,0.3102,-1.794,-1.624,,3,20.0,90.0
3D,simple,乙,"E=20,X=95,H=3",mult|price,mult,price,0.877,0.804,5.7398,5.7669,-2.8389,-2.8118,-0.0271,-3.6199,-3.5928,-0.0271,-1.776,-1.403,,3,20.0,95.0
3D,simple,乙,"E=25,X=50,H=3",mult|price,mult,price,0.8782,0.7912,4.4606,3.549,-4.118,-5.0296,0.9116,-4.899,-5.8106,0.9116,-2.282,-2.528,,3,25.0,50.0
3D,simple,乙,"E=25,X=55,H=3",mult|price,mult,price,0.8788,0.7944,4.6732,3.8855,-3.9054,-4.6931,0.7877,-4.6864,-5.4741,0.7877,-2.157,-2.366,,3,25.0,55.0
3D,simple,乙,"E=25,X=60,H=3",mult|price,mult,price,0.8776,0.7944,4.1405,2.5125,-4.4382,-6.0661,1.6279,-5.2192,-6.8471,1.6279,-2.559,-3.076,,3,25.0,60.0
3D,simple,乙,"E=25,X=65,H=3",mult|price,mult,price,0.8759,0.7944,4.5507,2.9642,-4.028,-5.6145,1.5865,-4.809,-6.3955,1.5865,-2.385,-2.899,,3,25.0,65.0
3D,simple,乙,"E=25,X=70,H=3",mult|price,mult,price,0.8757,0.7964,4.8141,3.4803,-3.7646,-5.0983,1.3337,-4.5456,-5.8793,1.3337,-2.278,-2.67,,3,25.0,70.0
3D,simple,乙,"E=25,X=75,H=3",mult|price,mult,price,0.8754,0.7983,5.2989,4.0242,-3.2797,-4.5545,1.2748,-4.0607,-5.3355,1.2748,-1.996,-2.371,,3,25.0,75.0
3D,simple,乙,"E=25,X=80,H=3",mult|price,mult,price,0.876,0.8018,5.5665,4.8757,-3.0122,-3.7029,0.6907,-3.7931,-4.4839,0.6908,-1.817,-1.957,,3,25.0,80.0
3D,simple,乙,"E=25,X=85,H=3",mult|price,mult,price,0.8743,0.8013,5.7533,4.9701,-2.8254,-3.6086,0.7832,-3.6064,-4.3896,0.7832,-1.736,-1.925,,3,25.0,85.0
3D,simple,乙,"E=25,X=90,H=3",mult|price,mult,price,0.8752,0.8048,6.0355,5.7968,-2.5431,-2.7819,0.2388,-3.3241,-3.5629,0.2388,-1.59,-1.449,,3,25.0,90.0
3D,simple,乙,"E=25,X=95,H=3",mult|price,mult,price,0.8761,0.8082,6.2316,6.1548,-2.3471,-2.4239,0.0768,-3.1281,-3.2048,0.0767,-1.519,-1.286,,3,25.0,95.0
3D,simple,乙,"E=30,X=50,H=3",mult|price,mult,price,0.8759,0.7943,5.5328,5.0582,-3.0458,-3.5204,0.4746,-3.8268,-4.3014,0.4746,-1.739,-1.711,,3,30.0,50.0
3D,simple,乙,"E=30,X=55,H=3",mult|price,mult,price,0.8758,0.7964,5.4509,4.2455,-3.1277,-4.3332,1.2055,-3.9087,-5.1141,1.2054,-1.784,-2.183,,3,30.0,55.0
3D,simple,乙,"E=30,X=60,H=3",mult|price,mult,price,0.8743,0.7959,5.1144,3.4877,-3.4642,-5.0909,1.6267,-4.2452,-5.8719,1.6267,-2.057,-2.635,,3,30.0,60.0
3D,simple,乙,"E=30,X=65,H=3",mult|price,mult,price,0.8725,0.7955,5.2992,3.4847,-3.2795,-5.094,1.8145,-4.0604,-5.875,1.8146,-2.002,-2.683,,3,30.0,65.0
3D,simple,乙,"E=30,X=70,H=3",mult|price,mult,price,0.8739,0.7997,5.7858,3.9106,-2.7929,-4.668,1.8751,-3.5738,-5.449,1.8752,-1.756,-2.496,,3,30.0,70.0
3D,simple,乙,"E=30,X=75,H=3",mult|price,mult,price,0.8734,0.8013,6.3753,4.0949,-2.2033,-4.4838,2.2805,-2.9843,-5.2647,2.2804,-1.397,-2.403,,3,30.0,75.0
3D,simple,乙,"E=30,X=80,H=3",mult|price,mult,price,0.8743,0.805,6.4927,5.1601,-2.086,-3.4186,1.3326,-2.867,-4.1995,1.3325,-1.321,-1.853,,3,30.0,80.0
3D,simple,乙,"E=30,X=85,H=3",mult|price,mult,price,0.8741,0.8068,6.749,5.241,-1.8297,-3.3377,1.508,-2.6107,-4.1187,1.508,-1.174,-1.829,,3,30.0,85.0
3D,simple,乙,"E=30,X=90,H=3",mult|price,mult,price,0.8753,0.8106,6.8822,5.883,-1.6964,-2.6957,0.9993,-2.4774,-3.4767,0.9993,-1.112,-1.441,,3,30.0,90.0
3D,simple,乙,"E=30,X=95,H=3",mult|price,mult,price,0.876,0.8135,7.3097,6.3914,-1.2689,-2.1872,0.9183,-2.0499,-2.9682,0.9183,-0.862,-1.189,,3,30.0,95.0
3D,simple,乙,"E=35,X=50,H=3",mult|price,mult,price,0.873,0.7969,6.591,5.8702,-1.9876,-2.7085,0.7209,-2.7686,-3.4895,0.7209,-1.152,-1.353,,3,35.0,50.0
3D,simple,乙,"E=35,X=55,H=3",mult|price,mult,price,0.8718,0.7971,6.5035,5.1724,-2.0752,-3.4062,1.331,-2.8562,-4.1872,1.331,-1.207,-1.787,,3,35.0,55.0
3D,simple,乙,"E=35,X=60,H=3",mult|price,mult,price,0.8707,0.7974,6.0588,4.2407,-2.5198,-4.338,1.8182,-3.3008,-5.119,1.8182,-1.54,-2.341,,3,35.0,60.0
3D,simple,乙,"E=35,X=65,H=3",mult|price,mult,price,0.8699,0.7985,6.2256,4.0701,-2.3531,-4.5086,2.1555,-3.134,-5.2896,2.1556,-1.475,-2.49,,3,35.0,65.0
3D,simple,乙,"E=35,X=70,H=3",mult|price,mult,price,0.8721,0.8034,6.6809,4.3807,-1.8978,-4.198,2.3002,-2.6788,-4.979,2.3002,-1.237,-2.361,,3,35.0,70.0
3D,simple,乙,"E=35,X=75,H=3",mult|price,mult,price,0.8725,0.8061,7.0988,4.2894,-1.4799,-4.2893,2.8094,-2.2609,-5.0702,2.8093,-0.984,-2.423,,3,35.0,75.0
3D,simple,乙,"E=35,X=80,H=3",mult|price,mult,price,0.8744,0.811,7.4014,4.8148,-1.1772,-3.7638,2.5866,-1.9582,-4.5448,2.5866,-0.779,-2.128,,3,35.0,80.0
3D,simple,乙,"E=35,X=85,H=3",mult|price,mult,price,0.874,0.8123,7.512,4.8382,-1.0667,-3.7405,2.6738,-1.8477,-4.5215,2.6738,-0.722,-2.141,,3,35.0,85.0
3D,simple,乙,"E=35,X=90,H=3",mult|price,mult,price,0.8746,0.8151,7.8382,5.613,-0.7405,-2.9657,2.2252,-1.5215,-3.7467,2.2252,-0.513,-1.652,,3,35.0,90.0
