month_end,series,n_members,total_mcap,ey_lag,n_lag,ey_fwd,n_fwd,cov_fwd,ey_fwd1,n_fwd1,cov_fwd1,ey_fwd_hp,n_fwd_hp,lowprec_mcap_share
2012-11-30,XLI,47,969929314622.0299,0.07746346481151452,47,0.08752663991861442,46,0.9945130347647305,0.08694297424861654,46,0.9945130347647305,0.08868927330737168,41,0.04946929631715702
2012-12-31,XLI,47,982976230532.8099,0.07597398170354566,47,0.08548001918159857,47,1.0,0.08479406240252715,47,1.0,0.08651143676257429,41,0.04877271283940753
2013-01-31,XLI,47,1042011911242.33,0.07162764311131993,47,0.0822822253056382,47,1.0,0.07479247703328368,47,1.0,0.08331227900367258,41,0.05029974668039171
2013-02-28,XLI,47,1067304238020.29,0.0702896920811288,47,0.08068580237321511,47,1.0,0.07306746543108682,47,1.0,0.0821617293099309,41,0.05797438582083444
2013-03-31,XLI,47,1081895330891.62,0.06381032687190308,47,0.07933230886694537,47,1.0,0.0725424532734786,47,1.0,0.08057984105791835,41,0.05327901817867664
2013-04-30,XLI,47,1086466114180.7,0.06389783654068355,47,0.08000716345263092,47,1.0,0.08011642491550636,47,1.0,0.08152338199179573,41,0.05898428622875719
2013-05-31,XLI,47,1136188346306.68,0.060844236992411725,47,0.07644413640514154,47,1.0,0.07670194000430018,47,1.0,0.07786252172349743,41,0.05864324285087791
2013-06-30,XLI,47,1104637663043.3901,0.061799780445281186,47,0.07799206892298034,47,1.0,0.07761754197641563,47,1.0,0.07883119805757638,41,0.04899925271819554
2013-07-31,XLI,47,1168484520734.9,0.058538413291448765,47,0.07693834849216317,47,1.0,0.0745865163855028,47,1.0,0.07803992043426827,41,0.055476752171813234
2013-08-31,XLI,47,1139673963377.06,0.05893510442561363,47,0.07902740453166071,47,1.0,0.07636649296620392,47,1.0,0.08006066526153874,41,0.05419583643784175
2013-09-30,XLI,49,1220317654169.5698,0.05633555198739032,49,0.0761080340382377,49,1.0,0.07512856567037787,49,1.0,0.076986112521476,43,0.04900478925173385
2013-10-31,XLI,49,1296175735954.1133,0.05328753373228688,49,0.0738716413790666,49,1.0,0.07354213586739645,49,1.0,0.07480625576597276,43,0.05388910146418818
2013-11-30,XLI,49,1340257875831.9531,0.05383280136472261,49,0.0714836224432588,48,0.9978136739342189,0.0695889737724281,49,1.0,0.07236051309770918,42,0.053593791213311474
2013-12-31,XLI,50,1375231397335.1099,0.05178852345740559,50,0.06890454388568475,49,0.9978471027081718,0.06687073378502204,50,1.0,0.06956174464714733,43,0.04900901693265679
2014-01-31,XLI,50,1318283218384.1968,0.0543758464357206,50,0.07390284515184574,49,0.9978802569148796,0.06133701259481141,50,1.0,0.07470272245866022,43,0.0545196877510938
2014-02-28,XLI,50,1368454970260.567,0.05229287914405455,50,0.0712014830103217,49,0.9976558401903504,0.05924158277164472,50,1.0,0.0720319705518354,43,0.05537712094833029
2014-03-31,XLI,50,1367976532212.78,0.06353906611188134,50,0.07075032987244335,49,0.9976992919061197,0.0595844180748867,50,1.0,0.07148701890221874,43,0.05206289960071006
2014-04-30,XLI,50,1407801471447.0,0.06243909944405061,50,0.07071158733074473,48,0.9946902356922409,0.07401638667574043,49,0.9968225520922334,0.07127704576134787,45,0.03590725514461758
2014-05-31,XLI,50,1437807037980.7,0.06171098332656862,50,0.06909482091279445,48,0.9947920483433185,0.07305653142812839,48,0.9947920483433185,0.06964538638114587,45,0.03583804343258167
2014-06-30,XLI,50,1414853401737.01,0.06158156775133891,50,0.06897443266218002,49,0.9982235415679857,0.0723693680986975,50,1.0,0.06967214396104607,45,0.035713743178928156
2014-07-31,XLI,50,1366646341506.2,0.06424915003460803,50,0.07003068537906157,49,0.9982437543397988,0.07279494366505694,50,1.0,0.07078194935499671,45,0.039913677971629084
2014-08-31,XLI,50,1424044878480.27,0.06421382570643959,50,0.06709589139578222,49,0.9982330674657492,0.06969374539790886,50,1.0,0.06780680529464879,45,0.03985643071820506
2014-09-30,XLI,50,1394282223030.25,0.06455250068023516,50,0.06819422416457012,50,1.0,0.07100746405905516,50,1.0,0.06885080706041677,46,0.03647640197618484
2014-10-31,XLI,50,1466766977348.4534,0.06202163876039347,50,0.06520921465041796,50,1.0,0.07208069401467254,50,1.0,0.06599532324581628,46,0.041356149595866795
2014-11-30,XLI,50,1513637380159.0999,0.06120875589227877,50,0.06304035437472502,50,1.0,0.06823281448706306,50,1.0,0.06376704458631811,46,0.040936202041658785
2014-12-31,XLI,50,1473994839695.8198,0.06167734017973747,50,0.06355232214882882,50,1.0,0.06864173462232707,50,1.0,0.06421856799605882,46,0.03795419885780938
2015-01-31,XLI,50,1426659784945.8267,0.06411578926404662,50,0.06497534060695484,50,1.0,0.060350398898073226,50,1.0,0.06571207546641264,46,0.04097551445961574
2015-02-28,XLI,50,1495735260048.48,0.061262204329601756,50,0.0620481746455532,50,1.0,0.05659642147719123,50,1.0,0.06268214611621492,46,0.039757094910614445
2015-03-31,XLI,51,1474746046237.48,0.059173248883481015,51,0.06662422990837984,51,1.0,0.06069065748123198,51,1.0,0.06710880384449314,48,0.028539814468654872
2015-04-30,XLI,51,1477956561434.21,0.0592920787787313,51,0.06591052554715848,51,1.0,0.0673582954558516,51,1.0,0.0667513326955311,48,0.03511394478646871
2015-05-31,XLI,51,1472551129703.17,0.052049220077274846,51,0.06625979999598922,51,1.0,0.06816674890483018,51,1.0,0.06699984761292824,48,0.03356217533408314
2015-06-30,XLI,51,1418287203493.083,0.05306727667795816,51,0.06819736707629523,51,1.0,0.06980256763048685,51,1.0,0.06884165959285402,48,0.029286268476892852
2015-07-31,XLI,51,1433991952859.2417,0.05175378392107112,51,0.06928345737572786,51,1.0,0.07153966992060924,51,1.0,0.06979383680895106,49,0.029928858635214908
2015-08-31,XLI,51,1352228085783.4514,0.05581459961156167,51,0.0735848934275092,51,1.0,0.07548391856779252,51,1.0,0.07399686908862275,49,0.028188894662009165
2015-09-30,XLI,52,1318304467453.47,0.05768604539335989,52,0.07725546759447262,52,1.0,0.08116546019956246,52,1.0,0.07760470287306095,50,0.023915766239480486
2015-10-31,XLI,53,1459272602503.1,0.052864010011636,53,0.07138171096656955,53,1.0,0.0733502824062049,53,1.0,0.0717412293538716,51,0.025806245950882916
2015-11-30,XLI,53,1460866159989.27,0.056723949279409186,53,0.0711344182899502,53,1.0,0.07219407968353146,53,1.0,0.07157828819538004,51,0.027020707215485048
2015-12-31,XLI,53,1388481326263.1602,0.05850582510013794,53,0.07307579527199877,53,1.0,0.07376678622798238,53,1.0,0.0733387492623309,51,0.0223016794797938
