tier,silent,direction,field,horizon,bench,period,n,clusters,mean_diff,t,mean_resid,mean_ctrl
0.02,True,up,assets,6,sector,all,109,91,-0.0463,-2.333,-0.02318,0.02312
0.02,True,up,assets,6,sector,2009-2016,48,39,-0.0735,-2.351,-0.04418,0.02932
0.02,True,up,assets,6,sector,2017-2026,61,52,-0.0249,-1.015,-0.00665,0.01825
0.02,True,up,assets,6,spy,all,109,91,-0.0463,-2.333,-0.02577,0.02053
0.02,True,up,assets,6,spy,2009-2016,48,39,-0.0735,-2.351,-0.04189,0.03161
0.02,True,up,assets,6,spy,2017-2026,61,52,-0.0249,-1.015,-0.01309,0.01181
0.02,True,up,assets,12,sector,all,105,89,-0.07242,-2.066,-0.01593,0.05649
0.02,True,up,assets,12,sector,2009-2016,48,39,-0.12605,-3.103,-0.06681,0.05924
0.02,True,up,assets,12,sector,2017-2026,57,50,-0.02726,-0.514,0.02691,0.05417
0.02,True,up,assets,12,spy,all,105,89,-0.07242,-2.066,-0.023,0.04942
0.02,True,up,assets,12,spy,2009-2016,48,39,-0.12605,-3.103,-0.08648,0.03957
0.02,True,up,assets,12,spy,2017-2026,57,50,-0.02726,-0.514,0.03045,0.05771
0.02,False,down,ALL,3,sector,all,243,46,0.0743,1.493,0.0805,0.00621
0.02,False,down,ALL,3,sector,2009-2016,82,20,0.04649,1.039,0.03846,-0.00803
0.02,False,down,ALL,3,sector,2017-2026,161,26,0.08846,1.247,0.10192,0.01346
0.02,False,down,ALL,3,spy,all,243,46,0.0743,1.493,0.08446,0.01017
0.02,False,down,ALL,3,spy,2009-2016,82,20,0.04649,1.039,0.04257,-0.00391
0.02,False,down,ALL,3,spy,2017-2026,161,26,0.08846,1.247,0.1058,0.01734
0.02,False,down,ALL,6,sector,all,243,46,0.10561,1.128,0.12208,0.01647
0.02,False,down,ALL,6,sector,2009-2016,82,20,0.09366,1.277,0.08903,-0.00463
0.02,False,down,ALL,6,sector,2017-2026,161,26,0.1117,0.821,0.13891,0.02721
0.02,False,down,ALL,6,spy,all,243,46,0.10561,1.128,0.11657,0.01096
0.02,False,down,ALL,6,spy,2009-2016,82,20,0.09366,1.277,0.1076,0.01394
0.02,False,down,ALL,6,spy,2017-2026,161,26,0.1117,0.821,0.12114,0.00944
0.02,False,down,ALL,12,sector,all,238,45,0.02624,0.336,0.07667,0.05043
0.02,False,down,ALL,12,sector,2009-2016,82,20,0.21308,2.508,0.20964,-0.00344
0.02,False,down,ALL,12,sector,2017-2026,156,25,-0.07197,-0.762,0.00678,0.07875
0.02,False,down,ALL,12,spy,all,238,45,0.02624,0.336,0.05802,0.03178
0.02,False,down,ALL,12,spy,2009-2016,82,20,0.21308,2.508,0.23781,0.02473
0.02,False,down,ALL,12,spy,2017-2026,156,25,-0.07197,-0.762,-0.03648,0.03549
0.02,False,down,revenue,3,sector,all,65,18,0.06283,0.811,0.05402,-0.00881
0.02,False,down,revenue,3,sector,2009-2016,28,10,0.03555,0.663,0.02201,-0.01354
0.02,False,down,revenue,3,sector,2017-2026,37,8,0.08347,0.639,0.07824,-0.00523
0.02,False,down,revenue,3,spy,all,65,18,0.06283,0.811,0.05555,-0.00728
0.02,False,down,revenue,3,spy,2009-2016,28,10,0.03555,0.663,0.00566,-0.02989
0.02,False,down,revenue,3,spy,2017-2026,37,8,0.08347,0.639,0.0933,0.00983
0.02,False,down,revenue,6,sector,all,65,18,0.12715,0.86,0.14262,0.01548
0.02,False,down,revenue,6,sector,2009-2016,28,10,0.07255,1.037,0.06346,-0.00909
0.02,False,down,revenue,6,sector,2017-2026,37,8,0.16846,0.659,0.20253,0.03406
0.02,False,down,revenue,6,spy,all,65,18,0.12715,0.86,0.14349,0.01634
0.02,False,down,revenue,6,spy,2009-2016,28,10,0.07255,1.037,0.05109,-0.02146
0.02,False,down,revenue,6,spy,2017-2026,37,8,0.16846,0.659,0.21342,0.04495
0.02,False,down,revenue,12,sector,all,65,18,-0.02098,-0.182,0.0341,0.05509
0.02,False,down,revenue,12,sector,2009-2016,28,10,0.13002,1.686,0.12887,-0.00116
0.02,False,down,revenue,12,sector,2017-2026,37,8,-0.13526,-0.86,-0.03761,0.09765
0.02,False,down,revenue,12,spy,all,65,18,-0.02098,-0.182,0.02635,0.04734
0.02,False,down,revenue,12,spy,2009-2016,28,10,0.13002,1.686,0.12809,-0.00193
0.02,False,down,revenue,12,spy,2017-2026,37,8,-0.13526,-0.86,-0.05064,0.08462
0.02,False,down,net_income,3,sector,all,139,30,0.08542,1.64,0.09784,0.01241
0.02,False,down,net_income,3,sector,2009-2016,48,11,0.00229,0.054,-0.00509,-0.00737
0.02,False,down,net_income,3,sector,2017-2026,91,19,0.12927,1.807,0.15212,0.02285
0.02,False,down,net_income,3,spy,all,139,30,0.08542,1.64,0.10175,0.01633
0.02,False,down,net_income,3,spy,2009-2016,48,11,0.00229,0.054,0.01331,0.01102
0.02,False,down,net_income,3,spy,2017-2026,91,19,0.12927,1.807,0.1484,0.01913
0.02,False,down,net_income,6,sector,all,139,30,0.12071,1.307,0.13255,0.01184
0.02,False,down,net_income,6,sector,2009-2016,48,11,0.02788,0.403,0.02173,-0.00615
0.02,False,down,net_income,6,sector,2017-2026,91,19,0.16968,1.277,0.191,0.02133
0.02,False,down,net_income,6,spy,all,139,30,0.12071,1.307,0.12937,0.00866
0.02,False,down,net_income,6,spy,2009-2016,48,11,0.02788,0.403,0.06104,0.03316
0.02,False,down,net_income,6,spy,2017-2026,91,19,0.16968,1.277,0.16542,-0.00426
0.02,False,down,net_income,12,sector,all,138,29,0.0739,1.121,0.10535,0.03145
0.02,False,down,net_income,12,sector,2009-2016,48,11,0.16676,1.681,0.15289,-0.01387
0.02,False,down,net_income,12,sector,2017-2026,90,18,0.02437,0.301,0.07999,0.05563
0.02,False,down,net_income,12,spy,all,138,29,0.0739,1.121,0.09962,0.02573
0.02,False,down,net_income,12,spy,2009-2016,48,11,0.16676,1.681,0.20335,0.03659
