total_return,max_drawdown,sharpe_ratio,n_orders,n_trades,final_value,win_rate,n_break,rr_min,sec,n_entry_signals
2.487699858785114,-0.20330076847243816,1.1111011941877122,1440,734,3487699.858785114,0.3188010899182561,90,3.0,0.23124839994125068,25626
1.2811227170244677,-0.21106643467833852,0.7448013402357653,1023,521,2281122.717024468,0.29366602687140114,120,3.0,0.2567024000454694,30502
0.0,0.0,inf,0,0,1000000.0,,5,3.5,0.21524110005702823,0
0.0,0.0,inf,0,0,1000000.0,,10,3.5,0.21565599995665252,0
-0.0060747960660365065,-0.1097488721260409,-0.005924967611588483,82,41,993925.2039339636,0.1951219512195122,15,3.5,0.22875210002530366,44
0.8092241875961643,-0.1373288437786092,0.858591076976468,512,258,1809224.1875961642,0.29069767441860467,20,3.5,0.24772500002291054,329
1.3023908878563624,-0.15613351429348832,0.9564916910963666,1023,516,2302390.8878563624,0.27906976744186046,25,3.5,0.23024659999646246,948
1.7693669551169915,-0.19573368544316216,1.0362499438140387,1336,675,2769366.9551169914,0.2785185185185185,30,3.5,0.22085800010245293,1839
2.3475013484211718,-0.18781230523120385,1.1160283273465588,1524,771,3347501.348421172,0.29442282749675747,40,3.5,0.21704720007255673,4318
3.162488206120753,-0.2184440636031314,1.314374778705684,2017,1020,4162488.206120753,0.28627450980392155,50,3.5,0.2367398999631405,6928
2.7680450094277202,-0.18522775281497317,1.1616658645036289,1518,771,3768045.00942772,0.3035019455252918,60,3.5,0.2544765999773517,9670
3.524841402720122,-0.1935095932777643,1.3211876367992699,1624,827,4524841.402720122,0.31076178960096734,75,3.5,0.2430923000210896,13340
3.004479957359602,-0.21215224718954617,1.2199659415402029,1569,798,4004479.957359602,0.2907268170426065,90,3.5,0.23818250000476837,16586
1.79485047365242,-0.28604990897674254,0.9326821049896363,1172,595,2794850.47365242,0.2689075630252101,120,3.5,0.2726734000025317,21340
0.0,0.0,inf,0,0,1000000.0,,5,4.0,0.23364999995101243,0
0.0,0.0,inf,0,0,1000000.0,,10,4.0,0.2358188999351114,0
0.02908327226690401,-0.06634014005816513,0.22717298147591705,26,13,1029083.272266904,0.23076923076923078,15,4.0,0.23707809997722507,13
0.27261986472915756,-0.121698678825792,0.5534637633305663,200,100,1272619.8647291576,0.26,20,4.0,0.22979920008219779,111
1.109129467323923,-0.1362928447676034,1.0735311439653958,604,303,2109129.467323923,0.2706270627062706,25,4.0,0.22611729998607188,383
1.4508762529998087,-0.15813419232013692,1.1509211680039702,900,453,2450876.2529998086,0.26048565121412803,30,4.0,0.24580570007674396,778
2.6289475243697273,-0.19633598887445558,1.3258675113841962,1435,726,3628947.5243697274,0.2796143250688705,40,4.0,0.25257030001375824,2110
2.01268395857189,-0.20655028956705823,1.0401996916604412,1431,723,3012683.95857189,0.2627939142461964,50,4.0,0.24736529996152967,3738
2.76782236270799,-0.20477757805846641,1.2220625049320517,1535,777,3767822.36270799,0.26898326898326896,60,4.0,0.5926133000757545,5476
2.124229971361335,-0.27144398668254055,1.0050990864992682,1197,608,3124229.971361335,0.2730263157894737,75,4.0,0.23652330006007105,8069
2.6080847905391993,-0.19440106475581875,1.1367708883826657,1258,639,3608084.7905391995,0.28012519561815336,90,4.0,0.22655839996878058,10502
