日期,舊來源(yfinance),新來源(Cboe),絕對差,相對差
2018-04-16,17.81999969482422,17.82,3.051757815342171e-07,1.712546502584143e-08
2018-04-17,16.799999237060547,16.8,7.629394538355427e-07,4.5413064790652474e-08
2018-04-18,16.799999237060547,16.8,7.629394538355427e-07,4.5413064790652474e-08
2018-04-19,17.1200008392334,17.12,8.392333974427402e-07,4.902063997096857e-08
2018-04-20,17.719999313354492,17.72,6.866455066756316e-07,3.874974792793295e-08
2018-04-23,17.350000381469727,17.35,3.8146972514141453e-07,2.198672719044056e-08
2018-04-24,18.229999542236328,18.23,4.5776367230132564e-07,2.5110459890070323e-08
2018-04-25,18.229999542236328,18.23,4.5776367230132564e-07,2.5110459890070323e-08
2018-04-26,17.290000915527344,17.29,9.155273446026513e-07,5.295126062026167e-08
2018-04-27,17.079999923706055,17.08,7.629394360719743e-08,4.466858544964385e-09
2018-04-30,17.34000015258789,17.34,1.5258789076710855e-07,8.799762942581966e-09
2018-05-01,16.90999984741211,16.91,1.5258789076710855e-07,9.023529990774095e-09
2018-05-02,17.260000228881836,17.26,2.2888183437430598e-07,1.3260824527181003e-08
2018-05-03,17.030000686645508,17.03,6.866455066756316e-07,4.031975801469471e-08
2018-05-04,16.649999618530273,16.65,3.8146972514141453e-07,2.291109512800623e-08
2018-05-07,16.649999618530273,16.65,3.8146972514141453e-07,2.291109512800623e-08
2018-05-08,16.479999542236328,16.48,4.5776367230132564e-07,2.7776922634501925e-08
2018-05-09,15.779999732971191,15.78,2.6702880795426154e-07,1.692197797673746e-08
2018-05-10,15.239999771118164,15.24,2.2888183615066282e-07,1.501849341129417e-08
2018-05-11,14.819999694824219,14.82,3.051757815342171e-07,2.0592158422297243e-08
2018-05-14,14.529999732971191,14.53,2.6702880795426154e-07,1.8377757251318113e-08
2018-05-15,15.789999961853027,15.79,3.814697180359872e-08,2.4158943569194284e-09
2018-05-16,15.140000343322754,15.14,3.433227533378158e-07,2.2676535373345126e-08
2018-05-17,15.020000457763672,15.02,4.5776367230132564e-07,3.04769413016038e-08
2018-05-18,15.1899995803833,15.19,4.196166987213701e-07,2.762453655780691e-08
2018-05-21,14.6899995803833,14.69,4.196166987213701e-07,2.8564786297320042e-08
2018-05-22,14.880000114440918,14.88,1.1444091718715299e-07,7.690921794825056e-09
2018-05-23,14.479999542236328,14.48,4.5776367230132564e-07,3.161351427989254e-08
2018-05-24,14.430000305175781,14.43,3.051757815342171e-07,2.1148702361756433e-08
2018-05-25,14.829999923706055,14.83,7.629394538355427e-08,5.1445681575221625e-09
2018-05-29,17.1299991607666,17.13,8.392333974427402e-07,4.899202793686435e-08
2018-05-30,16.0,16.0,0.0,0.0
2018-05-31,16.329999923706055,16.33,7.629394360719743e-08,4.672011265379278e-09
2018-06-01,15.270000457763672,15.27,4.5776367230132564e-07,2.997797371175496e-08
2018-06-04,14.899999618530273,14.9,3.8146972691777137e-07,2.560199575061461e-08
2018-06-05,14.720000267028809,14.72,2.6702880795426154e-07,1.8140543689552565e-08
2018-06-06,14.1899995803833,14.19,4.196166987213701e-07,2.9571297472162108e-08
2018-06-07,14.430000305175781,14.43,3.051757815342171e-07,2.1148702361756433e-08
2018-06-08,14.600000381469727,14.6,3.8146972691777137e-07,2.6128062804842905e-08
2018-06-11,14.550000190734863,14.55,1.9073486257070726e-07,1.3108925090747645e-08
2018-06-12,14.59000015258789,14.59,1.5258789076710855e-07,1.0458388565543873e-08
2018-06-13,14.920000076293945,14.92,7.629394538355427e-08,5.1135351872267095e-09
2018-06-14,14.399999618530273,14.4,3.8146972691777137e-07,2.649095395994919e-08
2018-06-15,14.420000076293945,14.42,7.629394538355427e-08,5.290842231615468e-09
2018-06-18,14.479999542236328,14.48,4.5776367230132564e-07,3.161351427989254e-08
2018-06-19,15.170000076293945,15.17,7.629394538355427e-08,5.029264667096363e-09
2018-06-20,14.789999961853027,14.79,3.814697180359872e-08,2.5792408317774813e-09
2018-06-21,15.869999885559082,15.87,1.1444091718715299e-07,7.211147952892463e-09
2018-06-22,15.5,15.5,0.0,0.0
2018-06-25,17.520000457763672,17.52,4.5776367230132564e-07,2.6128062804842905e-08
2018-06-26,16.8700008392334,16.87,8.392333974427402e-07,4.974708688164335e-08
2018-06-27,18.049999237060547,18.05,7.629394538355427e-07,4.226811557249616e-08
2018-06-28,17.520000457763672,17.52,4.5776367230132564e-07,2.6128062804842905e-08
2018-06-29,17.139999389648438,17.14,6.103515630684342e-07,3.5609777409738475e-08
2018-07-02,16.950000762939453,16.95,7.629394538355427e-07,4.5011175191430165e-08
2018-07-03,17.350000381469727,17.35,3.8146972514141453e-07,2.198672719044056e-08
2018-07-05,16.530000686645508,16.53,6.866455066756316e-07,4.153935137040669e-08
2018-07-06,15.710000038146973,15.71,3.814697180359872e-08,2.428196798916e-09
2018-07-09,14.869999885559082,14.87,1.1444091718715299e-07,7.696094019361201e-09
2018-07-10,14.710000038146973,14.71,3.814697180359872e-08,2.593267960888742e-09
2018-07-11,15.380000114440918,15.38,1.1444091718715299e-07,7.440891829363491e-09
2018-07-12,14.760000228881836,14.76,2.2888183615066282e-07,1.550689922773816e-08
2018-07-13,14.539999961853027,14.54,3.814697180359872e-08,2.623588163939523e-09
2018-07-16,14.850000381469727,14.85,3.8146972691777137e-07,2.568819643895637e-08
2018-07-17,14.399999618530273,14.4,3.8146972691777137e-07,2.649095395994919e-08
2018-07-18,14.390000343322754,14.39,3.433227533378158e-07,2.3858425653000374e-08
2018-07-19,14.970000267028809,14.97,2.6702880795426154e-07,1.7837595403547742e-08
2018-07-20,15.079999923706055,15.08,7.629394538355427e-08,5.059280223444743e-09
2018-07-23,14.859999656677246,14.86,3.433227533378158e-07,2.3103819735523745e-08
2018-07-24,14.699999809265137,14.7,1.9073486257070726e-07,1.297516088745053e-08
2018-07-25,14.550000190734863,14.55,1.9073486257070726e-07,1.3108925090747645e-08
2018-07-26,14.399999618530273,14.4,3.8146972691777137e-07,2.649095395994919e-08
2018-07-27,15.0,15.0,0.0,0.0
2018-07-30,15.65999984741211,15.66,1.5258789076710855e-07,9.74379899450155e-09
2018-07-31,14.869999885559082,14.87,1.1444091718715299e-07,7.696094019361201e-09
2018-08-01,15.220000267028809,15.22,2.6702880795426154e-07,1.754459942636978e-08
