weight_quality,weight_value,weight_momentum,weight_low_vol,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak
0.0,0.15,0.65,0.2,monthly,-0.345810840087707,420,普通,19,19,-0.3453817941136069,-0.345359212746549,-0.00042904597410009515,,False
0.0,0.15,0.65,0.2,quarterly,-0.34530739611342065,141,普通,19,19,-0.3453817941136069,-0.34538570979782723,7.439800018627096e-05,,False
0.0,0.15,0.7,0.15,monthly,-0.34633488411606383,420,普通,19,19,-0.3459025664317686,-0.3458798128694372,-0.000432317684295247,,False
0.0,0.15,0.7,0.15,quarterly,-0.3458244157831042,141,普通,19,19,-0.3459025664317686,-0.34590667962380356,7.815064866439903e-05,,False
0.0,0.15,0.75,0.1,monthly,-0.346858491596139,420,普通,19,19,-0.3464223744230112,-0.34639942088758346,-0.0004361171731278035,,False
0.0,0.15,0.75,0.1,quarterly,-0.34633994482406305,141,普通,19,19,-0.3464223744230112,-0.3464267128229559,8.242959894816382e-05,,False
0.0,0.15,0.8,0.05,monthly,-0.3473816635033533,420,普通,19,19,-0.3469412217972579,-0.3469180406548318,-0.000440441706095418,,False
0.0,0.15,0.8,0.05,quarterly,-0.3468539896735052,141,普通,19,19,-0.3469412217972579,-0.34694581296166593,8.723212375266742e-05,,False
0.0,0.15,0.85,0.0,monthly,-0.34790440081022433,280,普通,13,13,-0.346836118476749,-0.34675394291263556,-0.0010682823334753344,,False
0.0,0.15,0.85,0.0,quarterly,-0.3473665567316264,94,普通,13,13,-0.346836118476749,-0.3467953155340661,-0.0005304382548774189,,False
0.0,0.2,0.0,0.8,monthly,-0.3425668730491451,280,普通,13,13,-0.3416997995957329,-0.3416331016377781,-0.0008670734534122482,,False
0.0,0.2,0.0,0.8,quarterly,-0.3419280427916489,94,普通,13,13,-0.3416997995957329,-0.3416822424268163,-0.0002282431959160225,,False
0.0,0.2,0.05,0.75,monthly,-0.3430055038648625,420,普通,19,19,-0.3425014683244109,-0.3424749401380714,-0.0005040355404515862,,False
0.0,0.2,0.05,0.75,quarterly,-0.34237036967412515,141,普通,19,19,-0.3425014683244109,-0.34250836825337333,0.00013109865028576584,,False
