lookback_months,mode,cadence,層,annual_excess:SPY,舊裁決,新裁決,變了,舊鄰域格數,舊鄰域平均,舊落差,新鄰域格數,新鄰域平均,新落差,換層最差鄰域平均,換層代價,成交筆數
14,rank,quarterly,mode=rank、cadence=quarterly,-0.0040365411946583,普通,普通,,11,0.005905487988732721,-0.009942029183391021,2,-0.0034729713084214,-0.0005635698862369001,-0.000294637199910019,-0.003178334108511381,188
3,rank,quarterly,mode=rank、cadence=quarterly,-0.0042057579587051,普通,普通,,11,0.002552977371183667,-0.006758735329888767,2,-0.0049876532469985664,0.0007818952882934667,-0.0027796221303469,-0.0022080311166516662,188
13,rank,quarterly,mode=rank、cadence=quarterly,-0.0042168976126863,普通,普通,,11,0.0033052506444459437,-0.007522148257132244,2,-0.004793976523085701,0.0005770789103994008,-0.0005285419190219259,-0.004265434604063775,188
9,rank,quarterly,mode=rank、cadence=quarterly,-0.0044371171794792,普通,普通,,11,0.0060764099201758995,-0.010513527099655098,2,-0.003630401112074633,-0.0008067160674045666,0.0004224929602189341,-0.004052894072293567,188
4,rank,quarterly,mode=rank、cadence=quarterly,-0.0049586761248689,普通,普通,,11,0.008819595945477399,-0.0137782720703463,2,-0.004220490140866833,-0.000738185984002067,-0.00015853965938233332,-0.0040619504814845,188
2,rank,quarterly,mode=rank、cadence=quarterly,-0.0057985256574217,普通,普通,,11,-0.0070341688063242916,0.0012356431489025915,2,-0.008356039416437033,0.002557513759015333,-0.0172610937499513,0.008905054333514267,188
8,rank,quarterly,mode=rank、cadence=quarterly,-0.0061041760801181,普通,普通,,11,0.0038672278506148,-0.0099714039307329,2,-0.006301021287372533,0.0001968452072544334,-0.001497255616271666,-0.004803765671100867,188
12,rank,quarterly,mode=rank、cadence=quarterly,-0.0061284907619125,普通,普通,,11,0.0018777241492173354,-0.008006214911129836,2,-0.004565705089419301,-0.0015627856724931997,-0.0017092679255197333,-0.0028564371638995674,188
1,rank,monthly,mode=rank、cadence=monthly,-0.0062793531261444,普通,普通,,7,-0.01533652881384205,0.00905717568769765,1,-0.00792751527013865,0.0016481621439942504,-0.03295459929681025,0.0250270840266716,560
6,rank,quarterly,mode=rank、cadence=quarterly,-0.0073881583350161,普通,普通,,11,0.0013107902139066,-0.0086989485489227,2,-0.006415655092187633,-0.000972503242828467,-0.004067543810427967,-0.002348111281759666,188
7,rank,quarterly,mode=rank、cadence=quarterly,-0.0083617706025203,普通,普通,,11,0.0009044382929715502,-0.00926620889549185,2,-0.007284701672551501,-0.0010770689299687995,-0.007284126852640267,-5.748199112341063e-07,188
2,winner,monthly,mode=winner、cadence=monthly,-0.0084715778045851,普通,普通,,11,-0.0070341688063242916,-0.0014374089982608076,2,0.0024250006593987,-0.0108965784639838,-0.0172610937499513,0.01968609440935,170
2,rank,monthly,mode=rank、cadence=monthly,-0.0095756774141329,普通,普通,,11,-0.0070341688063242916,-0.0025415086078086077,2,-0.004944542718307533,-0.004631134695825366,-0.0172610937499513,0.012316551031643768,560
7,winner,quarterly,mode=winner、cadence=quarterly,-0.011155201710401,普通,普通,,11,0.0009044382929715502,-0.01205964000337255,2,-0.007284126852640267,-0.0038710748577607335,-0.007284701672551501,5.748199112341063e-07,60
1,winner,monthly,mode=winner、cadence=monthly,-0.0115940632816475,普通,普通,,7,-0.01533652881384205,0.0037424655321945492,1,-0.0100328205431163,-0.0015612427385312006,-0.03295459929681025,0.02292177875369395,236
2,winner,quarterly,mode=winner、cadence=quarterly,-0.0146292906487592,普通,普通,,11,-0.0070341688063242916,-0.007595121842434909,2,-0.0172610937499513,0.0026318031011921,-0.008356039416437033,-0.008905054333514267,80
1,rank,quarterly,mode=rank、cadence=quarterly,-0.0150638346331843,普通,普通,,7,-0.01533652881384205,0.0002726941806577496,1,-0.010431180145303,-0.0046326544878812995,-0.03295459929681025,0.02252341915150725,188
6,winner,quarterly,mode=winner、cadence=quarterly,-0.016995338626049,普通,普通,,11,0.0013107902139066,-0.0183061288399556,2,-0.004067543810427967,-0.012927794815621032,-0.006415655092187633,0.002348111281759666,60
1,winner,quarterly,mode=winner、cadence=quarterly,-0.0512799079448613,普通,普通,,7,-0.01533652881384205,-0.03594337913101925,1,-0.03295459929681025,-0.01832530864805105,-0.010431180145303,-0.02252341915150725,86
