date,Open,High,Low,Close
2022-09-16,148.3123396197,148.4496561735,145.5267517237,147.8121032715
2022-09-19,146.4487144921,151.5981067877,146.2427471815,151.5196380615
2022-09-20,150.4603215688,155.0506444293,150.1464616537,153.8932495117
2022-09-21,154.3248396918,155.6980200241,150.6565200858,150.7742156982
2022-09-22,149.4599017280,151.5098468472,148.0180705760,149.8130035400
2022-09-23,148.2927019345,148.5673350111,145.7130966440,147.5472564697
2022-09-26,146.7920383808,150.8232782083,146.7724174543,147.8807678223
2022-09-27,149.8130222475,151.7550749731,147.0764791207,148.8517913818
2022-09-28,144.8107141225,147.7532239041,142.0643686663,146.9685516357
2022-09-29,143.3002578080,143.9083718150,137.9841093544,139.7496185303
2022-09-30,138.5725679290,140.3576973935,135.3554256755,135.5515899658
2022-10-03,135.5614167052,140.3282826043,135.0513775441,139.7201538086
2022-10-04,142.2507295973,143.4179275353,141.4954812317,143.3002319336
2022-10-05,141.3091311365,144.5556977728,140.2694318056,143.5944671631
2022-10-06,143.0157891214,144.7126323303,142.4370990915,142.6430664062
2022-10-07,139.8084421811,140.3577232481,136.7776606834,137.4053955078
2022-10-10,137.7290954590,139.1709266874,135.9145564405,137.7290954590
2022-10-11,137.2190335200,138.6412585544,135.5712352258,136.3166656494
2022-10-12,136.4638036366,137.6702284878,135.5123909186,135.6889343262
2022-10-13,132.4031536839,140.8383404619,131.7950247428,140.2498474121
2022-10-14,141.5445181488,141.7505004067,135.5418033363,135.7281646729
2022-10-17,138.3666515468,140.1615696813,137.5819791306,139.6809692383
2022-10-18,142.7019463940,143.8887504990,137.9154581893,140.9952850342
2022-10-19,138.9747508839,142.1722730567,138.7883895211,141.1031646729
2022-10-20,140.2792613677,143.0942577539,139.9163416314,140.6421661377
2022-10-21,140.1321247821,145.0167019838,139.9163395258,144.4478149414
2022-10-24,144.3693286637,147.3510650764,143.2021308192,146.5860137939
2022-10-25,147.2137417287,149.5677582292,146.4977352984,149.4206237793
2022-10-26,148.0671084330,149.0773689931,145.2030522221,146.4879608154
2022-10-27,145.2325176498,146.1937335595,141.3680181171,142.0251770020
2022-10-28,145.3599915475,154.4817755747,144.9872837899,152.7555084229
2022-10-31,150.2249458436,151.2842512282,149.0087030021,150.4014892578
2022-11-01,152.1081607280,152.4710655261,146.2721852222,147.7630462646
2022-11-02,146.0956101390,149.2539052221,142.2213085209,142.2507324219
2022-11-03,139.3376663530,140.0634909361,136.0910991041,136.2186126709
2022-11-04,139.5982707432,140.1681015175,132.0234836201,135.9533386230
2022-11-07,134.7055992924,136.7098186560,133.2908491575,136.4838562012
2022-11-08,137.9477413058,138.9498435558,135.0789489013,137.0536956787
2022-11-09,136.0712153970,136.1203415777,132.2297789313,132.5048675537
2022-11-10,138.7631733572,144.2944335938,137.0536811843,144.2944335938
2022-11-11,143.2628648561,147.3793751931,141.8382804890,147.0748138428
2022-11-14,146.3576050477,147.6446299770,144.8446026946,145.6797027588
2022-11-15,149.5506380931,150.8966086772,145.9548170531,147.4088592529
2022-11-16,146.5148199334,147.2418334947,144.7070752883,146.1807708740
2022-11-17,143.8621866601,148.8236325250,143.5870979579,148.0769653320
2022-11-18,149.6390342220,150.0221944410,147.3400729082,148.6369171143
2022-11-21,147.5267498778,147.7330588556,145.1295360985,145.4144439697
2022-11-22,145.5323933404,147.7822292458,144.3534245780,147.5464324951
2022-11-23,146.8292355956,149.1675046139,146.7211639605,148.4208374023
2022-11-25,145.7092003284,146.2692118769,144.5400660355,145.5127105713
2022-11-28,142.5947827863,144.0684783566,140.8656520473,141.6909179688
2022-11-29,141.7596788806,142.2705641957,137.8887845443,138.6943969727
2022-11-30,138.9203437218,146.1119842976,138.0852586765,145.4340820312
2022-12-01,145.6109606167,146.5148254779,144.0390126026,145.7091979980
2022-12-02,143.4004076996,145.4046270438,143.0958313612,145.2179565430
2022-12-05,145.1786935401,148.2734488039,143.2137657558,144.0586853027
2022-12-06,144.4909844096,144.7169469269,139.4312859292,140.4039306641
2022-12-07,139.6965553133,140.8558556106,137.5449568047,138.4684753418
2022-12-08,139.8635448576,141.0032064447,138.6256458869,140.1484527588
2022-12-09,139.8438895056,143.0172582782,138.4291392774,139.6670532227
2022-12-12,140.1975735167,141.9660112572,138.5863335733,141.9561920166
2022-12-13,146.8783341560,147.3400933289,141.7105801036,142.9190063477
2022-12-14,142.8011262085,144.0881514499,138.6846002895,140.6986541748
2022-12-15,138.6354509027,139.3133532426,133.6445335943,134.1062927246
2022-12-16,134.2929782040,135.2361350498,131.3848787819,132.1511993408
2022-12-19,132.7406618008,132.8290799297,129.0171312350,130.0487060547
2022-12-20,129.0859043901,130.9132874639,127.6122088464,129.9799499512
2022-12-21,130.6480054784,134.4108428696,130.4220430477,133.0746917725
2022-12-22,131.9940274543,132.2003364728,128.0150457668,129.9111938477
2022-12-23,128.6241652993,130.0978610726,127.3666127720,129.5476837158
2022-12-27,129.0761187076,129.1055914268,126.4627609995,127.7497863770
2022-12-28,127.3960677494,128.7322189975,123.6627101407,123.8297271729
2022-12-29,125.7455412406,128.1918740345,125.4901060462,127.3371353149
2022-12-30,126.1581704492,127.6711579886,125.1953527012,127.6515045166
2023-01-03,127.9953826284,128.6045053871,121.9925282125,122.8767471313
2023-01-04,124.6648161862,126.4037811033,122.8865593179,124.1441116333
2023-01-05,124.9006129276,125.5293891233,122.5721786543,122.8276138306
2023-01-06,123.8002520512,128.0051879623,122.6998900167,127.3469390869
2023-01-09,128.1820408452,131.0704865377,127.6122100971,127.8676452637
2023-01-10,127.9757559768,128.9582199825,125.8732836044,128.4375152588
2023-01-11,128.9483543907,131.1687168485,128.1722147014,131.1490783691
2023-01-12,131.5322547783,131.9055808181,129.1350407726,131.0704956055
2023-01-13,129.7146830657,132.5540026018,129.3511762884,132.3968048096
2023-01-17,132.4655864865,134.8824388667,131.7778648738,133.5561218262
