lookback_months,mode,cadence,value,trades,verdict,neighbours,valid_neighbours,neighbourhood_mean,neighbour_mean,lift,peak_over_neighbourhood,is_local_peak,layer,siblings,weakest_sibling_mean,layer_drop
12,winner,quarterly,-0.0031443016830303705,48,普通,2,2,-0.0017092679255198047,-0.0009917510467645219,-0.0014350337575105658,,False,mode=winner、cadence=quarterly,3,-0.004565705089419374,0.002856437163899569
12,rank,monthly,-0.0007857081823765544,560,普通,2,2,0.000130349455439438,0.0005883782743474342,-0.0009160576378159924,-6.027705905849406,False,mode=rank、cadence=monthly,3,-0.004565705089419374,0.004696054544858812
12,rank,quarterly,-0.006128490761912575,188,普通,2,2,-0.004565705089419374,-0.0037843122531727724,-0.0015627856724932014,,False,mode=rank、cadence=quarterly,3,-0.0017092679255198047,-0.002856437163899569
13,winner,monthly,0.014964961766742668,92,普通,2,2,0.01626005125355438,0.016907595996960234,-0.0012950894868117117,0.9203514511352717,False,mode=winner、cadence=monthly,3,-0.0047939765230857745,0.021054027776640154
13,winner,quarterly,-0.001144652200665286,48,普通,2,2,0.0022834697663370505,0.003997530749838218,-0.0034281219670023364,-0.5012775809602421,False,mode=winner、cadence=quarterly,3,-0.0047939765230857745,0.007077446289422825
13,rank,monthly,-2.2940426563478056e-05,560,普通,2,2,-0.0005285419190219631,-0.0007813426652512057,0.0005056014924584851,,True,mode=rank、cadence=monthly,3,-0.0047939765230857745,0.004265434604063811
13,rank,quarterly,-0.004216897612686399,188,普通,2,2,-0.0047939765230857745,-0.005082515978285462,0.0005770789103993756,,False,mode=rank、cadence=quarterly,3,-0.0005285419190219631,-0.004265434604063811
14,winner,monthly,0.014914061248671784,98,普通,2,2,0.018529390902516374,0.02033705572943867,-0.00361532965384459,0.8048867513851407,False,mode=winner、cadence=monthly,3,-0.003472971308421465,0.022002362210937838
14,winner,quarterly,0.011139363182706807,46,普通,2,2,0.008860169560745979,0.007720572749765564,0.002279193621960829,1.2572404067816658,False,mode=winner、cadence=quarterly,3,-0.003472971308421465,0.012333140869167444
14,rank,monthly,-0.0007769771481258569,560,普通,2,2,-0.00029463719991003795,-5.346722580212848e-05,-0.000482339948215819,,False,mode=rank、cadence=monthly,3,-0.003472971308421465,0.003178334108511427
14,rank,quarterly,-0.00403654119465835,188,普通,2,2,-0.003472971308421465,-0.0031911863653030226,-0.0005635698862368845,,False,mode=rank、cadence=quarterly,3,-0.00029463719991003795,-0.003178334108511427
15,winner,monthly,0.02570914969213467,104,孤峰,1,1,0.020311605470403227,0.014914061248671784,0.005397544221731443,1.2657369566180476,True,mode=winner、cadence=monthly,3,-0.003101008156288998,0.023412613626692225
15,winner,quarterly,0.016585797700196414,50,普通,1,1,0.01386258044145161,0.011139363182706807,0.0027232172587448034,1.1964437479909509,True,mode=winner、cadence=quarterly,3,-0.003101008156288998,0.01696358859774061
15,rank,monthly,-8.399402504077891e-05,560,普通,1,1,-0.0004304855865833179,-0.0007769771481258569,0.000346491561542539,,True,mode=rank、cadence=monthly,3,-0.003101008156288998,0.00267052256970568
15,rank,quarterly,-0.0021654751179196463,188,普通,1,1,-0.003101008156288998,-0.00403654119465835,0.0009355330383693516,,True,mode=rank、cadence=quarterly,3,-0.0004304855865833179,-0.00267052256970568
