lookback_months,mode,cadence,total_return,annual_return,max_drawdown,win_rate,profit_loss_ratio,sortino,average_holding_days,turnover,annual_excess_QQQ,annual_excess_SPY,run_id,trades,closed_trades,trading_days,start,end,reused,seconds
8,winner,quarterly,3.8134919516965384,0.1448176935972849,-0.34056724459487464,0.7058823529411765,1.8665613928757163,0.780775958878639,199.14705882352942,1.3235222045142487,-0.04485197334965596,0.006298008715165171,run-727c914aeea83c65,52,34,2929,2015-01-02,2026-08-26,False,0.2364
8,rank,monthly,3.4454576550796183,0.13700743191983555,-0.345537956344553,0.8193916349809885,1.6259996825463507,0.7924073225468394,274.1825095057034,0.9290772186315166,-0.05266223502710532,-0.0015122529622841885,run-46f8df31c3a6d6e2,560,526,2929,2015-01-02,2026-08-26,False,0.28
8,rank,quarterly,3.2412706847398534,0.13241549300239996,-0.3521920142539374,0.8452380952380952,2.3004144548015413,0.7529119337488684,444.23809523809524,0.5424431891342973,-0.05725417394454091,-0.006104191879719778,run-1898f99c7a781dde,188,168,2929,2015-01-02,2026-08-26,False,0.1983
9,winner,monthly,4.9725868693007635,0.16627473809333249,-0.3408229096214356,0.5972222222222222,2.577748562342861,0.9541737556662052,155.09722222222223,1.8175134779072277,-0.023394928853608388,0.027755053211212743,run-478767376aa13eaa,96,72,2929,2015-01-02,2026-08-26,False,0.4551
9,winner,quarterly,3.5685984499597687,0.1396843940710355,-0.34056724459487475,0.7272727272727273,1.539397513632009,0.7446833954390163,210.9090909090909,1.244296966155624,-0.04998527287590537,0.001164709188915758,run-250be5e4a8b0a523,50,33,2929,2015-01-02,2026-08-26,False,0.2012
9,rank,monthly,3.513947929063222,0.13850458671574928,-0.34349739162950044,0.8361904761904762,1.5955012434077074,0.8048093988003352,288.39428571428573,0.8665350409019509,-0.051165080231191595,-1.5098166370464128e-05,run-1c91c3425f58db4f,560,525,2929,2015-01-02,2026-08-26,False,0.3944
9,rank,quarterly,3.3143866442776195,0.13408256407666053,-0.35219201722980886,0.8493975903614458,2.480925627518293,0.7614869697662623,482.12048192771084,0.49227099733074925,-0.05558710287028035,-0.004437120805459216,run-849c6beac80de3fd,188,166,2929,2015-01-02,2026-08-26,False,0.2982
10,winner,monthly,4.150827425926922,0.15151103028547674,-0.3408229096214356,0.6029411764705882,3.0951837664315143,0.8362097049087155,166.38235294117646,1.5110944512626354,-0.03815863666146413,0.012991345403357002,run-4a04eb86d65425ba,88,68,2929,2015-01-02,2026-08-26,False,0.5532
10,winner,quarterly,3.5685984499597687,0.1396843940710355,-0.34056724459487475,0.7272727272727273,1.539397513632009,0.7446833954390163,210.9090909090909,1.244296966155624,-0.04998527287590537,0.001164709188915758,run-2d4b7b6061994324,50,33,2929,2015-01-02,2026-08-26,False,0.2067
10,rank,monthly,3.6451020409656696,0.1413144863033846,-0.34234665425955924,0.8400770712909441,2.8621358912445123,0.8267858978336472,330.90558766859345,0.6786569715896156,-0.04835518064355626,0.0027948014212648697,run-d0c162576fecd824,560,519,2929,2015-01-02,2026-08-26,False,0.6672
10,rank,quarterly,3.498547997370693,0.13816977201581726,-0.3419877201072511,0.891566265060241,4.796335658124,0.8013290615180201,536.855421686747,0.44284919757002517,-0.05149989493112361,-0.000349912866302482,run-678314451cbda623,188,166,2929,2015-01-02,2026-08-26,False,0.5984
11,winner,monthly,3.852842275932465,0.14562017850517917,-0.3408229096214357,0.6,6.183168798841158,0.7900195606304884,174.35384615384615,1.2452306209507742,-0.04404948844176171,0.007100493623059423,run-f1856a70925ef73c,82,65,2929,2015-01-02,2026-08-26,False,0.3341
11,winner,quarterly,3.4761381840336245,0.13768067720825705,-0.34056724459487475,0.7272727272727273,1.527450298504772,0.7301567707449944,210.9090909090909,1.2473832751486407,-0.05198898973868382,-0.0008390076738626906,run-2a453ab2e886eee8,50,33,2929,2015-01-02,2026-08-26,False,0.2374
11,rank,monthly,3.5702276107623723,0.13971936637741056,-0.3423466542595499,0.8366141732283464,2.2723695996952116,0.8123250258132424,324.2716535433071,0.6484066084522068,-0.049950300569530315,0.0011996814952908164,run-cb7daa07ebadd21a,560,508,2929,2015-01-02,2026-08-26,False,0.3795
11,rank,quarterly,3.3626069916191916,0.13516793304571784,-0.3419878759086038,0.8622754491017964,2.838036797901777,0.7726751372564784,519.0,0.45244619083364956,-0.05450173390122304,-0.003351751836401906,run-f9f834387785ff1f,188,167,2929,2015-01-02,2026-08-26,False,0.3807
12,winner,monthly,4.4664749512530575,0.15742059910603468,-0.3408229096214356,0.5942028985507246,10.272150212753909,0.8859335646395236,144.18840579710144,1.467121597982316,-0.0322490678409062,0.018900914223914933,run-53529aaccfdf30d2,90,69,2929,2015-01-02,2026-08-26,False,0.2885
12,winner,quarterly,3.3718750313319577,0.13537528595534187,-0.34056724459487475,0.75,1.779660952894942,0.7201319400057345,217.5,1.1533327208611628,-0.054294380991599,-0.0031443989267778694,run-cf187904c40eb2ee,48,32,2929,2015-01-02,2026-08-26,False,0.3222
12,rank,monthly,3.4785747967109275,0.13773396464824716,-0.3423466542123389,0.8524904214559387,1.7454189012470342,0.7956701671904441,354.764367816092,0.699688797968989,-0.05193570229869371,-0.0007857202338725777,run-58bb17bc69c48483,560,522,2929,2015-01-02,2026-08-26,False,0.3974
12,rank,quarterly,3.2402132209486965,0.1323911903166175,-0.3419877201072511,0.8614457831325302,3.0257164417408786,0.7506253414395022,534.1867469879518,0.44291015315356314,-0.05727847663032337,-0.0061284945655022405,run-c3bf2a1f47883ac0,188,166,2929,2015-01-02,2026-08-26,False,0.3404
13,winner,monthly,4.254340526340286,0.15348463432247916,-0.337616130827589,0.625,4.653758020375629,0.8512728539063705,171.29166666666666,1.4243479207757634,-0.03618503262446171,0.01496494944035942,run-3d79623310a08660,92,72,2929,2015-01-02,2026-08-26,False,0.3902
13,winner,quarterly,3.4621816106584618,0.13737494249484938,-0.34056724459487475,0.75,1.7954463011618627,0.7347762936018589,217.5,1.1499973729449706,-0.05229472445209149,-0.0011447423872703588,run-1b385b7fa35b46b0,48,32,2929,2015-01-02,2026-08-26,False,0.2911
13,rank,monthly,3.5135860100481224,0.13849673010888752,-0.3430549114504101,0.8537549407114624,2.2117558931640073,0.7996508639832928,386.9624505928854,0.6463465627608944,-0.05117293683805335,-2.295477323221995e-05,run-30ff1f6bb9e29a94,560,506,2929,2015-01-02,2026-08-26,False,0.3502
13,rank,quarterly,3.3241305034809585,0.1343027747085237,-0.3419877201072511,0.8922155688622755,4.6938981508464535,0.7664242385367775,565.6287425149701,0.4102779880945875,-0.055366892238417176,-0.004216910173596045,run-a77797db7c74608c,188,167,2929,2015-01-02,2026-08-26,False,0.2584
14,winner,monthly,4.251643338659722,0.1534336617996348,-0.34082290962143547,0.7142857142857143,2.4633620320930425,0.8309143949130603,178.32467532467533,1.448006979350146,-0.03623600514730607,0.01491397691751506,run-a0f78decedbff4b5,98,77,2929,2015-01-02,2026-08-26,False,0.4952
14,winner,quarterly,4.055388146746998,0.14965897838679942,-0.34056724459487475,0.7419354838709677,1.419542917720802,0.801358792480254,224.51612903225808,0.9840506879046248,-0.04001068856014145,0.011139293504679681,run-d54027ec3d043721,46,31,2929,2015-01-02,2026-08-26,False,0.323
14,rank,monthly,3.4789759668010856,0.13774273548705618,-0.3434976133031161,0.8613861386138614,1.714772877244455,0.7905565644382283,330.9960396039604,0.6543558432763654,-0.051926931459884695,-0.0007769493950635642,run-6185b60e329cc11e,560,505,2929,2015-01-02,2026-08-26,False,0.3157
14,rank,quarterly,3.3321260497274316,0.13448313508260568,-0.341987720107251,0.9207317073170732,4.0982306978442375,0.7640330160127563,589.0914634146342,0.3741346803003782,-0.0551865318643352,-0.0040365497995140665,run-5be85936a408ae85,188,164,2929,2015-01-02,2026-08-26,False,0.3543
15,winner,monthly,4.851986323159196,0.16422896240194995,-0.33886647960354477,0.7317073170731707,3.7490627290859635,0.9236651600084832,181.71951219512195,1.5592891573578964,-0.025440704544990922,0.02570927751983021,run-e86a9f93ce402911,104,82,2929,2015-01-02,2026-08-26,False,0.614
15,winner,quarterly,4.34076057370963,0.15510530667123823,-0.33098895488361113,0.7714285714285715,2.5348336533960745,0.8634594553443581,233.14285714285714,0.926454719911408,-0.034564360275702644,0.016585621789118488,run-251f9797cc95620a,50,35,2929,2015-01-02,2026-08-26,False,0.427
15,rank,monthly,3.51077536207206,0.13843569642252396,-0.343226830285855,0.8538011695906432,1.7566312621974327,0.7976883329788899,370.05263157894734,0.6522700834519415,-0.051233970524416916,-8.398845959578516e-05,run-e204e3d534469601,560,513,2929,2015-01-02,2026-08-26,False,0.2788
15,rank,quarterly,3.415871772422717,0.13635417316405118,-0.3409777256845812,0.9401197604790419,2.9863011561131008,0.7807456010578937,707.8862275449102,0.36061132053028605,-0.05331549378288969,-0.002165511718068558,run-7c4f73f279cf8fcd,188,167,2929,2015-01-02,2026-08-26,False,0.4349
