cik,status,bytes,detail
0000789019,ok,4881196.0,
0000789570,ok,3835130.0,
0000790070,ok,2207106.0,
0000791519,ok,1812315.0,
0000791907,ok,1206666.0,
0000793952,ok,4452885.0,
0000794323,ok,2985662.0,
0000794367,ok,3756173.0,
0000796343,ok,4286575.0,
0000797468,ok,3830831.0,
0000798354,ok,3870514.0,
0000801898,ok,1597045.0,
0000804328,ok,4357830.0,
0000811156,ok,3900928.0,
0000812074,ok,3992908.0,
0000813672,ok,3598635.0,
0000813828,ok,4454749.0,
0000814453,ok,3984331.0,
0000814547,ok,3377242.0,
0000815094,ok,2309388.0,
0000815097,ok,2729358.0,
0000815556,ok,2685368.0,
0000816284,ok,2732388.0,
0000816761,ok,3475484.0,
0000818479,ok,4860482.0,
0000820027,ok,5259737.0,
0000820313,ok,3526486.0,
0000820318,ok,4119925.0,
0000821189,ok,3514634.0,
0000822416,ok,3563712.0,
0000823768,ok,3707503.0,
0000827052,ok,4000028.0,
0000827054,ok,4312449.0,
0000827099,ok,1426891.0,
0000829224,ok,4156876.0,
0000831001,ok,8684854.0,
0000831259,ok,4453464.0,
0000832101,ok,3907740.0,
0000832988,ok,4915313.0,
0000833444,ok,4969977.0,
0000836106,ok,490163.0,
0000842023,ok,3510958.0,
0000849213,ok,75592.0,
0000849395,ok,1514914.0,
0000849399,ok,4178537.0,
0000851968,ok,3703342.0,
0000857005,ok,3852152.0,
0000858470,ok,3950166.0,
0000858877,ok,6064434.0,
0000860730,ok,3550371.0,
0000860731,ok,3051282.0,
0000861878,ok,3716661.0,
0000863157,ok,1006433.0,
0000864749,ok,3842293.0,
0000865436,ok,1634305.0,
0000865752,ok,3248145.0,
0000866374,ok,3352507.0,
0000866787,ok,3394306.0,
0000872589,ok,2917132.0,
0000874716,ok,4000153.0,
0000874761,ok,6184354.0,
0000874766,ok,5937353.0,
0000875045,ok,4606215.0,
0000875159,ok,2706968.0,
0000875320,ok,3925679.0,
0000877212,ok,4390372.0,
0000877890,ok,3541760.0,
0000878927,ok,2277855.0,
0000879101,ok,4823878.0,
0000879169,ok,2962865.0,
0000882095,ok,4660662.0,
0000882184,ok,3064917.0,
0000882835,ok,3434191.0,
0000883241,ok,4253645.0,
0000883569,ok,3865460.0,
0000884887,ok,3392288.0,
0000885639,ok,2875363.0,
0000885721,ok,713197.0,
0000885725,ok,4784388.0,
0000886158,ok,2489472.0,
0000886982,ok,5968338.0,
0000887396,ok,1489551.0,
0000890801,ok,413840.0,
0000891103,ok,4500284.0,
0000895126,ok,4797340.0,
0000895421,ok,7096376.0,
0000896159,ok,5328163.0,
0000896878,ok,4310257.0,
0000898173,ok,3026097.0,
0000898293,ok,3847726.0,
0000899051,ok,5815440.0,
0000899689,ok,4435223.0,
0000899866,ok,2841168.0,
0000900075,ok,3416768.0,
0000906107,ok,4752175.0,
0000906163,ok,2125245.0,
0000906345,ok,3770290.0,
0000906709,ok,2544997.0,
0000908255,ok,5067771.0,
0000909832,ok,3617189.0,
0000909992,failed,,HTTP 404 (no such document)
0000910521,ok,3007990.0,
0000910606,ok,2473828.0,
0000912093,ok,4647369.0,
0000912242,ok,3609685.0,
0000912595,ok,2438300.0,
0000912615,ok,2639105.0,
0000912750,ok,2315689.0,
0000914208,ok,4183982.0,
0000915389,ok,4364521.0,
0000915912,ok,3767773.0,
0000915913,ok,4652928.0,
0000916076,ok,4038005.0,
0000916365,ok,3145587.0,
0000918386,ok,1156414.0,
0000920148,ok,4414191.0,
0000920522,ok,3628203.0,
0000920760,ok,2884767.0,
0000921738,ok,3997438.0,
0000921847,ok,1641983.0,
0000922224,ok,4983953.0,
0000922621,ok,2700382.0,
0000922864,ok,3403136.0,
0000927066,ok,4484160.0,
0000927628,ok,6549454.0,
