ticker,display_name,joined_on,left_on,delisted_or_removed,cik,cik_source,cik_note
DTV,,2006-12-04,2015-07-27,True,,,no display_name recorded; ticker not in anchors nor current map
DWD,,1996-01-02,1997-06-02,True,,,no display_name recorded; ticker not in anchors nor current map
DWDP,,2017-09-01,2019-06-03,True,,,no display_name recorded; ticker not in anchors nor current map
DYN,,2000-10-03,2009-12-21,True,,,no display_name recorded; ticker not in anchors nor current map
EC,,1996-01-02,2006-06-06,True,,,no display_name recorded; ticker not in anchors nor current map
ECH,,1996-01-02,1998-07-10,True,,,no display_name recorded; ticker not in anchors nor current map
ECO,,1996-01-02,1998-01-20,True,,,no display_name recorded; ticker not in anchors nor current map
EDS,,1998-08-11,2008-08-26,True,,,no display_name recorded; ticker not in anchors nor current map
EFU,,1996-01-02,2000-11-02,True,,,no display_name recorded; ticker not in anchors nor current map
EHC,,1997-01-08,2003-03-21,True,,,no display_name recorded; ticker not in anchors nor current map
EKDKQ,,1996-01-02,2010-12-20,True,,,no display_name recorded; ticker not in anchors nor current map
ENRNQ,,1996-01-02,2001-11-30,True,,,no display_name recorded; ticker not in anchors nor current map
ENS,,1996-01-02,1997-08-06,True,,,no display_name recorded; ticker not in anchors nor current map
EOP,,2001-10-10,2007-02-12,True,,,no display_name recorded; ticker not in anchors nor current map
EQ,,2006-05-18,2009-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
ETS,,1996-01-02,2001-08-06,True,,,no display_name recorded; ticker not in anchors nor current map
FBF,,1996-01-02,2004-04-01,True,,,no display_name recorded; ticker not in anchors nor current map
FBO,,1996-01-02,1996-03-13,True,,,no display_name recorded; ticker not in anchors nor current map
FCN,,1996-01-02,1998-10-02,True,,,no display_name recorded; ticker not in anchors nor current map
FDC,,1996-01-02,2007-09-25,True,,,no display_name recorded; ticker not in anchors nor current map
FG,,1996-01-02,1998-04-27,True,,,no display_name recorded; ticker not in anchors nor current map
FI,,2023-06-07,2025-11-11,True,,,no display_name recorded; ticker not in anchors nor current map
FII,,2003-04-16,2013-01-02,True,,,no display_name recorded; ticker not in anchors nor current map
FJ,,1996-01-02,2000-11-24,True,,,no display_name recorded; ticker not in anchors nor current map
FL,,1996-01-02,2019-08-09,True,,,no display_name recorded; ticker not in anchors nor current map
FLMIQ,,1996-01-02,1997-12-24,True,,,no display_name recorded; ticker not in anchors nor current map
FLT,,2018-06-20,2024-03-25,True,,,no display_name recorded; ticker not in anchors nor current map
FLTWQ,,1996-01-02,2000-01-31,True,,,no display_name recorded; ticker not in anchors nor current map
FMCC,,1996-01-02,2008-09-11,True,,,no display_name recorded; ticker not in anchors nor current map
FMY,,1998-07-10,1999-05-28,True,,,no display_name recorded; ticker not in anchors nor current map
FNMA,,1996-01-02,2008-09-11,True,,,no display_name recorded; ticker not in anchors nor current map
FPC,,1999-06-22,2000-12-01,True,,,no display_name recorded; ticker not in anchors nor current map
FRC,,2019-01-02,2023-05-04,True,,,no display_name recorded; ticker not in anchors nor current map
FRO,,1997-01-02,1999-09-29,True,,,no display_name recorded; ticker not in anchors nor current map
FRX,,2000-11-22,2014-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
FSH,,2004-08-03,2006-11-10,True,,,no display_name recorded; ticker not in anchors nor current map
FSL,,2004-12-03,2006-12-04,True,,,no display_name recorded; ticker not in anchors nor current map
FTL.A,,1996-01-02,1999-10-01,True,,,no display_name recorded; ticker not in anchors nor current map
FWLT,,1996-01-02,2000-01-31,True,,,no display_name recorded; ticker not in anchors nor current map
G,,1996-01-02,2005-10-03,True,,,no display_name recorded; ticker not in anchors nor current map
GAPTQ,,1996-01-02,2000-08-30,True,,,no display_name recorded; ticker not in anchors nor current map
GAS,,1996-01-02,2016-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
GDT,,1996-12-19,2006-04-24,True,,,no display_name recorded; ticker not in anchors nor current map
GDW,,1996-01-02,2006-10-02,True,,,no display_name recorded; ticker not in anchors nor current map
GFS.A,,1996-01-02,1998-07-16,True,,,no display_name recorded; ticker not in anchors nor current map
GGP,,2007-07-02,2018-08-28,True,,,no display_name recorded; ticker not in anchors nor current map
GIDL,,1996-01-02,1997-07-17,True,,,no display_name recorded; ticker not in anchors nor current map
GLD,,1996-01-02,1997-05-06,True,,,no display_name recorded; ticker not in anchors nor current map
GLK,,1996-01-02,2005-07-05,True,,,no display_name recorded; ticker not in anchors nor current map
GMCR,,2014-03-24,2016-03-03,True,,,no display_name recorded; ticker not in anchors nor current map
GNT,,1996-03-13,1998-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
GP,,1996-01-02,2005-12-20,True,,,no display_name recorded; ticker not in anchors nor current map
GPS,,1996-01-02,2022-02-02,True,,,no display_name recorded; ticker not in anchors nor current map
GPU,,1996-01-02,2001-11-07,True,,,no display_name recorded; ticker not in anchors nor current map
GR,,1996-01-02,2012-07-27,True,,,no display_name recorded; ticker not in anchors nor current map
GRA,,1996-01-02,2000-12-11,True,,,no display_name recorded; ticker not in anchors nor current map
GRN,,1996-01-02,1998-12-22,True,,,no display_name recorded; ticker not in anchors nor current map
GSX,,1996-01-02,1998-10-07,True,,,no display_name recorded; ticker not in anchors nor current map
GTE,,1996-01-02,2000-07-03,True,,,no display_name recorded; ticker not in anchors nor current map
GTW,,1998-04-27,2006-08-01,True,,,no display_name recorded; ticker not in anchors nor current map
GWF,,1996-01-02,1997-07-02,True,,,no display_name recorded; ticker not in anchors nor current map
GX,,1999-09-29,2001-10-10,True,,,no display_name recorded; ticker not in anchors nor current map
H,,1996-01-02,2007-04-10,True,,,no display_name recorded; ticker not in anchors nor current map
HAR,,2006-02-01,2017-03-13,True,,,no display_name recorded; ticker not in anchors nor current map
HBI,,2015-03-23,2021-12-20,True,,,no display_name recorded; ticker not in anchors nor current map
HBOC,,1997-10-23,1999-01-13,True,,,no display_name recorded; ticker not in anchors nor current map
HCP,,2008-03-31,2019-11-05,True,,,no display_name recorded; ticker not in anchors nor current map
HCR,,1998-09-28,2007-11-09,True,,,no display_name recorded; ticker not in anchors nor current map
HDLM,,1996-01-02,1996-03-08,True,,,no display_name recorded; ticker not in anchors nor current map
HES,,1996-01-02,2025-07-23,True,,,no display_name recorded; ticker not in anchors nor current map
HET,,1996-01-02,2008-01-29,True,,,no display_name recorded; ticker not in anchors nor current map
HFC,,2018-06-18,2021-06-04,True,,,no display_name recorded; ticker not in anchors nor current map
HFS,,1996-08-16,1997-12-18,True,,,no display_name recorded; ticker not in anchors nor current map
HI,,1996-01-02,2003-03-31,True,,,no display_name recorded; ticker not in anchors nor current map
HM,,1996-01-02,2001-12-17,True,,,no display_name recorded; ticker not in anchors nor current map
HMA,,2001-11-07,2007-03-02,True,,,no display_name recorded; ticker not in anchors nor current map
HOLX,,2016-03-30,2026-04-09,True,,,no display_name recorded; ticker not in anchors nor current map
HPC,,1996-01-02,2008-11-14,True,,,no display_name recorded; ticker not in anchors nor current map
HPH,,1996-01-02,1999-06-09,True,,,no display_name recorded; ticker not in anchors nor current map
HRS,,1996-01-02,2019-06-01,True,,,no display_name recorded; ticker not in anchors nor current map
HSH,,1996-01-02,2012-06-29,True,,,no display_name recorded; ticker not in anchors nor current map
I,,1996-01-02,1996-04-01,True,,,no display_name recorded; ticker not in anchors nor current map
IAC,,2006-12-01,2008-08-21,True,,,no display_name recorded; ticker not in anchors nor current map
IKN,,1996-01-02,2000-06-29,True,,,no display_name recorded; ticker not in anchors nor current map
IMNX,,2001-09-21,2002-07-16,True,,,no display_name recorded; ticker not in anchors nor current map
INCLF,,1996-01-02,2002-07-22,True,,,no display_name recorded; ticker not in anchors nor current map
INGR,,1996-01-02,1997-07-28,True,,,no display_name recorded; ticker not in anchors nor current map
IPG,,1996-01-02,2025-11-28,True,,,no display_name recorded; ticker not in anchors nor current map
JAVA,,1996-01-02,2010-01-27,True,,,no display_name recorded; ticker not in anchors nor current map
JCP,,1996-01-02,2013-12-02,True,,,no display_name recorded; ticker not in anchors nor current map
JH,,1996-01-02,1998-04-01,True,,,no display_name recorded; ticker not in anchors nor current map
JHF,,2001-06-29,2004-04-29,True,,,no display_name recorded; ticker not in anchors nor current map
JNY,,2001-12-17,2009-03-04,True,,,no display_name recorded; ticker not in anchors nor current map
JOS,,1996-01-02,2000-05-10,True,,,no display_name recorded; ticker not in anchors nor current map
JP,,1996-01-02,2006-04-03,True,,,no display_name recorded; ticker not in anchors nor current map
K,,1996-01-02,2025-12-11,True,,,no display_name recorded; ticker not in anchors nor current map
KATE,,1996-01-02,2008-12-02,True,,,no display_name recorded; ticker not in anchors nor current map
KBH,,1996-01-02,2009-12-21,True,,,no display_name recorded; ticker not in anchors nor current map
KG,,2000-10-03,2010-12-20,True,,,no display_name recorded; ticker not in anchors nor current map
KM,,1996-01-02,2002-01-17,True,,,no display_name recorded; ticker not in anchors nor current map
KMG,,1996-01-02,2006-08-11,True,,,no display_name recorded; ticker not in anchors nor current map
KRB,,1996-01-02,2006-01-03,True,,,no display_name recorded; ticker not in anchors nor current map
KRI,,1996-01-02,2006-06-28,True,,,no display_name recorded; ticker not in anchors nor current map
KSE,,2000-08-21,2007-08-27,True,,,no display_name recorded; ticker not in anchors nor current map
KWP,,1996-01-02,1999-11-16,True,,,no display_name recorded; ticker not in anchors nor current map
LDG,,1996-01-02,2001-07-02,True,,,no display_name recorded; ticker not in anchors nor current map
LDW.B,,1996-01-02,1999-12-08,True,,,no display_name recorded; ticker not in anchors nor current map
LEHMQ,,1998-01-12,2008-09-17,True,,,no display_name recorded; ticker not in anchors nor current map
LIFE,,2008-11-24,2014-01-24,True,,,no display_name recorded; ticker not in anchors nor current map
LLL,,2004-12-01,2019-07-01,True,,,no display_name recorded; ticker not in anchors nor current map
LLX,,1996-01-02,1997-10-23,True,,,no display_name recorded; ticker not in anchors nor current map
LM,,2006-04-24,2016-12-02,True,,,no display_name recorded; ticker not in anchors nor current map
LO,,2008-06-11,2015-06-12,True,,,no display_name recorded; ticker not in anchors nor current map
LOR,,1996-01-02,1996-04-23,True,,,no display_name recorded; ticker not in anchors nor current map
LPX,,1996-01-02,2006-11-10,True,,,no display_name recorded; ticker not in anchors nor current map
LSI,,1996-01-02,2014-05-07,True,,,no display_name recorded; ticker not in anchors nor current map
LU,,1996-10-01,2006-12-01,True,,,no display_name recorded; ticker not in anchors nor current map
LUB,,1996-01-02,1997-01-02,True,,,no display_name recorded; ticker not in anchors nor current map
LXK,,1999-08-13,2012-10-01,True,,,no display_name recorded; ticker not in anchors nor current map
MAY,,1996-01-02,2005-08-29,True,,,no display_name recorded; ticker not in anchors nor current map
MBI,,1996-12-03,2009-12-21,True,,,no display_name recorded; ticker not in anchors nor current map
MCIC,,1996-01-02,1998-09-15,True,,,no display_name recorded; ticker not in anchors nor current map
MD,,1996-01-02,1997-08-01,True,,,no display_name recorded; ticker not in anchors nor current map
MDP,,1996-01-02,2011-01-04,True,,,no display_name recorded; ticker not in anchors nor current map
MDR,,1996-01-02,2003-08-20,True,,,no display_name recorded; ticker not in anchors nor current map
MEA,,1996-01-02,2002-01-30,True,,,no display_name recorded; ticker not in anchors nor current map
MEDI,,2000-06-16,2007-06-01,True,,,no display_name recorded; ticker not in anchors nor current map
MEL,,1996-01-02,2007-07-02,True,,,no display_name recorded; ticker not in anchors nor current map
MER,,1996-01-02,2009-01-02,True,,,no display_name recorded; ticker not in anchors nor current map
MERQ,,2000-06-29,2006-01-04,True,,,no display_name recorded; ticker not in anchors nor current map
MHS,,2003-08-20,2012-04-02,True,,,no display_name recorded; ticker not in anchors nor current map
MI,,2002-02-11,2011-07-06,True,,,no display_name recorded; ticker not in anchors nor current map
MII,,1996-01-02,1999-06-22,True,,,no display_name recorded; ticker not in anchors nor current map
MIL,,1996-01-02,2010-07-15,True,,,no display_name recorded; ticker not in anchors nor current map
MIR,,1997-08-07,2003-07-17,True,,,no display_name recorded; ticker not in anchors nor current map
MKG,,1996-01-02,2000-10-18,True,,,no display_name recorded; ticker not in anchors nor current map
MMI,,2011-01-04,2012-05-22,True,,,no display_name recorded; ticker not in anchors nor current map
MNR,,1996-01-02,1998-09-28,True,,,no display_name recorded; ticker not in anchors nor current map
MOB,,1996-01-02,1999-12-01,True,,,no display_name recorded; ticker not in anchors nor current map
MOLX,,1999-12-01,2013-12-09,True,,,no display_name recorded; ticker not in anchors nor current map
MON,,2002-08-14,2018-06-07,True,,,no display_name recorded; ticker not in anchors nor current map
MRO,,1996-01-02,2024-11-26,True,,,no display_name recorded; ticker not in anchors nor current map
MST,,1996-01-02,1998-08-14,True,,,no display_name recorded; ticker not in anchors nor current map
MTG,,1996-07-19,2008-10-31,True,,,no display_name recorded; ticker not in anchors nor current map
MTL,,1998-02-23,1999-09-20,True,,,no display_name recorded; ticker not in anchors nor current map
MTLQQ,,1996-01-02,2009-06-03,True,,,no display_name recorded; ticker not in anchors nor current map
MTW,,2007-11-16,2009-09-01,True,,,no display_name recorded; ticker not in anchors nor current map
MWI,,1996-01-02,1999-05-28,True,,,no display_name recorded; ticker not in anchors nor current map
MWV,,1996-01-02,2015-07-02,True,,,no display_name recorded; ticker not in anchors nor current map
MWW,,2001-06-04,2011-12-19,True,,,no display_name recorded; ticker not in anchors nor current map
MYG,,1996-01-02,2006-04-03,True,,,no display_name recorded; ticker not in anchors nor current map
MYL,,2004-04-23,2020-11-17,True,,,no display_name recorded; ticker not in anchors nor current map
MZIAQ,,1996-01-02,2000-06-29,True,,,no display_name recorded; ticker not in anchors nor current map
NAE,,1996-01-02,1997-08-07,True,,,no display_name recorded; ticker not in anchors nor current map
NAV,,1996-01-02,2006-12-20,True,,,no display_name recorded; ticker not in anchors nor current map
NC,,1996-01-02,2000-06-05,True,,,no display_name recorded; ticker not in anchors nor current map
NCC,,1996-01-02,2009-01-02,True,,,no display_name recorded; ticker not in anchors nor current map
NCE,,1998-11-03,2000-08-21,True,,,no display_name recorded; ticker not in anchors nor current map
NCR,,2000-01-04,2007-10-01,True,,,no display_name recorded; ticker not in anchors nor current map
NFB,,2002-07-17,2006-12-01,True,,,no display_name recorded; ticker not in anchors nor current map
NGH,,1998-09-16,2000-12-12,True,,,no display_name recorded; ticker not in anchors nor current map
NLC,,1996-01-02,1999-08-02,True,,,no display_name recorded; ticker not in anchors nor current map
NLSN,,2013-07-09,2022-10-12,True,,,no display_name recorded; ticker not in anchors nor current map
NLV,,1996-04-01,2000-01-06,True,,,no display_name recorded; ticker not in anchors nor current map
